,Added_date,Removed_date,Predecessor
MMM,1990-01-01,2020-01-01,
ABT,1990-01-01,2020-01-01,
ABBV,2012-12-31,2020-01-01,FII
ABMD,2018-05-31,2020-01-01,WYN
ACN,2011-07-05,2020-01-01,MI
ATVI,2015-08-28,2020-01-01,PLL
ADBE,1990-01-01,2020-01-01,
AMD,1990-01-01,2020-01-01,
AAP,2015-07-08,2020-01-01,FDO
AES,1990-01-01,2020-01-01,
AFL,1990-01-01,2020-01-01,
A,1990-01-01,2020-01-01,
APD,1990-01-01,2020-01-01,
AKAM,1990-01-01,2020-01-01,
ALK,2016-05-13,2020-01-01,SNDK
ALB,2016-07-01,2020-01-01,TE
ARE,2017-03-20,2020-01-01,FSLR
ALGN,2017-06-19,2020-01-01,TDC
ALLE,2013-12-02,2020-01-01,JCP
LNT,2016-07-01,2020-01-01,GAS
ALL,1990-01-01,2020-01-01,
GOOGL,1990-01-01,2020-01-01,
GOOG,1990-01-01,2020-01-01,
MO,1990-01-01,2020-01-01,
AMZN,2005-11-18,2020-01-01,T
AMCR,2019-06-07,2020-01-01,MAT
AEE,1990-01-01,2020-01-01,
AAL,2015-03-23,2020-01-01,AGN
AEP,1990-01-01,2020-01-01,
AXP,1990-01-01,2020-01-01,
AIG,1990-01-01,2020-01-01,
AMT,1990-01-01,2020-01-01,
AWK,2016-03-04,2020-01-01,CNX
AMP,1990-01-01,2020-01-01,
ABC,1990-01-01,2020-01-01,
AME,2013-09-20,2020-01-01,SAI
AMGN,1990-01-01,2020-01-01,
APH,1990-01-01,2020-01-01,
ADI,1990-01-01,2020-01-01,
ANSS,2017-06-19,2020-01-01,R
ANTM,1990-01-01,2020-01-01,
AON,1990-01-01,2020-01-01,
AOS,2017-07-26,2020-01-01,BBBY
APA,1990-01-01,2020-01-01,
AAPL,1990-01-01,2020-01-01,
AMAT,1990-01-01,2020-01-01,
APTV,2012-12-21,2020-01-01,TIE
ADM,1990-01-01,2020-01-01,
ANET,2018-08-28,2020-01-01,GGP
AJG,2016-05-31,2020-01-01,CCE
AIZ,1990-01-01,2020-01-01,
T,1990-01-01,2020-01-01,
ATO,2019-02-15,2020-01-01,NFX
ADSK,1990-01-01,2020-01-01,
ADP,1990-01-01,2020-01-01,
AZO,1990-01-01,2020-01-01,
AVB,2007-01-10,2020-01-01,SBL
AVY,1990-01-01,2020-01-01,
BKR,1990-01-01,2020-01-01,
BLL,1990-01-01,2020-01-01,
BAC,1990-01-01,2020-01-01,
BBWI,1990-01-01,2020-01-01,
BAX,1990-01-01,2020-01-01,
BDX,1990-01-01,2020-01-01,
BRK.B,1990-01-01,2020-01-01,
BBY,1990-01-01,2020-01-01,
BIO,2020-06-22,2020-01-01,ADS
TECH,2021-08-30,2020-01-01,MXIM
BIIB,1990-01-01,2020-01-01,
BLK,2011-04-01,2020-01-01,GENZ
BK,1990-01-01,2020-01-01,
BA,1990-01-01,2020-01-01,
BKNG,2009-11-03,2020-01-01,SGP
BWA,2011-12-16,2020-01-01,AKS
BXP,1990-01-01,2020-01-01,
BSX,1990-01-01,2020-01-01,
BMY,1990-01-01,2020-01-01,
AVGO,2014-05-08,2020-01-01,LSI
BR,2018-06-18,2020-01-01,RRC
BRO,2021-09-20,2020-01-01,NOV
BF.B,1990-01-01,2020-01-01,
CHRW,1990-01-01,2020-01-01,
CDNS,2017-09-18,2020-01-01,SPLS
CZR,2021-03-22,2020-01-01,VNT
CPB,1990-01-01,2020-01-01,
COF,1990-01-01,2020-01-01,
CAH,1990-01-01,2020-01-01,
KMX,2010-06-28,2020-01-01,XTO
CCL,1990-01-01,2020-01-01,
CARR,2020-04-03,2020-01-01,RTN
CTLT,2020-09-21,2020-01-01,KSS
CAT,1990-01-01,2020-01-01,
CBOE,2017-03-01,2020-01-01,PBI
CBRE,1990-01-01,2020-01-01,
CDW,2019-09-23,2020-01-01,TSS
CE,2018-12-24,2020-01-01,ESRX
CNC,2016-03-30,2020-01-01,ESV
CNP,1990-01-01,2020-01-01,
CDAY,2021-09-20,2020-01-01,UNM
CERN,2010-04-29,2020-01-01,BJS
CF,1990-01-01,2020-01-01,
CRL,2021-05-14,2020-01-01,FLIR
SCHW,1990-01-01,2020-01-01,
CHTR,2016-09-08,2020-01-01,EMC
CVX,1990-01-01,2020-01-01,
CMG,2011-04-27,2020-01-01,NOVL
CB,2010-07-14,2020-01-01,MIL
CHD,2015-12-29,2020-01-01,ALTR
CI,1990-01-01,2020-01-01,
CINF,1990-01-01,2020-01-01,
CTAS,1990-01-01,2020-01-01,
CSCO,1990-01-01,2020-01-01,
C,1990-01-01,2020-01-01,
CFG,2016-02-01,2020-01-01,PCP
CTXS,1990-01-01,2020-01-01,
CLX,1990-01-01,2020-01-01,
CME,1990-01-01,2020-01-01,
CMS,1990-01-01,2020-01-01,
KO,1990-01-01,2020-01-01,
CTSH,1990-01-01,2020-01-01,
CL,1990-01-01,2020-01-01,
CMCSA,1990-01-01,2020-01-01,
CMA,1990-01-01,2020-01-01,
CAG,1990-01-01,2020-01-01,
COP,1990-01-01,2020-01-01,
ED,1990-01-01,2020-01-01,
STZ,2005-07-01,2020-01-01,GLK
COO,2016-09-22,2020-01-01,HOT
CPRT,2018-07-02,2020-01-01,DPS
GLW,1990-01-01,2020-01-01,
CTVA,2019-06-03,2020-01-01,FLR
COST,1990-01-01,2020-01-01,
CTRA,1990-01-01,2020-01-01,
CCI,2012-03-13,2020-01-01,CEG
CSX,1990-01-01,2020-01-01,
CMI,1990-01-01,2020-01-01,
CVS,1990-01-01,2020-01-01,
DHI,1990-01-01,2020-01-01,
DHR,1990-01-01,2020-01-01,
DRI,1990-01-01,2020-01-01,
DVA,1990-01-01,2020-01-01,
DE,1990-01-01,2020-01-01,
DAL,2013-09-10,2020-01-01,BMC
XRAY,1990-01-01,2020-01-01,
DVN,1990-01-01,2020-01-01,
DXCM,2020-05-12,2020-01-01,AGN
FANG,2018-12-03,2020-01-01,SRCL
DLR,2016-05-18,2020-01-01,TWC
DFS,1990-01-01,2020-01-01,
DISCA,1990-01-01,2020-01-01,
DISCK,1990-01-01,2020-01-01,
DISH,2017-03-13,2020-01-01,LLTC
DG,2012-12-03,2020-01-01,CBE
DLTR,2011-12-16,2020-01-01,WFR
D,1990-01-01,2020-01-01,
DPZ,2020-05-12,2020-01-01,CPRI
DOV,1990-01-01,2020-01-01,
DOW,1990-01-01,2020-01-01,
DTE,1990-01-01,2020-01-01,
DUK,1990-01-01,2020-01-01,
DRE,2017-07-26,2020-01-01,RIG
DD,1990-01-01,2020-01-01,
DXC,2017-04-04,2020-01-01,SWN
EMN,1990-01-01,2020-01-01,
ETN,1990-01-01,2020-01-01,
EBAY,1990-01-01,2020-01-01,
ECL,1990-01-01,2020-01-01,
EIX,1990-01-01,2020-01-01,
EW,2011-03-31,2020-01-01,Q
EA,1990-01-01,2020-01-01,
EMR,1990-01-01,2020-01-01,
ENPH,2021-01-07,2020-01-01,TIF
ETR,1990-01-01,2020-01-01,
EOG,1990-01-01,2020-01-01,
EFX,1990-01-01,2020-01-01,
EQIX,2015-03-23,2020-01-01,DNR
EQR,1990-01-01,2020-01-01,
ESS,2014-04-02,2020-01-01,CLF
EL,1990-01-01,2020-01-01,
ETSY,2020-09-21,2020-01-01,HRB
EVRG,2018-06-05,2020-01-01,NAVI
ES,1990-01-01,2020-01-01,
RE,2017-06-19,2020-01-01,MJN
EXC,1990-01-01,2020-01-01,
EXPE,2007-10-02,2020-01-01,SLR
EXPD,1990-01-01,2020-01-01,
EXR,2016-01-19,2020-01-01,ACE
XOM,1990-01-01,2020-01-01,
FFIV,2010-12-17,2020-01-01,EK
