Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-12-24,53.94,53.97,53.94,53.96,3079930.0,0.0,1.0,53.94,53.97,53.94,53.96,3079930.0
2015-12-23,53.93,53.95,53.93,53.93,9880550.0,0.0,1.0,53.93,53.95,53.93,53.93,9880550.0
2015-12-22,53.92,53.94,53.91,53.93,6664162.0,0.0,1.0,53.92,53.94,53.91,53.93,6664162.0
2015-12-21,53.89,53.93,53.89,53.92,14030138.0,0.0,1.0,53.89,53.93,53.89,53.92,14030138.0
2015-12-18,53.01,53.07,52.81,52.85,4349574.0,0.0,1.0,53.01,53.07,52.81,52.85,4349574.0
2015-12-17,53.1,53.14,52.99,52.99,2737739.0,0.0,1.0,53.1,53.14,52.99,52.99,2737739.0
2015-12-16,53.02,53.11,52.94,53.0,2758045.0,0.0,1.0,53.02,53.11,52.94,53.0,2758045.0
2015-12-15,53.08,53.18,52.96,53.01,2030945.0,0.0,1.0,53.08,53.18,52.96,53.01,2030945.0
2015-12-14,53.04,53.12,52.93,52.99,2600671.0,0.0,1.0,53.04,53.12,52.93,52.99,2600671.0
2015-12-11,53.07,53.2,52.9,52.99,2992060.0,0.0,1.0,53.07,53.2,52.9,52.99,2992060.0
2015-12-10,53.11,53.17,53.09,53.11,1920084.0,0.0,1.0,53.11,53.17,53.09,53.11,1920084.0
2015-12-09,53.2,53.25,53.05,53.09,2726614.0,0.0,1.0,53.2,53.25,53.05,53.09,2726614.0
2015-12-08,53.19,53.27,53.125,53.18,1934767.0,0.0,1.0,53.19,53.27,53.125,53.18,1934767.0
2015-12-07,53.25,53.29,53.13,53.18,1093599.0,0.0,1.0,53.25,53.29,53.13,53.18,1093599.0
2015-12-04,52.9,53.33,52.865,53.2,1923517.0,0.0,1.0,52.9,53.33,52.865,53.2,1923517.0
2015-12-03,52.86,52.97,52.795,52.87,2428105.0,0.0,1.0,52.86,52.97,52.795,52.87,2428105.0
2015-12-02,52.86,52.93,52.78,52.85,1709583.0,0.0,1.0,52.86,52.93,52.78,52.85,1709583.0
2015-12-01,52.82,52.99,52.795,52.85,3887632.0,0.0,1.0,52.82,52.99,52.795,52.85,3887632.0
2015-11-30,52.81,52.895,52.7,52.8,3318256.0,0.0,1.0,52.81,52.895,52.7,52.8,3318256.0
2015-11-27,52.81,52.85,52.785,52.82,746862.0,0.0,1.0,52.81,52.85,52.785,52.82,746862.0
2015-11-25,52.82,52.87,52.75,52.81,1421759.0,0.0,1.0,52.82,52.87,52.75,52.81,1421759.0
2015-11-24,52.75,52.86,52.7,52.82,2225933.0,0.0,1.0,52.75,52.86,52.7,52.82,2225933.0
2015-11-23,52.73,52.8,52.65,52.77,1302310.0,0.0,1.0,52.73,52.8,52.65,52.77,1302310.0
2015-11-20,52.7,52.77,52.69,52.72,2115263.0,0.0,1.0,52.7,52.77,52.69,52.72,2115263.0
2015-11-19,52.72,52.765,52.64,52.69,2927511.0,0.0,1.0,52.72,52.765,52.64,52.69,2927511.0
2015-11-18,52.7,52.83,52.6401,52.73,3605126.0,0.0,1.0,52.7,52.83,52.6401,52.73,3605126.0
2015-11-17,52.73,52.74,52.61,52.69,1370631.0,0.0,1.0,52.73,52.74,52.61,52.69,1370631.0
2015-11-16,52.57,52.72,52.545,52.72,1406007.0,0.0,1.0,52.57,52.72,52.545,52.72,1406007.0
2015-11-13,52.61,52.69,52.51,52.59,1254948.0,0.0,1.0,52.61,52.69,52.51,52.59,1254948.0
2015-11-12,52.58,52.67,52.51,52.59,1144977.0,0.0,1.0,52.58,52.67,52.51,52.59,1144977.0
2015-11-11,52.6,52.68,52.56,52.6,891791.0,0.0,1.0,52.6,52.68,52.56,52.6,891791.0
2015-11-10,52.55,52.67,52.5,52.66,1086976.0,0.0,1.0,52.55,52.67,52.5,52.66,1086976.0
2015-11-09,52.56,52.65,52.46,52.6,1344002.0,0.0,1.0,52.56,52.65,52.46,52.6,1344002.0
2015-11-06,52.58,52.64,52.52,52.57,2268160.0,0.18,1.0,52.58,52.64,52.52,52.57,2268160.0
2015-11-05,52.71,52.76,52.65,52.73,1517933.0,0.0,1.0,52.530136492890996,52.57996587677725,52.470341232227476,52.55006824644549,1517933.0
2015-11-04,52.7,52.73,52.65,52.71,1622826.0,0.0,1.0,52.520170616113745,52.55006824644549,52.470341232227476,52.530136492890996,1622826.0
2015-11-03,52.67,52.73,52.64,52.71,1408704.0,0.0,1.0,52.49027298578199,52.55006824644549,52.46037535545024,52.530136492890996,1408704.0
2015-11-02,52.68,52.7101,52.52,52.7,1172752.0,0.0,1.0,52.50023886255924,52.530236151658755,52.34078483412323,52.520170616113745,1172752.0
2015-10-30,52.65,52.78,52.55,52.55,2521001.0,0.0,1.0,52.470341232227476,52.59989763033175,52.370682464454966,52.370682464454966,2521001.0
2015-10-29,52.69,52.72,52.59,52.66,1740993.0,0.0,1.0,52.510204739336494,52.54010236966825,52.41054597156398,52.48030710900475,1740993.0
