Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2012-10-02,6.65,6.76,6.36,6.44,16344900.0,0.0,1.0,6.65,6.76,6.36,6.44,16344900.0
2012-10-01,6.69,6.89,6.52,6.58,56873300.0,0.0,1.0,6.69,6.89,6.52,6.58,56873300.0
2012-09-28,6.6,6.81,6.48,6.57,14546400.0,0.0,1.0,6.6,6.81,6.48,6.57,14546400.0
2012-09-27,6.83,7.13,6.63,6.75,21131400.0,0.0,1.0,6.83,7.13,6.63,6.75,21131400.0
2012-09-26,6.28,6.91,6.19,6.59,26495000.0,0.0,1.0,6.28,6.91,6.19,6.59,26495000.0
2012-09-25,6.89,6.97,6.46,6.54,19492000.0,0.0,1.0,6.89,6.97,6.46,6.54,19492000.0
2012-09-24,7.02,7.06,6.8,6.85,16478000.0,0.0,1.0,7.02,7.06,6.8,6.85,16478000.0
2012-09-21,7.49,7.57,7.1,7.21,19195500.0,0.0,1.0,7.49,7.57,7.1,7.21,19195500.0
2012-09-20,7.39,7.47,7.14,7.41,20421500.0,0.0,1.0,7.39,7.47,7.14,7.41,20421500.0
2012-09-19,7.91,8.04,7.48,7.63,24572700.0,0.0,1.0,7.91,8.04,7.48,7.63,24572700.0
2012-09-18,8.11,8.25,7.65,7.88,23775200.0,0.0,1.0,8.11,8.25,7.65,7.88,23775200.0
2012-09-17,8.28,8.43,7.93,8.08,23052700.0,0.0,1.0,8.28,8.43,7.93,8.08,23052700.0
2012-09-14,8.54,9.05,8.47,8.55,40960700.0,0.0,1.0,8.54,9.05,8.47,8.55,40960700.0
2012-09-13,7.3,8.355,7.23,8.23,41596500.0,0.0,1.0,7.3,8.355,7.23,8.23,41596500.0
2012-09-12,7.54,7.55,7.01,7.34,25922500.0,0.0,1.0,7.54,7.55,7.01,7.34,25922500.0
2012-09-11,7.12,7.45,7.03,7.45,20950300.0,0.0,1.0,7.12,7.45,7.03,7.45,20950300.0
2012-09-10,6.95,7.48,6.88,6.92,30654100.0,0.0,1.0,6.95,7.48,6.88,6.92,30654100.0
2012-09-07,6.06,6.94,6.06,6.9,37798500.0,0.0,1.0,6.06,6.94,6.06,6.9,37798500.0
2012-09-06,5.67,6.02,5.61,5.91,15159500.0,0.0,1.0,5.67,6.02,5.61,5.91,15159500.0
2012-09-05,5.4,5.69,5.28,5.61,16422800.0,0.0,1.0,5.4,5.69,5.28,5.61,16422800.0
2012-09-04,5.84,5.84,5.42,5.53,22965800.0,0.0,1.0,5.84,5.84,5.42,5.53,22965800.0
2012-08-31,6.0,6.05,5.88,5.94,17913900.0,0.0,1.0,6.0,6.05,5.88,5.94,17913900.0
2012-08-30,6.06,6.1,5.94,5.94,10482400.0,0.0,1.0,6.06,6.1,5.94,5.94,10482400.0
2012-08-29,5.99,6.25,5.88,6.14,16125200.0,0.0,1.0,5.99,6.25,5.88,6.14,16125200.0
2012-08-28,6.1,6.35,6.05,6.09,14681600.0,0.0,1.0,6.1,6.35,6.05,6.09,14681600.0
2012-08-27,6.45,6.48,6.18,6.2,12218600.0,0.0,1.0,6.45,6.48,6.18,6.2,12218600.0
2012-08-24,6.53,6.569,6.33,6.4,14674700.0,0.0,1.0,6.53,6.569,6.33,6.4,14674700.0
2012-08-23,7.07,7.1085,6.55,6.59,20974900.0,0.0,1.0,7.07,7.1085,6.55,6.59,20974900.0
2012-08-22,6.98,7.25,6.8,7.12,23966900.0,0.0,1.0,6.98,7.25,6.8,7.12,23966900.0
2012-08-21,6.56,7.2,6.56,6.9,29354100.0,0.0,1.0,6.56,7.2,6.56,6.9,29354100.0
2012-08-20,6.45,6.58,6.35,6.5,15973000.0,0.0,1.0,6.45,6.58,6.35,6.5,15973000.0
2012-08-17,6.8,6.8199,6.41,6.45,14131600.0,0.0,1.0,6.8,6.8199,6.41,6.45,14131600.0
