Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2014-04-30,83.46,83.5,83.46,83.47,12208937.0,0.0,1.0,83.46,83.5,83.46,83.47,12208937.0
2014-04-29,83.47,83.47,83.45,83.45,1007120.0,0.0,1.0,83.47,83.47,83.45,83.45,1007120.0
2014-04-28,83.46,83.47,83.45,83.46,1395556.0,0.0,1.0,83.46,83.47,83.45,83.46,1395556.0
2014-04-25,83.46,83.47,83.45,83.45,592266.0,0.0,1.0,83.46,83.47,83.45,83.45,592266.0
2014-04-24,83.47,83.475,83.45,83.45,641190.0,0.0,1.0,83.47,83.475,83.45,83.45,641190.0
2014-04-23,83.46,83.47,83.45,83.47,585205.0,0.0,1.0,83.46,83.47,83.45,83.47,585205.0
2014-04-22,83.46,83.47,83.45,83.46,703418.0,0.0,1.0,83.46,83.47,83.45,83.46,703418.0
2014-04-21,83.29,83.4,83.28,83.38,1828589.0,0.0,1.0,83.29,83.4,83.28,83.38,1828589.0
2014-04-17,83.29,83.29,83.25,83.27,3971698.0,0.0,1.0,83.29,83.29,83.25,83.27,3971698.0
2014-04-16,83.3,83.31,83.27,83.28,4674821.0,0.0,1.0,83.3,83.31,83.27,83.28,4674821.0
2014-04-15,83.31,83.31,83.28,83.3,3888259.0,0.0,1.0,83.31,83.31,83.28,83.3,3888259.0
2014-04-14,83.3,83.32,83.28,83.29,3991611.0,0.0,1.0,83.3,83.32,83.28,83.29,3991611.0
2014-04-11,83.29,83.31,83.27,83.27,4528053.0,0.0,1.0,83.29,83.31,83.27,83.27,4528053.0
2014-04-10,83.33,83.34,83.28,83.28,2950902.0,0.0,1.0,83.33,83.34,83.28,83.28,2950902.0
2014-04-09,83.31,83.34,83.3,83.33,1531600.0,0.0,1.0,83.31,83.34,83.3,83.33,1531600.0
2014-04-08,83.31,83.34,83.3,83.3,2130500.0,0.0,1.0,83.31,83.34,83.3,83.3,2130500.0
2014-04-07,83.28,83.41,83.27,83.29,3807000.0,0.0,1.0,83.28,83.41,83.27,83.29,3807000.0
2014-04-04,83.26,83.3,83.25,83.28,2256000.0,0.0,1.0,83.26,83.3,83.25,83.28,2256000.0
2014-04-03,83.29,83.3,83.26,83.26,1267000.0,0.0,1.0,83.29,83.3,83.26,83.26,1267000.0
2014-04-02,83.28,83.3,83.27,83.27,820600.0,0.0,1.0,83.28,83.3,83.27,83.27,820600.0
2014-04-01,83.28,83.31,83.26,83.3,1244400.0,0.0,1.0,83.28,83.31,83.26,83.3,1244400.0
2014-03-31,83.27,83.31,83.26,83.3,1476100.0,0.0,1.0,83.27,83.31,83.26,83.3,1476100.0
2014-03-28,83.25,83.28,83.24,83.28,1027000.0,0.0,1.0,83.25,83.28,83.24,83.28,1027000.0
2014-03-27,83.24,83.27,83.22,83.26,2124800.0,0.0,1.0,83.24,83.27,83.22,83.26,2124800.0
2014-03-26,83.29,83.29,83.23,83.24,1311200.0,0.0,1.0,83.29,83.29,83.23,83.24,1311200.0
2014-03-25,83.26,83.3,83.22,83.26,1627400.0,0.0,1.0,83.26,83.3,83.22,83.26,1627400.0
2014-03-24,83.22,83.25,83.18,83.25,2214600.0,0.0,1.0,83.22,83.25,83.18,83.25,2214600.0
2014-03-21,83.22,83.27,83.15,83.18,2668900.0,0.0,1.0,83.22,83.27,83.15,83.18,2668900.0
2014-03-20,83.18,83.21,83.16,83.16,1348000.0,0.0,1.0,83.18,83.21,83.16,83.16,1348000.0
2014-03-19,83.19,83.25,83.16,83.17,3211400.0,0.0,1.0,83.19,83.25,83.16,83.17,3211400.0
2014-03-18,83.21,83.21,83.17,83.17,2058900.0,0.0,1.0,83.21,83.21,83.17,83.17,2058900.0
2014-03-17,83.19,83.2,83.17,83.19,1588000.0,0.0,1.0,83.19,83.2,83.17,83.19,1588000.0
2014-03-14,83.19,83.2,83.17,83.19,3188200.0,0.0,1.0,83.19,83.2,83.17,83.19,3188200.0
2014-03-13,83.22,83.22,83.16,83.19,2383400.0,0.0,1.0,83.22,83.22,83.16,83.19,2383400.0
2014-03-12,83.21,83.23,83.18,83.2,2779700.0,0.0,1.0,83.21,83.23,83.18,83.2,2779700.0
2014-03-11,83.23,83.25,83.2,83.23,1069500.0,0.0,1.0,83.23,83.25,83.2,83.23,1069500.0
2014-03-10,83.22,83.25,83.19,83.25,1754100.0,0.0,1.0,83.22,83.25,83.19,83.25,1754100.0
2014-03-07,83.18,83.25,83.15,83.25,1566300.0,0.0,1.0,83.18,83.25,83.15,83.25,1566300.0
2014-03-06,83.12,83.2,83.09,83.19,2111800.0,0.0,1.0,83.12,83.2,83.09,83.19,2111800.0
2014-03-05,83.09,83.1,83.06,83.07,4076600.0,0.0,1.0,83.09,83.1,83.06,83.07,4076600.0
2014-03-04,83.1,83.11,83.06,83.09,3916800.0,0.0,1.0,83.1,83.11,83.06,83.09,3916800.0
