Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2015-07-01,31.9,34.5,30.58,31.5,14882558.0,0.0,1.0,31.717102247503856,34.30219522065464,30.404670430365762,31.31939563624989,14882558.0
2015-07-02,31.59,32.4,30.88,31.03,11614740.0,0.0,1.0,31.408879623782028,32.21423551157131,30.702950388806237,30.85209036802648,11614740.0
2015-07-06,30.8,31.75,30.33,31.71,5942235.0,0.0,1.0,30.623409066555446,31.56796226828362,30.156103798332033,31.528191607158227,5942235.0
2015-07-07,31.7,32.02,31.25,31.94,6524038.0,0.0,1.0,31.518248941876873,31.836414230880052,31.07082900421616,31.75687290862925,6524038.0
2015-07-08,31.5,32.2,31.09,31.15,5131603.0,0.0,1.0,31.31939563624989,32.01538220594433,30.91174635971457,30.971402351402663,5131603.0
2015-07-09,31.31,31.55,30.01,30.06,6773330.0,0.0,1.0,31.13048499590425,31.36910896265664,29.83793850932886,29.887651835735607,6773330.0
2015-07-10,30.53,30.95,30.13,30.85,5027985.0,0.0,1.0,30.35495710395902,30.772549045775687,29.95725049270505,30.673122392962192,5027985.0
2015-07-13,30.68,31.08,30.12,30.23,5388606.0,0.0,1.0,30.504097083179254,30.901803694433227,29.9473078274237,30.056677145518545,5388606.0
2015-07-14,29.91,30.54,29.8295,30.47,6237095.0,0.0,1.0,29.73851185651537,30.36489976924037,29.658473401000514,30.295301112270927,6237095.0
2015-07-15,30.25,31.05,30.15,30.97,6800247.0,0.0,1.0,30.076562476081246,30.871975698589182,29.97713582326775,30.792434376338377,6800247.0
2015-07-16,31.12,32.07,30.97,31.46,8446463.0,0.0,1.0,30.941574355558625,31.886127557286787,30.792434376338377,31.279624975124488,8446463.0
2015-07-17,31.46,32.99,31.2,32.69,5830040.0,0.0,1.0,31.279624975124488,32.80085276317092,31.02111567780941,32.50257280473044,5830040.0
2015-07-20,32.5,32.72,32.28,32.38,2204369.0,0.0,1.0,32.31366216438481,32.532400800574486,32.094923528195125,32.194350181008616,2204369.0
2015-07-21,32.28,32.52,31.84,32.21,2404233.0,0.0,1.0,32.094923528195125,32.33354749494751,31.657446255815763,32.025324871225685,2404233.0
2015-07-22,31.87,32.18,31.5,31.84,2855754.0,0.0,1.0,31.687274251659808,31.995496875381637,31.31939563624989,31.657446255815763,2855754.0
2015-07-23,32.15,32.25,30.74,31.29,4578608.0,0.0,1.0,31.96566887953759,32.06509553235108,30.563753074867353,31.11059966534156,4578608.0
2015-07-24,30.96,32.25,30.59,30.89,4566518.0,0.0,1.0,30.782491711057034,32.06509553235108,30.41461309564712,30.71289305408759,4566518.0
2015-07-27,30.8,31.11,30.1,30.6,5341117.0,0.0,1.0,30.623409066555446,30.93163169027727,29.92742249686101,30.42455576092847,5341117.0
2015-07-28,30.56,30.74,30.02,30.44,5111251.0,0.0,1.0,30.384785099803068,30.563753074867353,29.847881174610208,30.26547311642688,5111251.0
2015-07-29,30.81,32.38,30.6,30.92,8018099.0,0.0,1.0,30.6333517318368,32.194350181008616,30.42455576092847,30.742721049931642,8018099.0
2015-07-30,30.51,32.15,30.45,31.91,5621741.0,0.0,1.0,30.33507177339632,31.96566887953759,30.275415781708226,31.72704491278521,5621741.0
2015-07-31,32.16,33.0,31.91,32.83,6420942.0,0.0,1.0,31.975611544818932,32.810795428452266,31.72704491278521,32.64177011866933,6420942.0
2015-08-03,32.58,33.59,32.5,33.15,5183391.0,0.0,1.0,32.393203486635606,33.39741268005187,32.31366216438481,32.9599354076725,5183391.0
2015-08-04,36.86,39.75,36.14,37.1,41139403.0,0.0,1.0,36.64866422705305,39.522094493362964,35.932792326795905,36.887288193805425,41139403.0
2015-08-05,37.2,38.25,36.21,37.3,7167872.0,0.0,1.0,36.98671484661892,38.03069470116058,36.00239098376535,37.08614149943241,7167872.0
2015-08-06,37.38,38.44,37.36,37.39,5768734.0,0.0,1.0,37.16568282168321,38.21960534150621,37.14579749112049,37.17562548696454,5768734.0
2015-08-07,37.46,37.94,36.9717,37.6,4558330.0,0.0,1.0,37.245224143934,37.72247207743875,36.75972379824572,37.38442145787288,4558330.0
2015-08-10,37.96,40.24,37.87,39.79,7011370.0,0.0,1.0,37.74235740800145,40.00928509214905,37.652873420469305,39.56186515448835,7011370.0
2015-08-11,38.95,39.08,38.0,38.72,5567403.0,0.0,1.0,38.72668127085503,38.85593591951256,37.782128069126856,38.49799996938399,5567403.0
2015-08-12,38.13,38.56,37.9,38.11,4033828.0,0.0,1.0,37.91138271778439,38.33891732488241,37.68270141631336,37.89149738722169,4033828.0
2015-08-13,38.06,38.87,37.75,38.25,5792875.0,0.0,1.0,37.84178406081495,38.64713994860423,37.53356143709311,38.03069470116058,5792875.0
2015-08-14,38.25,39.52,38.1124,39.44,4072398.0,0.0,1.0,38.03069470116058,39.29341319189193,37.89388362688921,39.21387186964113,4072398.0
