Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
1995-07-05,19.0,20.12,18.5,20.12,1390800.0,0.0,1.0,2.375,2.515,2.3125,2.515,11126400.0
1995-07-06,20.12,20.12,19.94,20.12,560800.0,0.0,1.0,2.515,2.515,2.4925,2.515,4486400.0
1995-07-07,20.12,21.0,20.0,21.0,414000.0,0.0,1.0,2.515,2.625,2.5,2.625,3312000.0
1995-07-10,21.0,23.5,21.0,22.12,197300.0,0.0,1.0,2.625,2.9375,2.625,2.765,1578400.0
1995-07-11,22.5,22.75,22.0,22.62,321400.0,0.0,1.0,2.8125,2.84375,2.75,2.8275,2571200.0
1995-07-12,22.75,24.75,22.62,24.25,301500.0,0.0,1.0,2.84375,3.09375,2.8275,3.03125,2412000.0
1995-07-13,23.75,24.25,23.75,23.75,19100.0,0.0,1.0,2.96875,3.03125,2.96875,2.96875,152800.0
1995-07-14,23.75,24.0,23.25,23.5,55200.0,0.0,1.0,2.96875,3.0,2.90625,2.9375,441600.0
1995-07-17,23.75,23.75,23.25,23.25,33800.0,0.0,1.0,2.96875,2.96875,2.90625,2.90625,270400.0
1995-07-18,23.25,23.75,22.75,22.75,39000.0,0.0,1.0,2.90625,2.96875,2.84375,2.84375,312000.0
1995-07-19,22.5,22.75,22.25,22.38,213800.0,0.0,1.0,2.8125,2.84375,2.78125,2.7975,1710400.0
1995-07-20,23.0,23.0,22.38,22.5,27100.0,0.0,1.0,2.875,2.875,2.7975,2.8125,216800.0
1995-07-21,22.75,24.0,22.75,24.0,158300.0,0.0,1.0,2.84375,3.0,2.84375,3.0,1266400.0
1995-07-24,23.5,23.75,22.75,23.25,112500.0,0.0,1.0,2.9375,2.96875,2.84375,2.90625,900000.0
1995-07-25,23.25,23.25,22.75,23.25,491100.0,0.0,1.0,2.90625,2.90625,2.84375,2.90625,3928800.0
1995-07-26,23.0,23.25,21.75,22.25,202200.0,0.0,1.0,2.875,2.90625,2.71875,2.78125,1617600.0
