,Open,High,Low,Close,Volume
2010-04-29,89.85,90.51,86.13,87.5,16173000
2010-04-30,86.68,86.92,84.72,84.77,1662300
2010-05-03,85.58,87.0595,84.47,86.7,1173300
2010-05-04,85.9,86.21,83.92,84.5,903000
2010-05-05,84.36,84.76,83.9,84.23,894300
2010-05-06,84.03,86.05,74.84,82.0,1358300
2010-05-07,81.5,83.29,80.73,81.97,1233700
2010-05-10,82.61,85.11,82.5,84.96,920200
2010-05-11,83.1,86.04,83.1,84.67,676900
2010-05-12,84.7,86.13,84.42,86.01,496400
2010-05-13,85.56,87.02,85.24,85.66,673300
2010-05-14,85.13,85.46,83.39,84.06,512500
2010-05-17,84.36,85.23,82.79,84.62,408000
2010-05-18,85.11,86.24,83.28,83.75,572800
2010-05-19,83.09,84.56,82.6,83.5,443200
2010-05-20,81.41,82.52,80.89,80.89,941500
2010-05-21,79.6,83.88,79.56,83.13,932200
2010-05-24,82.78,83.07,81.08,81.28,727400
2010-05-25,79.27,81.16,78.63,81.11,758200
2010-05-26,83.65,84.02,81.34,81.44,999300
2010-05-27,82.86,85.04,82.63,84.99,587600
2010-05-28,84.61,85.3203,83.13,83.71,497900
2010-06-01,83.24,84.28,81.74,81.9,484100
2010-06-02,82.13,83.93,80.74,83.93,524000
2010-06-03,83.0,84.66,82.46,84.43,501400
2010-06-04,82.57,82.81,81.48,81.58,717500
2010-06-07,81.23,81.6,79.18,79.435,831700
2010-06-08,79.64,80.02,77.76,79.27,814000
2010-06-09,80.0,80.0,77.83,78.1,910000
2010-06-10,79.02,80.46,78.32,80.31,718600
2010-06-11,79.53,81.06,79.3,79.82,744700
2010-06-14,80.36,81.8,79.52,80.16,1072800
2010-06-15,80.29,82.57,79.68,82.29,697000
2010-06-16,81.98,82.27,81.19,81.5,581000
2010-06-17,81.65,82.03,80.75,81.18,568400
2010-06-18,81.03,81.54,80.52,80.62,959500
2010-06-21,81.35,81.99,78.61,79.51,722800
2010-06-22,79.73,80.46,77.64,77.77,814600
2010-06-23,78.0,78.45,76.96,77.24,896400
2010-06-24,76.78,77.99,75.34,76.0,1451800
2010-06-25,76.1,78.705,75.94,78.07,910300
2010-06-28,78.14,78.75,76.66,78.13,648100
2010-06-29,77.2,77.4,75.67,76.03,1289200
2010-06-30,75.73,78.39,75.48,75.89,1047200
2010-07-01,75.74,77.78,72.97,75.74,1142500
2010-07-02,75.99,77.03,74.5,76.1,748700
2010-07-06,76.59,79.2,76.59,77.98,1188400
2010-07-07,77.76,79.58,77.22,79.52,723000
2010-07-08,79.54,80.55,79.0,79.83,825300
2010-07-09,79.83,80.42,79.4,80.23,450200
2010-07-12,79.8,80.83,79.56,80.31,525000
2010-07-13,81.68,81.88,78.35,78.52,1982600
2010-07-14,78.67,79.43,77.9441,78.83,1206500
2010-07-15,78.86,79.45,77.85,78.97,557500
2010-07-16,79.05,79.05,74.57,74.62,1301000
2010-07-19,74.7,75.27,74.08,74.38,810000
2010-07-20,73.53,76.65,72.67,76.31,1204000
2010-07-21,76.23,76.23,72.05,73.55,1805600
2010-07-22,75.26,77.22,74.63,75.6,1435700
2010-07-23,75.15,76.69,74.84,76.67,992800
2010-07-26,76.76,77.51,76.21,76.78,1071800
2010-07-27,76.78,77.2199,76.33,76.64,816000
2010-07-28,76.94,77.0,74.72,75.31,845400
2010-07-29,76.5,78.28,75.41,77.53,2080500
2010-07-30,76.83,77.84,76.01,77.45,632800
2010-08-02,78.47,79.2,77.58,78.33,652200
2010-08-03,77.91,78.5,77.34,77.66,445800
2010-08-04,77.34,78.69,77.34,78.3,428000
2010-08-05,77.94,78.25,77.47,77.64,313400
2010-08-06,77.02,78.0,75.8,77.84,647300
2010-08-09,77.98,78.2,77.1,77.48,334200
2010-08-10,76.76,78.27,76.5,77.37,582200
2010-08-11,76.39,77.12,75.93,76.89,845300
2010-08-12,75.77,76.98,75.1,76.58,541900
2010-08-13,76.37,76.71,75.4,76.08,313600
2010-08-16,75.57,76.76,75.31,76.19,356500
2010-08-17,76.67,76.67,74.92,76.11,823100
2010-08-18,75.61,76.55,74.89,75.88,425800
2010-08-19,75.98,76.32,73.73,75.37,723500
2010-08-20,75.35,75.41,74.17,75.34,548300
2010-08-23,75.89,75.94,74.27,74.29,533700
2010-08-24,73.58,74.0,72.43,73.34,575700
2010-08-25,72.67,75.35,72.47,75.1,657000
2010-08-26,75.07,75.1,73.84,74.45,370800
2010-08-27,74.75,75.23,73.16,74.67,589400
2010-08-30,76.03,77.05,74.29,74.29,683100
2010-08-31,74.0,74.07,72.65,72.85,657300
2010-09-01,74.17,76.48,73.5,75.73,617300
2010-09-02,75.41,76.92,75.41,76.61,453200
2010-09-03,77.2,77.88,76.77,77.48,376800
