Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2016-03-03,9.45,10.77,9.3601,10.3,72100514.0,0.0,1.0,9.45,10.77,9.3601,10.3,72100514.0
2016-03-02,8.88,9.54,8.72,9.45,12022281.0,0.0,1.0,8.88,9.54,8.72,9.45,12022281.0
2016-03-01,8.86,9.32,8.24,9.05,10889546.0,0.0,1.0,8.86,9.32,8.24,9.05,10889546.0
2016-02-29,8.55,8.74,8.11,8.63,10666228.0,0.0,1.0,8.55,8.74,8.11,8.63,10666228.0
2016-02-26,7.89,8.06,7.54,7.84,7225915.0,0.0,1.0,7.89,8.06,7.54,7.84,7225915.0
2016-02-25,7.87,8.09,7.32,7.65,14393701.0,0.0,1.0,7.87,8.09,7.32,7.65,14393701.0
2016-02-24,7.66,8.07,7.26,7.92,7485208.0,0.0,1.0,7.66,8.07,7.26,7.92,7485208.0
2016-02-23,8.81,9.02,7.81,7.91,7143322.0,0.0,1.0,8.81,9.02,7.81,7.91,7143322.0
2016-02-22,8.11,8.78,8.05,8.7,8338348.0,0.0,1.0,8.11,8.78,8.05,8.7,8338348.0
2016-02-19,8.28,8.57,7.7,7.87,6836811.0,0.0,1.0,8.28,8.57,7.7,7.87,6836811.0
2016-02-18,9.02,9.24,8.22,8.43,8909303.0,0.0,1.0,9.02,9.24,8.22,8.43,8909303.0
2016-02-17,8.0,9.09,7.96,8.87,9309943.0,0.0,1.0,8.0,9.09,7.96,8.87,9309943.0
2016-02-16,7.91,7.99,7.41,7.89,6259010.0,0.0,1.0,7.91,7.99,7.41,7.89,6259010.0
2016-02-12,7.55,7.835,7.14,7.79,7547519.0,0.0,1.0,7.55,7.835,7.14,7.79,7547519.0
2016-02-11,6.94,7.37,6.72,7.34,8444745.0,0.01,1.0,6.94,7.37,6.72,7.34,8444745.0
