Date,High,Low,Open,Close,Volume,Adj Close
1990-01-02,17.3125,16.8125,16.84375,17.28125,2678400.0,2.032137393951416
1990-01-03,17.28125,16.84375,17.28125,17.0,2736800.0,1.9990646839141846
1990-01-04,16.9375,16.5625,16.90625,16.78125,2671200.0,1.9733415842056274
1990-01-05,16.8125,16.53125,16.6875,16.53125,3282400.0,1.9439432621002197
1990-01-08,16.71875,16.46875,16.53125,16.6875,1534000.0,1.9623171091079712
1990-01-09,16.78125,16.5625,16.6875,16.5625,1630400.0,1.947618007659912
1990-01-10,16.625,16.3125,16.53125,16.5625,2067600.0,1.947618007659912
1990-01-11,16.75,16.5625,16.5625,16.59375,1299600.0,1.951292872428894
1990-01-12,16.5625,15.875,16.4375,16.0625,2897600.0,1.8888230323791504
1990-01-15,16.21875,16.0625,16.125,16.15625,1653600.0,1.899846076965332
1990-01-16,16.46875,16.03125,16.125,16.46875,2666400.0,1.936594009399414
1990-01-17,16.6875,16.28125,16.53125,16.375,1919200.0,1.9255704879760742
1990-01-18,16.53125,16.1875,16.375,16.5,2507200.0,1.940268874168396
1990-01-19,16.78125,16.65625,16.75,16.75,2354400.0,1.9696662425994873
1990-01-22,16.875,15.96875,16.75,16.09375,1956800.0,1.8924967050552368
1990-01-23,16.5,16.03125,16.21875,16.375,2326000.0,1.9255704879760742
1990-01-24,16.40625,16.03125,16.0625,16.34375,2602800.0,1.9218944311141968
1990-01-25,16.375,16.125,16.375,16.15625,1896400.0,1.899846076965332
1990-01-26,16.3125,15.78125,16.15625,16.09375,1823200.0,1.8924967050552368
1990-01-29,16.1875,15.84375,16.09375,16.09375,1908800.0,1.8924967050552368
1990-01-30,16.3125,16.0,16.15625,16.28125,2238400.0,1.9145445823669434
1990-01-31,16.78125,16.28125,16.34375,16.71875,1963200.0,1.9659919738769531
1990-02-01,16.78125,16.65625,16.75,16.65625,1190000.0,1.958642601966858
1990-02-02,16.84375,16.6875,16.75,16.78125,1847600.0,1.9733415842056274
1990-02-05,16.96875,16.6875,16.71875,16.875,1524400.0,1.9843659400939941
1990-02-06,16.84375,16.6875,16.84375,16.78125,1507200.0,1.9733415842056274
1990-02-07,16.96875,16.4375,16.46875,16.96875,3135200.0,2.082247734069824
1990-02-08,17.65625,16.90625,16.90625,17.5625,5555200.0,2.155106544494629
1990-02-09,17.53125,17.21875,17.5,17.28125,1763200.0,2.1205949783325195
1990-02-12,17.28125,16.9375,17.25,16.9375,1472800.0,2.0784125328063965
1990-02-13,17.125,16.625,16.96875,17.09375,3201600.0,2.0975863933563232
1990-02-14,17.5,17.1875,17.28125,17.40625,2800800.0,2.1359341144561768
1990-02-15,17.4375,17.21875,17.375,17.375,1686800.0,2.132098913192749
1990-02-16,17.5625,17.34375,17.4375,17.46875,3468800.0,2.1436030864715576
1990-02-20,17.34375,17.125,17.25,17.3125,2009200.0,2.124427318572998
1990-02-21,17.34375,17.09375,17.25,17.125,3024400.0,2.101421356201172
1990-02-22,17.28125,16.875,17.25,17.0,2400800.0,2.0860819816589355
1990-02-23,16.9375,16.6875,16.8125,16.71875,2195200.0,2.0515694618225098
1990-02-26,17.09375,16.71875,16.71875,17.09375,1849600.0,2.0975863933563232
1990-02-27,17.1875,16.875,17.0625,16.875,1943200.0,2.0707430839538574
1990-02-28,16.96875,16.78125,16.875,16.78125,1990000.0,2.059238910675049
1990-03-01,17.0625,16.78125,16.78125,16.96875,2472400.0,2.082247734069824
1990-03-02,17.15625,16.90625,16.96875,17.0625,1766000.0,2.0937514305114746
1990-03-05,17.15625,16.875,17.125,16.90625,1506400.0,2.074578046798706
1990-03-06,17.15625,16.90625,16.96875,17.125,1924800.0,2.101421356201172
1990-03-07,17.28125,17.09375,17.09375,17.1875,1986800.0,2.109090566635132
1990-03-08,17.28125,17.15625,17.1875,17.21875,1462800.0,2.112924098968506
1990-03-09,17.21875,17.0,17.15625,17.09375,2030000.0,2.0975863933563232
1990-03-12,17.15625,16.9375,17.0,17.15625,1188400.0,2.105255365371704
1990-03-13,17.15625,16.9375,17.09375,17.0,1344000.0,2.0860819816589355
1990-03-14,17.28125,16.96875,17.0,17.25,1977600.0,2.11676025390625
1990-03-15,17.25,17.0625,17.1875,17.125,1292000.0,2.101421356201172
1990-03-16,17.625,17.21875,17.3125,17.53125,3698400.0,2.1512718200683594
1990-03-19,17.40625,17.1875,17.40625,17.3125,2022400.0,2.124427318572998
1990-03-20,17.25,16.9375,17.21875,17.0,1966800.0,2.0860819816589355
1990-03-21,17.03125,16.875,16.96875,16.875,957200.0,2.0707430839538574
1990-03-22,16.96875,16.71875,16.875,16.84375,1444400.0,2.066908597946167
1990-03-23,17.03125,16.8125,16.90625,16.8125,1371600.0,2.0630738735198975
1990-03-26,16.90625,16.625,16.875,16.625,1395200.0,2.040064573287964
1990-03-27,16.875,16.625,16.625,16.6875,1184400.0,2.047734498977661
1990-03-28,16.875,16.78125,16.8125,16.84375,1121600.0,2.066908597946167
1990-03-29,17.0,16.8125,16.84375,16.90625,1376400.0,2.074578046798706
1990-03-30,16.96875,16.75,16.90625,16.875,1304400.0,2.0707430839538574
1990-04-02,16.8125,16.6875,16.6875,16.75,1307200.0,2.0554039478302
1990-04-03,17.03125,16.75,16.8125,16.96875,1592000.0,2.082247734069824
1990-04-04,17.1875,16.9375,17.1875,16.9375,1501200.0,2.0784125328063965
1990-04-05,17.09375,16.96875,17.03125,17.03125,703200.0,2.0899178981781006
1990-04-06,17.0625,16.90625,16.96875,16.96875,944400.0,2.082247734069824
1990-04-09,17.125,16.9375,17.03125,16.96875,667200.0,2.082247734069824
1990-04-10,17.03125,16.875,16.96875,16.90625,1129200.0,2.074578046798706
1990-04-11,16.65625,16.4375,16.5625,16.46875,2411200.0,2.0208919048309326
1990-04-12,16.6875,16.5,16.53125,16.6875,1024800.0,2.047734498977661
1990-04-16,16.9375,16.59375,16.625,16.78125,2026400.0,2.059238910675049
1990-04-17,16.78125,16.625,16.78125,16.6875,1150400.0,2.047734498977661
1990-04-18,16.75,16.3125,16.75,16.375,1385200.0,2.009387969970703
1990-04-19,16.53125,16.3125,16.3125,16.375,1460000.0,2.009387969970703
1990-04-20,16.4375,16.09375,16.4375,16.21875,2916400.0,1.9902139902114868
1990-04-23,16.21875,15.90625,16.1875,15.96875,2420800.0,1.959536075592041
1990-04-24,16.25,15.96875,16.0625,16.1875,1862400.0,1.9863797426223755
1990-04-25,16.40625,16.25,16.3125,16.34375,1566000.0,2.005552291870117
1990-04-26,16.4375,16.125,16.40625,16.34375,1210000.0,2.005552291870117
1990-04-27,16.5,16.21875,16.40625,16.28125,1180800.0,1.9978832006454468
1990-04-30,16.5,16.21875,16.25,16.46875,1152000.0,2.0208919048309326
1990-05-01,16.46875,16.34375,16.4375,16.375,1514400.0,2.09858775138855
1990-05-02,16.59375,16.34375,16.375,16.53125,1337200.0,2.1186115741729736
1990-05-03,16.71875,16.5625,16.59375,16.6875,1094800.0,2.138636350631714
1990-05-04,16.8125,16.65625,16.71875,16.78125,1034800.0,2.1506521701812744
1990-05-07,16.9375,16.71875,16.78125,16.84375,942400.0,2.1586618423461914
1990-05-08,17.0,16.875,16.90625,17.0,1749600.0,2.1786868572235107
1990-05-09,17.03125,16.84375,16.875,16.96875,1696000.0,2.1746819019317627
1990-05-10,17.03125,16.875,16.9375,16.875,1870800.0,2.1626665592193604
1990-05-11,17.15625,16.9375,17.0,17.125,2674000.0,2.194706916809082
1990-05-14,17.75,17.1875,17.21875,17.5625,4124400.0,2.250775098800659
1990-05-15,17.65625,17.5,17.5625,17.5625,2011200.0,2.250775098800659
1990-05-16,17.6875,17.5,17.6875,17.59375,1156400.0,2.2547807693481445
1990-05-17,17.6875,17.5,17.65625,17.5625,1069600.0,2.250775098800659
1990-05-18,17.59375,17.5,17.5625,17.5,2601200.0,2.2427659034729004
1990-05-21,17.625,17.4375,17.4375,17.5,1317600.0,2.2427659034729004
1990-05-22,17.625,17.4375,17.59375,17.5,1842000.0,2.2427659034729004
1990-05-23,17.46875,17.25,17.4375,17.34375,1648000.0,2.222740411758423
1990-05-24,17.34375,17.0,17.34375,17.0625,1089200.0,2.1866962909698486
1990-05-25,17.0,16.90625,17.0,16.9375,1447200.0,2.1706762313842773
1990-05-29,17.4375,16.875,16.875,17.34375,1828000.0,2.222740411758423
