,Open,High,Low,Close,Volume
2017-03-13,62.0,62.3854,61.33,61.98,7268995
2017-03-14,61.97,62.5,61.41,62.46,4501463
2017-03-15,62.79,63.28,62.23,63.14,4453955
2017-03-16,63.53,64.15,62.88,63.22,3496918
2017-03-17,63.59,63.92,62.89,63.86,4990010
2017-03-20,63.7,63.77,62.84,63.06,2756964
2017-03-21,63.22,63.26,61.73,61.87,3657760
2017-03-22,62.05,62.23,61.34,61.65,2880456
2017-03-23,61.54,62.36,61.25,61.88,1716658
2017-03-24,61.9,62.225,61.5,61.99,1894261
2017-03-27,61.7,62.485,61.35,62.17,1775511
2017-03-28,61.95,63.07,61.85,62.92,1829263
2017-03-29,62.62,63.115,62.465,62.99,2025977
2017-03-30,61.9,63.22,61.66,63.2,2627736
2017-03-31,63.07,63.77,63.05,63.49,3235829
2017-04-03,63.49,63.8,62.73,63.07,1995751
2017-04-04,63.06,63.67,62.52,63.48,1858552
2017-04-05,63.42,64.32,62.82,62.87,2101950
2017-04-06,62.77,63.67,62.6,63.15,1956362
2017-04-07,63.0,63.11,62.3,62.55,1883404
2017-04-10,64.26,64.48,63.09,63.61,4179981
2017-04-11,63.43,63.79,62.71,63.55,2441347
2017-04-12,63.51,64.07,63.13,63.99,2556504
2017-04-13,63.98,64.37,62.291,62.38,4528431
2017-04-17,62.5,62.63,58.62,58.79,7735972
2017-04-18,57.66,58.45,57.31,58.04,5658495
2017-04-19,58.15,59.82,58.1,59.58,4779131
2017-04-20,59.93,60.5,59.65,59.84,3040121
2017-04-21,59.81,60.28,59.52,59.61,1978094
2017-04-24,60.25,60.655,59.76,60.34,1822026
2017-04-25,61.05,62.61,60.55,62.54,3775976
2017-04-26,62.69,63.61,62.24,63.3,3259918
2017-04-27,63.97,65.605,63.84,65.0,4244004
2017-04-28,65.13,65.18,63.89,64.44,3631124
2017-05-01,63.46,65.17,62.62,62.93,5616416
2017-05-02,62.94,63.63,62.41,63.17,2958628
2017-05-03,63.16,63.16,60.26,60.38,3250952
2017-05-04,60.49,60.82,59.83,60.06,2881102
2017-05-05,60.56,61.72,60.0711,61.6,3401797
2017-05-08,61.76,62.37,60.7,61.28,2075830
2017-05-09,60.89,61.735,60.43,61.24,2839483
2017-05-10,61.15,61.76,60.42,61.67,2440384
2017-05-11,61.29,61.79,60.86,61.63,1483402
2017-05-12,61.64,61.68,60.94,61.37,1287822
2017-05-15,61.24,62.07,61.24,61.51,1547571
2017-05-16,61.82,62.45,61.69,62.27,2025193
2017-05-17,63.81,65.41,62.69,62.77,8795615
2017-05-18,62.81,63.63,62.26,62.55,2541508
2017-05-19,62.68,64.17,62.07,63.53,2066364
2017-05-22,63.48,63.97,63.37,63.8,1561542
2017-05-23,64.05,64.23,63.2,63.86,1738414
2017-05-24,63.53,63.83,61.62,63.33,3359266
2017-05-25,63.61,64.76,62.52,63.9,3039356
2017-05-26,64.03,64.1527,63.48,64.12,1548364
2017-05-30,64.07,64.262,62.325,63.63,1114709
2017-05-31,63.76,64.15,63.2,63.77,1942826
2017-06-01,63.99,65.25,63.53,65.21,2207332
2017-06-02,65.45,66.31,64.85,66.08,1915610
2017-06-05,66.2,66.44,65.37,66.19,2095273
2017-06-06,66.21,66.27,64.3,64.58,2053701
2017-06-07,64.69,65.055,64.54,64.89,1525585
2017-06-08,64.77,64.77,63.39,63.97,1977744
2017-06-09,65.44,66.25,64.505,65.02,4846930
2017-06-12,64.63,65.38,64.29,64.99,2132843
2017-06-13,64.71,66.33,64.71,66.04,1790604
2017-06-14,66.34,66.48,64.61,64.88,1618596
2017-06-15,64.61,65.35,64.21,65.28,1231013
2017-06-16,65.21,65.21,63.7,64.5,2776258
2017-06-19,64.66,65.285,64.23,64.98,1329906
2017-06-20,65.06,65.06,63.1,63.24,1468514
2017-06-21,63.4,63.47,62.7501,63.24,1740581
2017-06-22,63.24,63.77,62.56,63.02,1812231
2017-06-23,63.12,64.01,62.62,63.89,1123219
2017-06-26,64.04,64.46,63.65,63.85,870847
2017-06-27,63.81,64.98,63.6548,63.83,1536923
2017-06-28,64.04,65.19,64.04,64.74,1411492
2017-06-29,64.41,64.46,62.27,62.69,2253746
2017-06-30,63.23,63.29,62.04,62.76,1576168
2017-07-03,63.29,63.715,62.86,62.88,597225
2017-07-05,62.89,63.22,62.22,62.77,1425785
2017-07-06,62.84,64.12,62.48,63.4,2809604
2017-07-07,63.65,64.62,63.46,63.89,1520254
2017-07-10,63.83,64.43,63.54,64.3,1054287
2017-07-11,64.36,65.305,64.25,64.78,1477398
2017-07-12,65.14,65.66,64.73,65.19,1606415
2017-07-13,65.14,65.14,64.5,64.65,2315776
2017-07-14,64.97,66.26,64.94,66.0,1804067
2017-07-17,66.05,66.5,65.47,65.87,1414908
2017-07-18,65.67,65.77,64.96,65.53,1566728
2017-07-19,65.79,66.0,65.0,65.09,1642156
2017-07-20,65.25,66.0,65.01,65.09,1308306
2017-07-21,64.84,65.27,64.15,64.72,1719524
2017-07-24,64.66,64.92,64.14,64.33,2032340
2017-07-25,64.51,65.16,64.0422,64.44,1401196
2017-07-26,62.99,64.3,62.71,64.27,2169510
2017-07-27,64.4,64.62,62.9,63.88,2121402
2017-07-28,63.8,64.19,63.5,63.94,1117429
