Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2016-09-30,17.95,18.09,17.26,17.61,26040633.0,0.0,1.0,17.95,18.09,17.26,17.61,26040633.0
2016-09-29,17.3,18.495,17.27,17.82,6299357.0,0.0,1.0,17.3,18.495,17.27,17.82,6299357.0
2016-09-28,16.01,17.46,16.01,17.18,6452523.0,0.0,1.0,16.01,17.46,16.01,17.18,6452523.0
2016-09-27,15.82,16.235,15.64,16.01,3023393.0,0.0,1.0,15.82,16.235,15.64,16.01,3023393.0
2016-09-26,15.71,16.19,15.51,16.06,3120374.0,0.0,1.0,15.71,16.19,15.51,16.06,3120374.0
2016-09-23,16.09,16.5,15.54,15.63,3775275.0,0.0,1.0,16.09,16.5,15.54,15.63,3775275.0
2016-09-22,16.11,16.47,16.09,16.23,3389460.0,0.0,1.0,16.11,16.47,16.09,16.23,3389460.0
2016-09-21,14.89,15.915,14.81,15.8,3964916.0,0.0,1.0,14.89,15.915,14.81,15.8,3964916.0
2016-09-20,14.95,15.52,14.68,15.26,3632868.0,0.0,1.0,14.95,15.52,14.68,15.26,3632868.0
2016-09-19,15.47,15.59,14.94,14.94,2945843.0,0.0,1.0,15.47,15.59,14.94,14.94,2945843.0
2016-09-16,15.34,15.825,15.07,15.32,7617362.0,0.0,1.0,15.34,15.825,15.07,15.32,7617362.0
2016-09-15,14.85,15.63,14.77,15.62,4626457.0,0.0,1.0,14.85,15.63,14.77,15.62,4626457.0
2016-09-14,15.04,15.42,14.67,14.8,6513915.0,0.0,1.0,15.04,15.42,14.67,14.8,6513915.0
2016-09-13,15.69,15.71,14.895,15.16,4731920.0,0.0,1.0,15.69,15.71,14.895,15.16,4731920.0
2016-09-12,15.42,15.99,15.25,15.79,3130141.0,0.0,1.0,15.42,15.99,15.25,15.79,3130141.0
2016-09-09,16.99,17.2,15.6,15.6,5059350.0,0.0,1.0,16.99,17.2,15.6,15.6,5059350.0
2016-09-08,16.06,17.6944,16.06,17.4,6927394.0,0.0,1.0,16.06,17.6944,16.06,17.4,6927394.0
2016-09-07,16.42,16.56,15.94,15.97,4654639.0,0.0,1.0,16.42,16.56,15.94,15.97,4654639.0
2016-09-06,16.38,16.61,16.02,16.4,3175580.0,0.0,1.0,16.38,16.61,16.02,16.4,3175580.0
2016-09-02,16.57,16.74,16.23,16.28,2920367.0,0.0,1.0,16.57,16.74,16.23,16.28,2920367.0
2016-09-01,18.03,18.13,16.44,16.51,5963647.0,0.0,1.0,18.03,18.13,16.44,16.51,5963647.0
2016-08-31,18.45,18.56,18.22,18.47,1693615.0,0.0,1.0,18.45,18.56,18.22,18.47,1693615.0
2016-08-30,18.88,19.05,18.44,18.56,1819611.0,0.0,1.0,18.88,19.05,18.44,18.56,1819611.0
2016-08-29,18.62,18.94,18.570999999999998,18.78,1353132.0,0.0,1.0,18.62,18.94,18.570999999999998,18.78,1353132.0
2016-08-26,18.88,19.18,18.63,18.8,1419804.0,0.0,1.0,18.88,19.18,18.63,18.8,1419804.0
2016-08-25,19.01,19.224,18.74,18.86,1076841.0,0.0,1.0,19.01,19.224,18.74,18.86,1076841.0
2016-08-24,19.14,19.47,18.78,18.9,1897247.0,0.0,1.0,19.14,19.47,18.78,18.9,1897247.0
2016-08-23,19.23,19.69,19.16,19.34,1247892.0,0.0,1.0,19.23,19.69,19.16,19.34,1247892.0
2016-08-22,19.49,19.5,19.17,19.28,1613082.0,0.0,1.0,19.49,19.5,19.17,19.28,1613082.0
2016-08-19,20.14,20.19,19.6,19.79,1329467.0,0.0,1.0,20.14,20.19,19.6,19.79,1329467.0
2016-08-18,19.87,20.51,19.83,20.31,1458821.0,0.0,1.0,19.87,20.51,19.83,20.31,1458821.0
2016-08-17,20.06,20.12,19.15,19.78,2767084.0,0.0,1.0,20.06,20.12,19.15,19.78,2767084.0
2016-08-16,20.65,20.81,20.06,20.22,1681585.0,0.0,1.0,20.65,20.81,20.06,20.22,1681585.0
2016-08-15,20.24,20.865,20.13,20.6,1977561.0,0.0,1.0,20.24,20.865,20.13,20.6,1977561.0
2016-08-12,20.85,20.94,20.02,20.16,2605801.0,0.0,1.0,20.85,20.94,20.02,20.16,2605801.0
2016-08-11,20.73,20.93,20.49,20.75,2288196.0,0.0,1.0,20.73,20.93,20.49,20.75,2288196.0
2016-08-10,21.53,21.59,20.56,20.63,2482084.0,0.0,1.0,21.53,21.59,20.56,20.63,2482084.0
2016-08-09,22.16,22.25,21.28,21.42,2190754.0,0.0,1.0,22.16,22.25,21.28,21.42,2190754.0
2016-08-08,21.73,22.25,21.48,22.06,2525716.0,0.0,1.0,21.73,22.25,21.48,22.06,2525716.0
2016-08-05,21.37,21.69,21.04,21.46,2262674.0,0.0,1.0,21.37,21.69,21.04,21.46,2262674.0
2016-08-04,21.24,21.62,21.18,21.36,2988060.0,0.0,1.0,21.24,21.62,21.18,21.36,2988060.0
2016-08-03,20.78,21.45,20.7,21.23,2929434.0,0.0,1.0,20.78,21.45,20.7,21.23,2929434.0
2016-08-02,21.44,21.55,20.425,20.78,4142797.0,0.0,1.0,21.44,21.55,20.425,20.78,4142797.0
