Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2003-12-23,15.4,16.91,15.3,16.9,1388800.0,0.0,1.0,15.4,16.91,15.3,16.9,1388800.0
2003-12-24,16.85,16.85,16.22,16.41,2286100.0,0.0,1.0,16.85,16.85,16.22,16.41,2286100.0
2003-12-26,16.4,16.5,16.25,16.4,1478400.0,0.0,1.0,16.4,16.5,16.25,16.4,1478400.0
2003-12-29,16.55,16.55,16.24,16.31,1793100.0,0.0,1.0,16.55,16.55,16.24,16.31,1793100.0
2003-12-30,16.45,16.55,16.28,16.47,1259300.0,0.0,1.0,16.45,16.55,16.28,16.47,1259300.0
2003-12-31,16.4,16.67,16.37,16.55,1354400.0,0.0,1.0,16.4,16.67,16.37,16.55,1354400.0
2004-01-02,16.56,16.91,16.0,16.01,3092300.0,0.0,1.0,16.56,16.91,16.0,16.01,3092300.0
2004-01-05,16.25,16.52,16.0,16.35,2984000.0,0.0,1.0,16.25,16.52,16.0,16.35,2984000.0
2004-01-06,16.35,16.55,16.24,16.4,1604000.0,0.0,1.0,16.35,16.55,16.24,16.4,1604000.0
2004-01-07,16.0,16.6,16.0,16.2,2640000.0,0.0,1.0,16.0,16.6,16.0,16.2,2640000.0
2004-01-08,16.35,17.23,16.33,17.01,3329500.0,0.0,1.0,16.35,17.23,16.33,17.01,3329500.0
2004-01-09,16.76,17.7,16.7,17.17,2325900.0,0.0,1.0,16.76,17.7,16.7,17.17,2325900.0
2004-01-12,17.25,17.5,17.0,17.4,1588700.0,0.0,1.0,17.25,17.5,17.0,17.4,1588700.0
2004-01-13,17.2,17.38,16.7,16.88,1859800.0,0.0,1.0,17.2,17.38,16.7,16.88,1859800.0
2004-01-14,16.88,17.14,16.52,16.85,2628200.0,0.0,1.0,16.88,17.14,16.52,16.85,2628200.0
2004-01-15,16.82,17.04,16.68,16.77,1605400.0,0.0,1.0,16.82,17.04,16.68,16.77,1605400.0
2004-01-16,17.9,17.9,17.06,17.23,2103600.0,0.0,1.0,17.9,17.9,17.06,17.23,2103600.0
