,Open,High,Low,Close,Volume
2018-06-20,218.62,221.94,217.54,221.72,2612514
2018-06-21,221.18,222.92,218.335,218.82,1418393
2018-06-22,219.09,219.525,214.81,216.31,1603615
2018-06-25,215.11,215.11,210.2,210.98,1301328
2018-06-26,210.56,212.02,209.49,210.65,1502503
2018-06-27,210.77,212.2362,208.11,208.41,1282026
2018-06-28,207.75,211.08,207.27,210.92,669047
2018-06-29,211.49,212.64,210.11,210.65,730095
2018-07-02,209.7,212.71,209.13,212.56,441382
2018-07-03,214.08,214.99,212.7,214.2,354379
2018-07-05,214.64,215.41,212.27,214.17,784631
2018-07-06,214.28,217.95,214.08,216.79,589681
2018-07-09,216.57,219.19,216.57,218.54,645588
2018-07-10,220.72,220.72,218.66,219.43,563890
2018-07-11,218.74,219.69,218.295,219.23,476214
2018-07-12,220.89,221.41,219.59,220.5,934355
2018-07-13,220.51,221.09,218.03,220.23,647607
2018-07-16,220.5,220.99,215.97,216.18,622292
2018-07-17,215.37,217.13,214.17,216.22,1355695
2018-07-18,216.91,218.15,215.23,217.89,860489
2018-07-19,218.08,219.16,217.19,218.0,450121
2018-07-20,219.25,220.66,218.5811,219.09,607471
2018-07-23,219.41,219.5,217.315,219.29,741225
2018-07-24,220.01,221.58,218.89,221.51,744688
2018-07-25,220.67,225.92,219.52,225.55,765834
2018-07-26,225.39,225.39,222.56,223.91,653949
2018-07-27,224.06,224.52,219.3,220.82,599552
2018-07-30,220.09,220.84,214.82,216.75,764049
2018-07-31,217.51,220.98,215.45,217.0,698058
2018-08-01,216.12,218.86,214.775,218.23,860027
2018-08-02,217.73,222.84,215.55,221.57,1185423
2018-08-03,219.35,221.92,210.64,216.06,1681628
2018-08-06,215.02,217.7,213.8,216.85,559706
2018-08-07,217.6,218.68,216.46,217.56,454991
2018-08-08,217.66,218.46,216.06,217.72,371085
2018-08-09,217.72,219.02,215.73,215.9,584951
2018-08-10,215.0,218.55,215.0,217.53,450211
2018-08-13,217.23,218.84,214.7,214.82,471470
2018-08-14,215.98,216.44,214.4278,215.2,379410
2018-08-15,214.27,215.38,211.39,212.62,522958
2018-08-16,213.63,215.04,212.09,214.05,505877
2018-08-17,214.47,215.28,212.8505,214.19,380299
2018-08-20,215.02,215.91,213.37,215.15,288881
2018-08-21,216.07,217.18,215.59,216.01,351406
2018-08-22,215.32,217.96,215.32,217.57,315731
2018-08-23,217.69,219.06,215.7,216.11,405650
2018-08-24,216.13,218.4,216.12,218.09,297747
2018-08-27,219.25,221.06,219.22,219.42,452470
2018-08-28,219.94,220.61,216.4,216.6,354193
2018-08-29,216.19,217.08,214.7708,216.53,438421
2018-08-30,216.6,216.6,214.24,214.31,436020
2018-08-31,214.01,214.96,213.32,213.74,852564
2018-09-04,214.05,215.53,213.02,215.31,595177
2018-09-05,215.2,215.87,211.9,214.83,438266
2018-09-06,215.06,217.16,214.83,216.18,513895
2018-09-07,215.1,216.51,213.26,214.86,379135
2018-09-10,215.86,218.05,215.22,217.61,349090
2018-09-11,216.45,218.21,215.97,217.21,406849
2018-09-12,217.34,221.58,217.23,221.01,407663
2018-09-13,221.0,222.5,220.87,221.64,494888
2018-09-14,221.93,222.79,219.05,221.08,324270
2018-09-17,221.2,221.2,218.55,218.75,313827
2018-09-18,218.05,222.03,217.49,221.01,329806
2018-09-19,221.2,221.2,219.33,219.93,270267
2018-09-20,220.47,222.4,220.11,222.18,347046
2018-09-21,223.76,227.15,221.9,222.28,1059089
2018-09-24,221.08,222.78,219.35,222.0,437199
2018-09-25,222.14,226.5297,220.585,225.69,459841
2018-09-26,226.77,227.1,224.7,225.13,477576
2018-09-27,225.64,228.0385,225.64,227.42,444457
2018-09-28,227.16,230.125,226.95,227.84,884898
2018-10-01,229.02,230.24,225.6248,226.04,485395
2018-10-02,226.14,226.14,223.55,224.64,627239
2018-10-03,225.27,227.18,224.42,226.1,559067
2018-10-04,225.33,225.33,219.47,220.97,605870
2018-10-05,220.09,221.745,215.86,218.45,458876
2018-10-08,218.69,219.66,213.9802,216.81,534246
2018-10-09,215.91,217.145,213.81,215.16,442028
2018-10-10,214.69,215.16,204.86,205.28,746603
2018-10-11,204.28,207.88,199.61,200.6,703774
2018-10-12,205.18,208.98,204.38,208.26,732036
2018-10-15,208.0,209.65,207.2,208.56,600924
2018-10-16,209.26,214.15,208.26,213.89,413976
2018-10-17,213.79,214.4,211.64,212.89,473530
2018-10-18,212.21,213.0,205.51,206.73,599911
2018-10-19,207.57,209.375,202.48,204.09,841461
2018-10-22,204.99,205.45,202.06,203.55,457631
2018-10-23,200.4,202.39,197.15,201.34,721648
2018-10-24,201.13,201.9673,191.98,192.17,719259
2018-10-25,193.49,196.91,191.71,195.0,895148
2018-10-26,191.26,192.81,186.76,188.4,1024919
2018-10-29,190.55,192.1,180.22,183.23,1382120
2018-10-30,183.85,185.83,180.15,185.25,1434601
2018-10-31,197.25,204.93,196.64,200.03,1668668
2018-11-01,200.47,200.72,197.8,199.84,1073494
2018-11-02,200.23,203.01,194.82,197.34,728106
