,Open,High,Low,Close,Volume
2019-01-02,86.54,87.51,86.15,87.5,3119544
2019-01-03,87.77,88.85,84.93,85.19,5090289
2019-01-04,86.52,88.15,85.78,87.4,5006562
2019-01-07,86.97,88.1,86.23,87.46,2888137
2019-01-08,87.79,88.5,85.45,86.57,2416766
2019-01-09,86.92,87.91,85.85,87.25,1506654
2019-01-10,86.11,86.64,84.9,86.05,1534915
2019-01-11,85.28,85.63,84.27,84.49,1806606
2019-01-14,83.96,85.2,83.68,84.34,2926663
2019-01-15,91.94,95.03,87.92,94.33,5032377
2019-01-16,95.01,96.25,94.35,95.6,2821428
2019-01-17,95.1,95.69,94.61,95.68,1477301
2019-01-18,96.14,97.43,95.2,96.02,1150187
2019-01-22,95.64,96.38,94.8,95.72,1050900
2019-01-23,95.75,96.44,94.79,95.49,718563
2019-01-24,95.09,96.48,94.27,95.34,1262783
2019-01-25,96.14,97.25,95.44,97.12,972093
2019-01-28,96.59,97.54,96.24,97.17,981081
2019-01-29,97.02,97.6,95.94,96.06,856603
2019-01-30,96.03,97.33,95.65,97.05,1051047
2019-01-31,96.35,97.45,95.84,96.63,1228422
2019-02-01,96.9,98.86,96.65,98.4,2330040
2019-02-04,98.27,99.29,97.88,99.27,2175690
2019-02-05,99.62,99.64,97.95,99.36,1175951
2019-02-06,99.13,99.83,98.82,99.8,865647
2019-02-07,100.39,100.87,99.36,100.66,1150984
2019-02-08,100.44,100.78,99.43,100.53,1303088
2019-02-11,100.88,100.99,99.83,100.4,1113023
2019-02-12,101.28,101.59,100.37,100.9,1227643
2019-02-13,101.04,101.24,100.08,100.4,1303102
2019-02-14,99.76,99.81,98.38,99.54,1159245
2019-02-15,100.45,101.82,100.32,101.63,1227760
2019-02-19,100.74,102.285,99.42,102.0,1024246
2019-02-20,102.17,103.37,101.61,103.19,824350
2019-02-21,103.14,103.425,102.25,103.29,1172229
2019-02-22,103.46,104.06,103.05,103.67,942501
2019-02-25,104.2,104.6,103.19,103.66,844226
2019-02-26,103.35,104.26,102.94,103.28,1251241
2019-02-27,103.41,105.01,103.03,104.94,821828
2019-02-28,105.08,106.19,104.91,104.98,1281282
2019-03-01,104.88,105.95,104.18,105.44,941202
2019-03-04,105.62,105.76,103.48,104.77,900014
2019-03-05,104.52,105.57,103.75,104.96,669538
2019-03-06,104.74,105.24,102.73,103.03,846867
2019-03-07,102.45,102.65,101.12,101.53,997143
