Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
1990-01-02,41.88,41.88,41.0,41.38,71200.0,0.0,1.0,2.6175,2.6175,2.5625,2.58625,1139200.0
1990-01-03,41.38,42.0,41.38,42.0,103600.0,0.0,1.0,2.58625,2.625,2.58625,2.625,1657600.0
1990-01-04,42.0,42.25,41.88,42.25,26500.0,0.0,1.0,2.625,2.640625,2.6175,2.640625,424000.0
1990-01-05,42.25,42.5,42.12,42.5,76400.0,0.0,1.0,2.640625,2.65625,2.6325,2.65625,1222400.0
1990-01-08,42.5,43.0,42.25,42.5,82500.0,0.0,1.0,2.65625,2.6875,2.640625,2.65625,1320000.0
1990-01-09,42.5,42.5,42.12,42.5,69300.0,0.0,1.0,2.65625,2.65625,2.6325,2.65625,1108800.0
1990-01-10,42.0,42.12,41.38,41.5,68200.0,0.0,1.0,2.625,2.6325,2.58625,2.59375,1091200.0
1990-01-11,41.5,41.62,41.5,41.62,18800.0,0.0,1.0,2.59375,2.60125,2.59375,2.60125,300800.0
1990-01-12,41.12,41.75,41.12,41.5,58800.0,0.0,1.0,2.57,2.609375,2.57,2.59375,940800.0
1990-01-15,41.5,41.62,41.5,41.5,49100.0,0.0,1.0,2.59375,2.60125,2.59375,2.59375,785600.0
1990-01-16,41.25,41.38,40.38,41.12,79700.0,0.0,1.0,2.578125,2.58625,2.52375,2.57,1275200.0
1990-01-17,41.38,41.5,40.75,41.0,31300.0,0.0,1.0,2.58625,2.59375,2.546875,2.5625,500800.0
1990-01-18,40.88,41.25,40.75,41.0,64100.0,0.0,1.0,2.555,2.578125,2.546875,2.5625,1025600.0
1990-01-19,41.25,41.75,41.25,41.62,44700.0,0.0,1.0,2.578125,2.609375,2.578125,2.60125,715200.0
1990-01-22,41.88,41.88,41.25,41.5,48500.0,0.0,1.0,2.6175,2.6175,2.578125,2.59375,776000.0
1990-01-23,41.38,41.5,41.0,41.5,74300.0,0.0,1.0,2.58625,2.59375,2.5625,2.59375,1188800.0
1990-01-24,41.25,41.25,40.5,41.25,116200.0,0.0,1.0,2.578125,2.578125,2.53125,2.578125,1859200.0
1990-01-25,41.12,41.12,40.62,40.88,126200.0,0.0,1.0,2.57,2.57,2.53875,2.555,2019200.0
1990-01-26,40.62,40.88,39.0,39.12,153300.0,0.0,1.0,2.53875,2.555,2.4375,2.445,2452800.0
1990-01-29,39.25,39.25,38.12,38.25,42400.0,0.0,1.0,2.453125,2.453125,2.3825,2.390625,678400.0
1990-01-30,37.75,38.0,37.0,37.0,183800.0,0.0,1.0,2.359375,2.375,2.3125,2.3125,2940800.0
1990-01-31,36.75,37.62,36.62,37.62,80200.0,0.0,1.0,2.296875,2.35125,2.28875,2.35125,1283200.0
1990-02-01,37.62,39.25,37.62,39.25,69100.0,0.0,1.0,2.35125,2.453125,2.35125,2.453125,1105600.0
1990-02-02,39.12,41.0,39.12,40.75,69900.0,0.0,1.0,2.445,2.5625,2.445,2.546875,1118400.0
1990-02-05,41.0,41.12,40.75,40.75,9600.0,0.0,1.0,2.5625,2.57,2.546875,2.546875,153600.0
1990-02-06,40.62,40.62,39.62,39.75,173900.0,0.0,1.0,2.53875,2.53875,2.47625,2.484375,2782400.0
1990-02-07,39.5,40.38,39.5,40.12,113800.0,0.0,1.0,2.46875,2.52375,2.46875,2.5075,1820800.0
1990-02-08,40.25,40.75,40.12,40.12,15400.0,0.0,1.0,2.515625,2.546875,2.5075,2.5075,246400.0
1990-02-09,40.38,41.12,40.38,41.12,28800.0,0.0,1.0,2.52375,2.57,2.52375,2.57,460800.0
1990-02-12,40.88,41.12,40.75,40.88,22200.0,0.0,1.0,2.555,2.57,2.546875,2.555,355200.0
1990-02-13,40.75,40.88,40.5,40.5,80100.0,0.0,1.0,2.546875,2.555,2.53125,2.53125,1281600.0
1990-02-14,40.25,40.75,40.25,40.75,93900.0,0.0,1.0,2.515625,2.546875,2.515625,2.546875,1502400.0
1990-02-15,40.75,41.38,40.75,41.38,36400.0,0.0,1.0,2.546875,2.58625,2.546875,2.58625,582400.0
1990-02-16,41.0,41.62,41.0,41.5,55200.0,0.0,1.0,2.5625,2.60125,2.5625,2.59375,883200.0
1990-02-20,41.25,41.25,40.25,40.25,28000.0,0.0,1.0,2.578125,2.578125,2.515625,2.515625,448000.0
1990-02-21,40.0,40.12,39.75,39.75,39300.0,0.0,1.0,2.5,2.5075,2.484375,2.484375,628800.0
1990-02-22,39.75,40.0,39.62,39.75,32700.0,0.0,1.0,2.484375,2.5,2.47625,2.484375,523200.0
1990-02-23,39.5,39.62,38.12,38.12,37700.0,0.0,1.0,2.46875,2.47625,2.3825,2.3825,603200.0
1990-02-26,37.62,37.88,36.75,37.12,126500.0,0.0,1.0,2.35125,2.3675,2.296875,2.32,2024000.0
1990-02-27,36.88,37.88,36.88,36.88,79100.0,0.0,1.0,2.305,2.3675,2.305,2.305,1265600.0
1990-02-28,36.62,37.0,36.25,36.62,147300.0,0.0,1.0,2.28875,2.3125,2.265625,2.28875,2356800.0
1990-03-01,36.62,36.62,33.62,36.38,614300.0,0.0,1.0,2.28875,2.28875,2.10125,2.27375,9828800.0
1990-03-02,36.0,36.88,35.12,35.38,649100.0,0.0,1.0,2.25,2.305,2.195,2.21125,10385600.0
1990-03-05,35.5,36.25,35.5,36.25,142200.0,0.0,1.0,2.21875,2.265625,2.21875,2.265625,2275200.0
1990-03-06,36.62,36.88,35.38,35.38,322400.0,0.0,1.0,2.28875,2.305,2.21125,2.21125,5158400.0
1990-03-07,35.25,35.62,35.0,35.0,133300.0,0.0,1.0,2.203125,2.22625,2.1875,2.1875,2132800.0
1990-03-08,35.25,38.38,35.25,38.25,88100.0,0.0,1.0,2.203125,2.39875,2.203125,2.390625,1409600.0
1990-03-09,38.38,38.75,36.75,37.25,78300.0,0.0,1.0,2.39875,2.421875,2.296875,2.328125,1252800.0
1990-03-12,37.25,38.25,37.0,38.25,113100.0,0.0,1.0,2.328125,2.390625,2.3125,2.390625,1809600.0
1990-03-13,38.0,38.5,37.75,38.0,54900.0,0.0,1.0,2.375,2.40625,2.359375,2.375,878400.0
1990-03-14,37.88,38.25,37.88,38.0,79400.0,0.0,1.0,2.3675,2.390625,2.3675,2.375,1270400.0
1990-03-15,37.88,38.12,37.38,38.0,41300.0,0.0,1.0,2.3675,2.3825,2.33625,2.375,660800.0
1990-03-16,38.0,38.62,37.88,38.5,108800.0,0.0,1.0,2.375,2.41375,2.3675,2.40625,1740800.0
1990-03-19,38.25,38.75,38.12,38.75,48600.0,0.0,1.0,2.390625,2.421875,2.3825,2.421875,777600.0
1990-03-20,38.88,39.88,38.5,39.88,188700.0,0.0,1.0,2.43,2.4925,2.40625,2.4925,3019200.0
1990-03-21,40.5,40.5,39.88,40.12,102500.0,0.0,1.0,2.53125,2.53125,2.4925,2.5075,1640000.0
1990-03-22,39.88,40.12,39.62,39.62,36900.0,0.0,1.0,2.4925,2.5075,2.47625,2.47625,590400.0
1990-03-23,39.88,40.0,39.25,39.25,42300.0,0.0,1.0,2.4925,2.5,2.453125,2.453125,676800.0
1990-03-26,39.5,40.38,39.5,39.62,33100.0,0.0,1.0,2.46875,2.52375,2.46875,2.47625,529600.0
1990-03-27,39.75,39.75,39.38,39.62,22300.0,0.0,1.0,2.484375,2.484375,2.46125,2.47625,356800.0
1990-03-28,39.75,39.88,39.62,39.88,13000.0,0.0,1.0,2.484375,2.4925,2.47625,2.4925,208000.0
1990-03-29,39.88,39.88,39.38,39.75,9400.0,0.0,1.0,2.4925,2.4925,2.46125,2.484375,150400.0
1990-03-30,39.75,40.0,39.38,40.0,39200.0,0.0,1.0,2.484375,2.5,2.46125,2.5,627200.0
1990-04-02,39.62,39.88,39.5,39.62,11700.0,0.0,1.0,2.47625,2.4925,2.46875,2.47625,187200.0
1990-04-03,39.62,39.88,39.62,39.75,7400.0,0.0,1.0,2.47625,2.4925,2.47625,2.484375,118400.0
1990-04-04,39.25,39.25,38.62,38.88,53900.0,0.0,1.0,2.453125,2.453125,2.41375,2.43,862400.0
1990-04-05,38.62,38.62,37.62,37.62,179300.0,0.0,1.0,2.41375,2.41375,2.35125,2.35125,2868800.0
1990-04-06,37.75,37.75,37.0,37.0,81500.0,0.0,1.0,2.359375,2.359375,2.3125,2.3125,1304000.0
1990-04-09,37.12,37.5,37.12,37.5,36600.0,0.0,1.0,2.32,2.34375,2.32,2.34375,585600.0
1990-04-10,37.38,38.38,37.38,38.38,73600.0,0.0,1.0,2.33625,2.39875,2.33625,2.39875,1177600.0
1990-04-11,38.38,38.75,38.38,38.5,54000.0,0.0,1.0,2.39875,2.421875,2.39875,2.40625,864000.0
1990-04-12,38.5,39.25,38.5,39.0,42800.0,0.0,1.0,2.40625,2.453125,2.40625,2.4375,684800.0
