,Open,High,Low,Close,Volume
2016-04-25,74.01,74.31,73.1101,73.29,2359589
2016-04-26,73.4,73.93,72.58,73.19,2328937
2016-04-27,73.51,75.95,73.21,74.75,2841021
2016-04-28,74.84,74.86,72.57,72.81,1525930
2016-04-29,72.65,73.08,71.67,72.18,2355872
2016-05-02,72.76,73.27,72.19,73.26,1485512
2016-05-03,72.53,73.4,72.23,73.06,1718935
2016-05-04,72.43,73.12,72.37,72.63,1599083
2016-05-05,72.86,72.98,71.88,72.31,1296230
2016-05-06,72.11,72.87,71.715,72.86,1429416
2016-05-09,72.56,73.25,72.03,73.04,1433051
2016-05-10,73.2,74.57,72.92,74.3,1538689
2016-05-11,74.08,74.585,73.79,74.07,1340067
2016-05-12,74.28,74.83,73.67,74.37,1297190
2016-05-13,74.24,75.12,73.98,74.24,1260631
2016-05-16,74.09,74.85,74.0,74.35,1080383
2016-05-17,74.06,74.345,73.6,74.15,1625243
2016-05-18,74.07,74.74,73.57,74.28,1037161
2016-05-19,73.84,74.36,72.88,74.2,986246
2016-05-20,74.88,75.62,74.39,74.95,902749
2016-05-23,74.92,75.58,74.259,74.9,886516
2016-05-24,75.39,77.34,75.37,77.22,1846365
2016-05-25,77.28,77.35,76.15,76.26,1372718
2016-05-26,76.3,76.75,76.07,76.37,642100
2016-05-27,76.22,77.265,76.19,77.11,718377
2016-05-31,77.37,78.3,76.47,77.69,1878342
2016-06-01,77.29,77.75,76.945,77.71,1411938
2016-06-02,77.6,78.92,77.35,78.92,1479891
2016-06-03,78.39,78.59,75.61,76.06,2566088
2016-06-06,76.46,77.24,76.3,77.15,1541868
2016-06-07,77.21,77.45,76.76,76.94,1023602
2016-06-08,76.81,76.94,75.79,76.32,1738052
2016-06-09,76.08,77.02,75.7,76.6,693460
2016-06-10,75.82,75.98,74.55,74.74,1083449
2016-06-13,74.0,74.65,73.49,73.78,1583123
2016-06-14,73.68,73.87,72.95,73.74,1104070
2016-06-15,73.98,74.43,73.5,74.06,1489192
2016-06-16,73.57,74.64,73.14,74.54,1062647
2016-06-17,74.55,74.55,73.36,73.99,1141010
2016-06-20,75.02,75.85,74.5,75.1,1114174
2016-06-21,75.22,75.54,74.58,74.88,967269
2016-06-22,75.13,75.39,74.22,74.26,1110814
2016-06-23,74.96,75.95,74.62,75.89,1002770
2016-06-24,73.03,73.07,70.2,70.27,2952634
2016-06-27,69.39,69.57,67.04,67.48,3280760
2016-06-28,68.27,70.04,68.01,69.76,1840511
2016-06-29,70.37,71.11,70.088,70.84,1175062
2016-06-30,71.31,71.6,70.81,71.38,1572407
2016-07-01,71.51,72.24,70.7,71.74,946572
2016-07-05,71.3,72.08,70.74,71.86,1668883
2016-07-06,71.37,72.16,71.21,72.06,1099068
2016-07-07,71.76,72.5,71.55,71.8,955704
2016-07-08,72.46,73.64,72.15,73.54,1013422
2016-07-11,73.81,75.24,73.81,74.8,1495839
2016-07-12,75.27,75.81,74.96,75.44,1195236
2016-07-13,75.8,76.0,75.25,75.68,925932
2016-07-14,76.23,76.84,76.0,76.48,861960
2016-07-15,76.87,77.3,76.38,76.72,816897
2016-07-18,76.55,76.87,76.264,76.76,682642
2016-07-19,76.31,77.18,76.2,76.77,602752
2016-07-20,77.37,78.16,76.94,77.92,768439
2016-07-21,77.79,77.95,76.8504,77.21,665400
2016-07-22,77.6,77.95,77.06,77.81,563407
2016-07-25,77.66,78.33,77.45,78.32,1075868
2016-07-26,78.13,79.25,77.86,79.23,1298898
2016-07-27,79.47,79.93,78.01,78.43,2115828
2016-07-28,77.95,78.68,74.4,78.19,2681295
2016-07-29,78.06,78.11,74.63,74.66,2679287
2016-08-01,74.68,75.1,73.32,73.71,1962830
2016-08-02,73.32,73.45,71.19,71.5,2717745
2016-08-03,71.36,73.3,70.78,73.16,1840734
2016-08-04,73.16,74.2,73.16,73.56,1378262
2016-08-05,73.86,75.12,73.705,74.54,1411243
2016-08-08,74.6,75.18,73.74,73.94,980316
2016-08-09,74.09,75.95,73.895,74.89,2048666
2016-08-10,74.77,75.23,74.32,74.71,924662
2016-08-11,75.03,75.78,74.58,74.85,993836
2016-08-12,74.65,75.06,74.34,74.69,572341
2016-08-15,74.68,75.02,74.41,74.94,850919
2016-08-16,74.49,74.77,73.49,73.53,966586
2016-08-17,73.71,74.41,73.59,74.22,1072362
2016-08-18,74.26,74.64,74.13,74.16,927493
2016-08-19,73.76,74.84,73.59,74.75,1048491
2016-08-22,74.69,75.5,74.45,75.42,1096444
2016-08-23,75.84,76.38,75.76,76.25,1095956
2016-08-24,76.09,76.57,75.2,75.5,793110
2016-08-25,75.37,76.655,75.26,76.61,973697
2016-08-26,76.7,77.36,75.64,76.14,1030254
2016-08-29,76.11,76.71,75.855,75.92,958322
2016-08-30,76.06,76.46,75.69,76.45,913438
2016-08-31,76.28,76.32,75.185,75.95,1051723
2016-09-01,76.17,77.48,75.83,76.82,1562074
2016-09-02,77.2,77.934,75.815,76.32,1550133
2016-09-06,76.3,76.87,75.75,76.71,1420599
2016-09-07,76.37,76.66,76.03,76.43,1705724
2016-09-08,76.2,76.56,75.83,76.27,1701972
2016-09-09,75.77,76.02,73.62,73.62,1556835
2016-09-12,72.94,74.85,72.83,74.59,1311996
2016-09-13,73.62,73.87,72.47,73.18,1509706
2016-09-14,73.22,74.29,73.02,73.52,1000722
2016-09-15,74.95,76.38,74.76,76.05,1817671
2016-09-16,75.7,75.71,74.11,74.3,2662885
2016-09-19,75.0,75.586,74.09,74.44,894390
2016-09-20,74.91,75.08,74.17,74.43,749903
2016-09-21,75.14,76.41,74.99,76.33,1053473
2016-09-22,76.9,76.9,75.65,76.05,838247
2016-09-23,75.97,76.18,75.42,75.42,663155
2016-09-26,74.93,76.04,74.7,75.62,950154
2016-09-27,75.72,76.21,75.32,76.08,675511
2016-09-28,76.06,76.85,75.41,76.78,540857
2016-09-29,76.7,77.05,75.94,76.09,804324
2016-09-30,76.43,77.14,75.915,76.76,1329614
2016-10-03,76.4,77.335,76.38,77.12,1008405
2016-10-04,77.18,77.68,76.15,76.44,1813808
2016-10-05,78.51,79.24,76.55,79.04,2975203
2016-10-06,78.92,79.09,77.49,78.98,1406236
2016-10-07,78.98,79.0,75.18,76.01,2157756
2016-10-10,76.16,77.08,75.49,75.6,1242734
2016-10-11,75.6,75.6,73.12,73.7,1598302
2016-10-12,73.65,74.17,73.06,73.81,1082127
