,Open,High,Low,Close,Volume
2012-12-11,42.26,42.705,42.07,42.4,23668800
2012-12-12,42.23,42.34,40.53,41.08,3443300
2012-12-13,41.01,41.68,40.64,41.16,1506300
2012-12-14,41.0,41.21,40.53,40.68,1694300
2012-12-17,40.7,41.44,40.7,41.42,2647200
2012-12-18,41.42,42.65,41.09,42.62,1889100
2012-12-19,42.56,42.99,41.98,42.05,1617600
2012-12-20,41.99,42.1,41.32,41.43,799600
2012-12-21,40.96,41.39,39.72,41.07,2229000
2012-12-24,41.19,41.355,40.55,40.66,546100
2012-12-26,40.61,41.13,40.3201,40.71,821700
2012-12-27,40.68,42.7,40.1,41.315,1215300
2012-12-28,40.96,40.9983,39.98,40.0,533500
2012-12-31,40.0,40.82,39.9,40.75,592500
2013-01-02,41.48,42.68,41.0,42.15,1073300
2013-01-03,42.0,42.59,41.75,42.09,697500
2013-01-04,42.14,43.0,41.85,42.09,544700
2013-01-07,42.06,42.25,41.61,42.08,559400
2013-01-08,41.93,42.38,41.46,42.25,1089500
2013-01-09,42.06,42.14,39.24,39.3,4323300
2013-01-10,39.5,39.98,38.775,39.39,2979400
2013-01-11,39.5,39.62,39.14,39.6,1043700
2013-01-14,39.6,40.45,39.52,39.91,1906800
2013-01-15,39.67,40.36,39.59,40.03,1889400
2013-01-16,39.77,39.99,39.24,39.83,1098100
2013-01-17,40.07,40.19,39.445,39.61,1181300
2013-01-18,39.57,39.765,39.35,39.52,2098100
2013-01-22,39.61,39.82,38.63,38.89,1856400
2013-01-23,38.99,38.99,38.25,38.3,1354500
2013-01-24,38.79,39.02,38.35,38.59,1241500
2013-01-25,38.82,39.225,38.62,38.77,1067900
2013-01-28,38.75,38.92,38.33,38.57,864700
2013-01-29,38.55,39.01,38.5,38.58,989500
2013-01-30,38.75,38.8075,37.945,38.04,1228700
2013-01-31,38.15,38.49,37.6,37.89,1500600
2013-02-01,38.16,38.75,38.01,38.5,1738500
2013-02-04,38.4,38.5,37.9,37.98,1211000
2013-02-05,38.28,38.46,37.65,37.7,1425500
2013-02-06,37.68,38.04,37.48,37.95,1489200
2013-02-07,37.79,38.28,37.68,38.16,1216100
2013-02-08,38.11,38.86,37.98,38.08,1384000
2013-02-11,38.21,38.38,37.73,37.87,1601800
2013-02-12,37.69,37.89,37.175,37.68,2307700
2013-02-13,37.96,38.59,37.7601,38.56,1462800
2013-02-14,38.48,39.0,38.2,38.97,1214800
2013-02-15,39.22,39.85,38.8301,39.14,1974600
2013-02-19,39.25,39.64,38.6,39.24,2435400
2013-02-20,35.51,36.05,34.65,35.54,6694700
2013-02-21,35.4,35.4,34.57,35.02,1900000
2013-02-22,35.16,35.41,34.77,35.0,1260700
2013-02-25,35.12,35.19,34.18,34.2,1524200
2013-02-26,34.11,34.42,33.66,34.31,1586100
2013-02-27,34.21,34.89,34.09,34.68,715200
2013-02-28,34.5,34.65,34.15,34.36,866600
2013-03-01,34.27,35.47,34.0,35.14,1914300
2013-03-04,35.15,35.539,34.34,35.41,1624200
2013-03-05,35.4,35.58,35.1,35.26,1403700
2013-03-06,35.4,35.5,35.17,35.3,699000
2013-03-07,35.29,35.49,34.97,35.02,868400
2013-03-08,35.29,35.64,35.06,35.61,782400
2013-03-11,35.53,35.85,35.44,35.72,955700
2013-03-12,35.74,35.87,35.5198,35.7,997100
2013-03-13,35.42,35.68,34.62,34.68,961200
2013-03-14,34.74,34.99,34.65,34.9,973100
2013-03-15,34.75,35.14,34.19,34.56,2419900
2013-03-18,34.36,34.56,34.2,34.36,630500
2013-03-19,34.5,34.56,33.42,33.61,1493500
2013-03-20,33.93,33.99,33.2,33.469,1338500
2013-03-21,33.44,33.485,33.005,33.15,1040700
2013-03-22,33.23,33.35,32.82,33.25,1068500
2013-03-25,33.29,33.505,32.98,33.44,1052700
2013-03-26,33.43,33.57,33.07,33.29,1590700
2013-03-27,33.18,33.22,32.9,32.97,673400
2013-03-28,32.98,33.23,32.8,33.05,1509200
2013-04-01,33.18,33.249,32.58,32.6,719100
2013-04-02,33.35,34.5303,33.01,34.25,3212200
2013-04-03,34.4,34.47,33.07,33.43,2591800
2013-04-04,33.43,33.53,33.07,33.43,1025800
2013-04-05,33.01,33.61,32.68,33.59,1129500
2013-04-08,33.61,33.77,33.37,33.76,721900
2013-04-09,33.73,34.05,33.56,33.65,869300
2013-04-10,33.91,34.5,33.715,34.4,1151600
2013-04-11,34.46,34.55,34.15,34.46,696200
2013-04-12,34.5,34.78,34.2,34.72,799200
2013-04-15,34.51,34.68,33.5008,33.66,766300
2013-04-16,33.72,33.9699,33.36,33.7,698300
2013-04-17,33.45,33.5,32.69,33.11,1229700
2013-04-18,33.34,33.785,33.0701,33.4,1006700
2013-04-19,33.26,33.37,32.87,32.97,818400
2013-04-22,33.12,33.12,32.52,32.68,916200
2013-04-23,32.98,33.63,32.83,33.59,804700
2013-04-24,34.26,34.45,34.12,34.25,1542800
2013-04-25,34.45,36.0,34.36,35.31,1406900
2013-04-26,35.29,35.4,34.59,34.72,550800
2013-04-29,34.94,35.29,34.72,35.24,739300
2013-04-30,34.54,35.11,34.4608,35.08,1489700
2013-05-01,34.89,34.97,33.12,33.68,2927400
2013-05-02,33.76,34.77,33.76,34.51,1225400
2013-05-03,35.0,35.29,34.79,34.81,859700
2013-05-06,34.8,35.31,34.8,35.28,732500
2013-05-07,35.51,35.86,35.3,35.54,1008800
2013-05-08,35.55,35.965,35.41,35.7,1036900
2013-05-09,35.75,35.99,35.23,35.33,1102300
2013-05-10,35.37,36.13,35.34,36.12,873500
2013-05-13,36.12,36.25,35.42,35.47,732400
2013-05-14,35.45,35.91,35.3,35.5,830900
2013-05-15,35.42,35.88,34.93,35.88,845400
2013-05-16,35.63,36.59,35.63,36.39,1388200
2013-05-17,36.68,36.88,36.26,36.88,1015600
2013-05-20,36.82,36.99,36.42,36.66,960400
2013-05-21,36.59,36.84,36.51,36.67,657100
2013-05-22,36.71,36.72,35.46,35.63,1229500
2013-05-23,35.49,35.545,35.2,35.35,1073300
2013-05-24,35.08,35.25,34.66,35.12,881200
2013-05-28,35.65,35.94,35.1,35.5,696400
2013-05-29,35.41,35.42,34.9,35.11,734900
2013-05-30,35.15,35.89,35.13,35.62,868600
2013-05-31,35.42,35.7,34.92,34.93,868700
2013-06-03,35.0,35.3,34.73,34.95,885900
2013-06-04,35.0,35.43,34.66,34.76,1424400
2013-06-05,34.75,34.78,33.86,33.95,1285500
2013-06-06,34.07,34.33,33.8,34.33,755200
2013-06-07,34.86,34.99,34.45,34.84,1808700
2013-06-10,35.04,35.32,34.85,34.9,1183500
2013-06-11,34.52,34.86,34.32,34.35,1047200
2013-06-12,34.59,34.59,33.96,34.09,1206400
2013-06-13,33.97,34.71,33.91,34.61,1160600
2013-06-14,34.24,34.32,33.67,33.72,963000
2013-06-17,33.88,35.305,33.88,34.94,1556300
2013-06-18,35.06,36.25,35.06,35.76,1494100
2013-06-19,35.82,36.0,34.87,34.96,1006800
2013-06-20,34.57,35.14,34.11,34.24,1117200
2013-06-21,34.41,34.87,34.25,34.69,1524800
2013-06-24,34.52,34.93,34.18,34.56,931500
2013-06-25,34.93,35.09,34.37,34.95,724700
2013-06-26,35.24,35.58,34.845,35.46,1031200
2013-06-27,35.7,36.265,35.7,36.21,790300
2013-06-28,36.01,36.8,36.0,36.17,2137400
2013-07-01,36.18,36.63,36.13,36.3,689600
2013-07-02,36.23,36.33,35.08,35.2,1116400
2013-07-03,35.01,35.23,34.72,35.08,528400
2013-07-05,35.4,35.51,35.06,35.34,630700
2013-07-08,35.64,35.67,34.93,34.96,723100
2013-07-09,35.36,35.48,35.14,35.17,816500
2013-07-10,35.18,35.82,35.13,35.78,1207300
2013-07-11,36.17,36.76,36.0,36.06,1661500
2013-07-12,35.9801,36.31,35.65,36.31,1115300
2013-07-15,36.45,36.98,36.18,36.9,904300
2013-07-16,36.9,36.98,36.23,36.43,782500
2013-07-17,36.49,36.71,36.17,36.35,672300
2013-07-18,36.57,36.84,36.41,36.52,552300
2013-07-19,36.58,36.81,36.42,36.7,647100
2013-07-22,37.0,37.67,36.72,37.56,1492100
2013-07-23,37.57,37.65,37.4,37.5,1181100
2013-07-24,37.67,37.67,36.835,36.91,1058400
2013-07-25,36.77,37.37,36.74,37.21,962000
2013-07-26,36.94,36.9899,36.57,36.83,711600
2013-07-29,36.71,37.2,36.6,36.86,1387700
2013-07-30,37.13,37.5,36.98,37.26,1935300
2013-07-31,38.55,40.19,37.898,40.08,4536800
2013-08-01,40.12,40.25,39.55,39.94,1475700
2013-08-02,39.94,39.99,39.62,39.82,688500
2013-08-05,39.76,40.185,39.58,39.68,894400
2013-08-06,39.6,39.74,39.0,39.24,887100
2013-08-07,39.31,39.45,38.75,38.94,631900
2013-08-08,39.36,39.42,38.97,39.01,494600
2013-08-09,39.08,39.378,38.81,38.88,476000
2013-08-12,38.78,39.9553,38.74,39.5,1128000
2013-08-13,39.46,39.68,38.94,39.03,828500
2013-08-14,38.98,39.07,38.84,38.87,508500
2013-08-15,38.56,38.58,38.12,38.28,758000
2013-08-16,38.32,38.35,37.645,37.78,866700
2013-08-19,37.91,38.29,37.71,38.07,1178500
2013-08-20,38.24,38.6,37.9101,38.45,922200
2013-08-21,38.67,40.9401,38.57,40.28,2963700
2013-08-22,40.41,40.836,40.41,40.64,1240200
2013-08-23,40.74,40.91,40.41,40.6,1307000
2013-08-26,40.6,40.82,40.26,40.42,1095500
2013-08-27,39.98,40.19,39.5,39.73,1015000
2013-08-28,39.7,39.9,39.39,39.51,944400
2013-08-29,39.48,42.41,39.42,41.23,3937700
2013-08-30,41.23,41.27,40.43,40.77,1767200
2013-09-03,41.38,41.82,41.08,41.46,1810200
2013-09-04,41.53,42.31,41.34,42.3,2333600
2013-09-05,42.27,42.6,42.0,42.19,1392600
2013-09-06,42.51,42.51,41.46,41.77,2082000
2013-09-09,41.98,42.215,41.805,42.14,1667400
2013-09-10,42.32,42.77,42.3,42.65,1568300
2013-09-11,42.71,43.61,42.67,43.23,1876200
2013-09-12,42.82,42.82,42.11,42.4,1347900
2013-09-13,42.65,42.74,42.19,42.7,1304500
2013-09-16,43.16,43.29,42.84,43.12,953100
2013-09-17,43.25,44.86,43.19,44.42,2453500
2013-09-18,44.47,45.33,44.33,44.73,1593600
2013-09-19,44.73,45.22,44.45,44.98,1584300
2013-09-20,45.02,45.02,43.51,43.61,4374800
2013-09-23,43.62,43.83,42.93,43.55,1352500
2013-09-24,43.63,44.575,43.01,44.04,1610100
2013-09-25,44.24,46.34,44.01,45.175,2710300
2013-09-26,45.29,45.61,44.7,45.42,1404500
2013-09-27,45.18,45.32,44.8335,45.19,860900
2013-09-30,44.77,45.21,44.52,45.19,1407000
2013-10-01,45.06,46.33,45.0,46.31,1713800
2013-10-02,45.84,47.25,45.25,47.2,2301700
2013-10-03,47.2,47.27,46.215,47.065,2167000
2013-10-04,47.13,47.562,46.75,47.13,1328300
2013-10-07,46.91,47.34,46.29,46.78,1136100
2013-10-08,46.68,47.03,46.04,46.07,1031900
2013-10-09,46.43,46.65,45.88,46.06,992200
2013-10-10,46.46,47.98,46.4,47.56,1442500
2013-10-11,47.3,47.63,47.1,47.61,967500
2013-10-14,47.31,47.71,47.04,47.66,523900
2013-10-15,47.38,47.66,46.82,47.22,1047600
2013-10-16,47.6,50.0,47.21,48.71,1643400
2013-10-17,48.49,48.9,48.29,48.542,882800
2013-10-18,48.56,48.925,48.24,48.86,997600
2013-10-21,48.9,49.11,48.86,49.04,1124200
2013-10-22,49.13,49.87,48.95,49.33,1336900
2013-10-23,48.85,49.12,48.53,48.77,772200
2013-10-24,48.77,49.1,48.65,48.83,511100
2013-10-25,48.94,49.0,48.57,48.9,767100
2013-10-28,48.82,48.89,47.56,47.8,1408800
2013-10-29,48.05,48.35,47.8,48.07,1408800
2013-10-30,50.0,50.39,47.63,48.27,2542200
2013-10-31,47.87,47.87,45.84,46.75,2687100
2013-11-01,46.82,47.03,46.1,46.61,1451900
2013-11-04,46.95,48.015,46.68,47.91,1463600
2013-11-05,47.71,48.099,47.47,47.99,1289500
2013-11-06,48.08,48.09,47.39,47.95,874400
2013-11-07,47.47,47.77,46.2,46.35,1298400
2013-11-08,46.59,46.74,46.1,46.25,1621300
2013-11-11,46.11,46.1975,45.66,45.9,1398000
2013-11-12,45.9,46.12,45.61,45.85,1424400
2013-11-13,45.78,46.0,45.58,45.89,1488900
2013-11-14,46.0,46.47,45.85,46.33,1877900
2013-11-15,46.27,47.77,46.24,47.77,2035800
2013-11-18,47.71,47.98,47.1,47.23,703500
2013-11-19,47.14,47.82,46.8102,47.7,1407000
2013-11-20,47.99,48.49,47.52,47.86,811600
2013-11-21,48.08,48.34,47.87,48.16,746800
2013-11-22,48.1,48.25,48.0,48.08,746100
2013-11-25,48.25,48.4593,47.832,48.34,937400
2013-11-26,47.88,49.15,47.73,48.82,1369700
2013-11-27,49.08,49.2599,48.475,48.74,657800
2013-11-29,48.76,48.9999,48.4,48.56,356100
2013-12-02,48.59,49.0,48.19,48.37,762700
2013-12-03,48.1,48.1,47.29,47.8,1270600
2013-12-04,47.35,47.76,46.29,47.16,1046700
2013-12-05,47.08,47.98,47.08,47.88,762000
2013-12-06,48.45,48.88,48.2,48.83,634900
2013-12-09,48.75,49.72,48.02,49.02,1259600
2013-12-10,49.0,49.33,48.8,48.95,546700
2013-12-11,48.84,49.13,48.14,48.2,704000
2013-12-12,47.74,47.95,47.06,47.12,1539800
2013-12-13,47.31,47.7,46.39,46.58,1497300
2013-12-16,46.68,46.8,46.36,46.51,927400
2013-12-17,46.38,46.77,46.25,46.57,745600
2013-12-18,46.26,46.26,43.67,45.8,2017500
2013-12-19,45.77,45.86,45.34,45.7,1066400
2013-12-20,45.64,46.23,45.3901,46.03,1889800
2013-12-23,46.28,46.36,45.92,46.14,987100
2013-12-24,46.1,46.54,46.0,46.2,357100
2013-12-26,46.25,46.53,45.99,46.1,508700
2013-12-27,46.24,47.01,46.16,46.67,1285800
2013-12-30,46.67,46.89,46.4,46.66,1299700
2013-12-31,46.61,46.85,46.15,46.19,693200
2014-01-02,45.75,45.835,44.56,44.95,1830300
2014-01-03,45.83,46.695,45.11,46.58,2497400
2014-01-06,46.68,47.38,46.33,46.41,1413400
2014-01-07,46.41,46.64,45.589,45.68,1008200
2014-01-08,45.68,45.89,45.08,45.4,1741300
2014-01-09,45.65,45.74,44.42,44.87,1079900
2014-01-10,45.05,45.26,44.72,45.05,837300
2014-01-13,46.11,46.165,45.08,45.41,1222200
2014-01-14,45.41,46.39,45.19,46.31,979100
2014-01-15,46.35,47.3101,46.35,47.07,1105900
2014-01-16,47.0,47.22,46.8,46.95,617500
2014-01-17,46.77,47.16,46.54,46.66,977900
2014-01-21,46.81,47.27,46.34,46.57,733700
2014-01-22,46.77,46.995,46.09,46.65,542100
2014-01-23,46.25,46.6699,45.87,46.2,803800
2014-01-24,45.8,46.05,45.12,45.21,963100
2014-01-27,45.2,45.59,44.8448,45.27,837000
2014-01-28,45.41,45.82,45.09,45.65,644100
2014-01-29,44.92,45.5,44.75,44.8,845800
2014-01-30,45.12,46.04,44.84,45.8,701800
2014-01-31,44.94,45.75,44.89,45.05,898100
2014-02-03,45.05,45.175,43.4,43.63,1578200
2014-02-04,43.82,44.11,43.42,44.1,956000
2014-02-05,43.03,44.21,43.03,44.04,934900
2014-02-06,44.15,45.5,44.15,45.13,802100
