Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
1990-01-02,20.25,20.38,20.0,20.38,13600.0,0.0,1.0,4.237456322605506,4.26465974591112,4.185142047017783,4.26465974591112,54400.0
1990-01-03,20.25,20.63,20.25,20.63,3400.0,0.0,1.0,4.232696359657871,4.312124735789721,4.232696359657871,4.312124735789721,13600.0
1990-01-04,20.75,20.75,20.38,20.38,1500.0,0.0,1.0,4.3420848737809505,4.3420848737809505,4.26465974591112,4.26465974591112,6000.0
1990-01-05,20.25,20.25,19.75,19.75,7100.0,0.0,1.0,4.2342069410832766,4.2342069410832766,4.129658621550355,4.129658621550355,28400.0
1990-01-08,19.5,19.5,19.38,19.5,6600.0,0.0,1.0,4.072697812977249,4.072697812977249,4.047635057205081,4.072697812977249,26400.0
1990-01-09,19.5,19.75,19.5,19.75,2700.0,0.0,1.0,4.077384461783895,4.129658621550355,4.077384461783895,4.129658621550355,10800.0
1990-01-10,19.75,19.88,19.5,19.5,5800.0,0.0,1.0,4.124911887502599,4.15206320625578,4.072697812977249,4.072697812977249,23200.0
1990-01-11,19.63,19.63,19.25,19.25,2600.0,0.0,1.0,4.104689567541209,4.104689567541209,4.025230472499659,4.025230472499659,10400.0
1990-01-12,19.13,19.13,18.0,18.0,19500.0,0.0,1.0,3.995420982679732,3.995420982679732,3.7594133658251527,3.7594133658251527,78000.0
1990-01-15,17.88,17.88,17.38,17.38,3600.0,0.0,1.0,3.7427547067836224,3.7427547067836224,3.6380915438422456,3.6380915438422456,14400.0
1990-01-16,17.25,17.25,17.0,17.0,45700.0,0.0,1.0,3.602771142249105,3.602771142249105,3.5505570677237555,3.5505570677237555,182800.0
1990-01-17,17.13,17.38,16.63,16.63,22500.0,0.0,1.0,3.5812309086822003,3.633496391879546,3.4766999422875062,3.4766999422875062,90000.0
1990-01-18,16.63,16.63,15.88,15.88,19600.0,0.0,1.0,3.471887503184272,3.471887503184272,3.315308090833809,3.315308090833809,78400.0
1990-01-19,16.0,16.0,15.5,15.63,57100.0,0.0,1.0,3.343061317833105,3.343061317833105,3.2385906516508207,3.2657530248582147,228400.0
1990-01-22,15.5,15.5,14.63,14.63,8900.0,0.0,1.0,3.2408959825397177,3.2408959825397177,3.0589876273907146,3.0589876273907146,35600.0
1990-01-23,14.63,14.75,14.25,14.25,25900.0,0.0,1.0,3.0604409548458094,3.085543683115221,2.9809489819926718,2.9809489819926718,103600.0
1990-01-24,14.0,14.75,13.25,14.38,264400.0,0.0,1.0,2.9206608382873385,3.077124811767017,2.76419686480766,2.999935918183709,1057600.0
1990-01-25,14.5,14.88,14.13,14.13,49800.0,0.0,1.0,3.0297802106679903,3.109181347223427,2.9524685777061173,2.9524685777061173,199200.0
1990-01-26,14.25,14.63,14.13,14.38,37700.0,0.0,1.0,2.9728154961138977,3.052090576010269,2.9477812603571496,2.999935918183709,150800.0
1990-01-29,14.63,14.63,14.25,14.38,32000.0,0.0,1.0,3.052090576010269,3.052090576010269,2.9728154961138977,2.999935918183709,128000.0
1990-01-30,14.38,14.38,14.25,14.25,23300.0,0.0,1.0,3.0081436042845344,3.0081436042845344,2.9809489819926718,2.9809489819926718,93200.0
1990-01-31,14.38,14.38,13.5,13.5,22400.0,0.0,1.0,3.0033535666980944,3.0033535666980944,2.8195600243688648,2.8195600243688648,89600.0
1990-02-01,13.75,13.75,13.0,13.75,152700.0,0.0,1.0,2.876520832941972,2.876520832941972,2.7196196965996813,2.876520832941972,610800.0
1990-02-02,13.75,14.5,13.75,14.5,87700.0,0.0,1.0,2.871774098894214,3.0284163224702616,2.871774098894214,3.0284163224702616,350800.0
1990-02-05,14.63,14.63,14.38,14.5,11000.0,0.0,1.0,3.0555676412234436,3.0555676412234436,3.0033535666980944,3.0284163224702616,44000.0
1990-02-06,14.5,14.5,14.5,14.5,11000.0,0.0,1.0,3.0284163224702616,3.0284163224702616,3.0284163224702616,3.0284163224702616,44000.0
1990-02-07,14.5,14.88,14.5,14.75,11200.0,0.0,1.0,3.033082603398566,3.1125702854186668,3.033082603398566,3.0853771310433684,44800.0
1990-02-08,14.5,15.13,14.5,15.0,22800.0,0.0,1.0,3.0284163224702616,3.1599957902741425,3.0284163224702616,3.1328444715209613,91200.0
1990-02-09,15.13,15.63,15.13,15.38,65900.0,0.0,1.0,3.1586874581908675,3.263072370887195,3.1586874581908675,3.2108799145390314,263600.0
1990-02-12,15.38,15.38,15.0,15.25,126600.0,0.0,1.0,3.2169970628096265,3.2169970628096265,3.1375133902564625,3.18980528009407,506400.0
1990-02-13,15.25,15.5,15.25,15.5,19800.0,0.0,1.0,3.18505854604631,3.2372726205716598,3.18505854604631,3.2372726205716598,79200.0
1990-02-14,15.5,16.0,15.5,16.0,26700.0,0.0,1.0,3.2372726205716598,3.341700769622358,3.2372726205716598,3.341700769622358,106800.0
1990-02-15,16.25,16.63,16.13,16.38,47500.0,0.0,1.0,3.399942442938513,3.4794487892964603,3.3748351756675827,3.4271419824820213,190000.0
1990-02-16,16.5,16.5,16.0,16.13,9200.0,0.0,1.0,3.44748849159932,3.44748849159932,3.343019143369038,3.370181173908912,36800.0
1990-02-20,15.88,15.88,15.75,15.75,2300.0,0.0,1.0,3.321423927290089,3.321423927290089,3.2942334291447666,3.2942334291447666,9200.0
1990-02-21,15.75,15.75,15.5,15.75,2100.0,0.0,1.0,3.2942334291447666,3.2942334291447666,3.2419440096345324,3.2942334291447666,8400.0
1990-02-22,15.88,16.0,15.5,15.75,7100.0,0.0,1.0,3.321423927290089,3.3465228486550016,3.2419440096345324,3.2942334291447666,28400.0
1990-02-23,15.63,15.63,15.5,15.5,9000.0,0.0,1.0,3.2644239393248413,3.2644239393248413,3.2372726205716598,3.2372726205716598,36000.0
1990-02-26,15.38,15.38,15.13,15.38,9100.0,0.0,1.0,3.2108799145390314,3.2108799145390314,3.1586874581908675,3.2108799145390314,36400.0
1990-02-27,15.13,15.5,15.13,15.25,5700.0,0.0,1.0,3.1647051729720186,3.2420971699316783,3.1647051729720186,3.18980528009407,22800.0
1990-02-28,15.25,15.25,15.13,15.13,5900.0,0.0,1.0,3.1885055791048016,3.1885055791048016,3.1634156991380755,3.1634156991380755,23600.0
1990-03-01,15.13,15.63,15.13,15.25,8800.0,0.0,1.0,3.1647051729720186,3.2692889526472335,3.1647051729720186,3.18980528009407,35200.0
1990-03-02,15.25,15.38,15.13,15.38,4600.0,0.0,1.0,3.183739837237986,3.2108799145390314,3.1586874581908675,3.2108799145390314,18400.0
1990-03-05,15.38,15.5,15.38,15.5,600.0,0.0,1.0,3.2122098647994917,3.2372726205716598,3.2122098647994917,3.2372726205716598,2400.0
1990-03-06,15.5,15.5,15.25,15.25,2500.0,0.0,1.0,3.2420971699316783,3.2420971699316783,3.18980528009407,3.18980528009407,10000.0
1990-03-07,15.5,15.63,15.38,15.63,2500.0,0.0,1.0,3.2385906516508207,3.2657530248582147,3.2135176917670725,3.2657530248582147,10000.0
1990-03-08,15.88,15.88,15.5,15.5,2800.0,0.0,1.0,3.3166380138501905,3.3166380138501905,3.2372726205716598,3.2372726205716598,11200.0
1990-03-09,15.5,15.5,15.38,15.38,2600.0,0.0,1.0,3.2359322935861496,3.2359322935861496,3.2108799145390314,3.2108799145390314,10400.0
1990-03-12,15.13,15.25,15.13,15.25,1300.0,0.0,1.0,3.1647051729720186,3.18980528009407,3.1647051729720186,3.18980528009407,5200.0
1990-03-13,15.38,15.63,15.38,15.38,2500.0,0.0,1.0,3.2108799145390314,3.263072370887195,3.2108799145390314,3.2108799145390314,10000.0
1990-03-14,15.5,15.5,15.38,15.38,4900.0,0.0,1.0,3.2359322935861496,3.2359322935861496,3.2108799145390314,3.2108799145390314,19600.0
1990-03-15,15.5,15.5,15.25,15.38,4500.0,0.0,1.0,3.2359322935861496,3.2359322935861496,3.183739837237986,3.2108799145390314,18000.0
1990-03-16,15.5,15.5,15.25,15.25,1500.0,0.0,1.0,3.2420971699316783,3.2420971699316783,3.18980528009407,3.18980528009407,6000.0
1990-03-19,15.5,15.63,15.5,15.63,6200.0,0.0,1.0,3.2385906516508207,3.2657530248582147,3.2385906516508207,3.2657530248582147,24800.0
1990-03-20,15.75,16.0,15.75,16.0,9300.0,0.0,1.0,3.289486695097009,3.341700769622358,3.289486695097009,3.341700769622358,37200.0
1990-03-21,16.25,16.5,16.0,16.25,9100.0,0.0,1.0,3.3986615781954685,3.450948679398476,3.346374476992461,3.3986615781954685,36400.0
1990-03-22,16.0,16.38,16.0,16.38,16200.0,0.0,1.0,3.3476356361240747,3.4271419824820213,3.3476356361240747,3.4271419824820213,64800.0
1990-03-23,16.63,16.88,16.5,16.5,5400.0,0.0,1.0,3.473280237426238,3.525494311951588,3.446128918673056,3.446128918673056,21600.0
1990-03-26,16.5,16.5,15.13,15.13,13000.0,0.0,1.0,3.4498584954248668,3.4498584954248668,3.1634156991380755,3.1634156991380755,52000.0
1990-03-27,15.25,15.25,14.75,15.25,16100.0,0.0,1.0,3.18980528009407,3.18980528009407,3.0852215004188546,3.18980528009407,64400.0
1990-03-28,15.25,15.38,15.0,15.0,7700.0,0.0,1.0,3.18505854604631,3.2122098647994917,3.1328444715209613,3.1328444715209613,30800.0
1990-03-29,15.13,15.13,14.88,15.0,24600.0,0.0,1.0,3.1599957902741425,3.1599957902741425,3.107781715748793,3.1328444715209613,98400.0
1990-03-30,14.88,15.25,14.75,15.25,14300.0,0.0,1.0,3.1124132831344107,3.18980528009407,3.0852215004188546,3.18980528009407,57200.0
1990-04-02,15.0,15.25,15.0,15.25,10100.0,0.0,1.0,3.1375133902564625,3.18980528009407,3.1375133902564625,3.18980528009407,40400.0
1990-04-03,15.0,15.5,15.0,15.25,15500.0,0.0,1.0,3.1375133902564625,3.2420971699316783,3.1375133902564625,3.18980528009407,62000.0
1990-04-04,15.5,15.75,15.25,15.5,13100.0,0.0,1.0,3.2372726205716598,3.289486695097009,3.18505854604631,3.2372726205716598,52400.0
1990-04-05,15.5,16.0,15.25,16.0,19800.0,0.0,1.0,3.2372726205716598,3.341700769622358,3.18505854604631,3.341700769622358,79200.0
1990-04-06,15.75,15.75,15.63,15.63,28000.0,0.0,1.0,3.290825984741963,3.290825984741963,3.2657530248582147,3.2657530248582147,112000.0
1990-04-09,15.63,15.88,15.63,15.75,54600.0,0.0,1.0,3.2691345077798544,3.321423927290089,3.2691345077798544,3.2942334291447666,218400.0
1990-04-10,15.75,15.88,15.75,15.88,3600.0,0.0,1.0,3.2881676593597287,3.315308090833809,3.2881676593597287,3.315308090833809,14400.0
