Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2000-07-27,133.0,136.62,128.25,128.62,45064000.0,0.0,1.0,1064.0,1092.96,1026.0,1028.96,5633000.0
2000-07-28,127.38,127.62,115.5,116.25,37381600.0,0.0,1.0,1019.04,1020.96,924.0,930.0,4672700.0
2000-07-31,116.5,119.88,112.56,118.12,38465600.0,0.0,1.0,932.0,959.04,900.48,944.96,4808200.0
2000-08-01,117.47,118.25,115.38,116.88,17084800.0,0.0,1.0,939.76,946.0,923.04,935.04,2135600.0
2000-08-02,115.19,118.25,112.25,112.62,23813600.0,0.0,1.0,921.52,946.0,898.0,900.96,2976700.0
2000-08-03,108.5,117.0,106.0,116.69,25564000.0,0.0,1.0,868.0,936.0,848.0,933.52,3195500.0
2000-08-04,118.38,120.25,114.12,115.94,16768000.0,0.0,1.0,947.04,962.0,912.96,927.52,2096000.0
2000-08-07,116.81,121.56,116.38,121.19,16705600.0,0.0,1.0,934.48,972.48,931.04,969.52,2088200.0
2000-08-08,120.12,122.88,119.12,119.88,10889600.0,0.0,1.0,960.96,983.04,952.96,959.04,1361200.0
2000-08-09,122.5,125.0,121.0,121.12,13679200.0,0.0,1.0,980.0,1000.0,968.0,968.96,1709900.0
2000-08-10,120.75,122.81,117.25,117.75,9060800.0,0.0,1.0,966.0,982.48,938.0,942.0,1132600.0
2000-08-11,116.38,120.06,115.12,117.75,10759200.0,0.0,1.0,931.04,960.48,920.96,942.0,1344900.0
2000-08-14,119.75,121.0,118.38,120.25,10827200.0,0.0,1.0,958.0,968.0,947.04,962.0,1353400.0
2000-08-15,119.81,120.75,117.31,118.19,11144800.0,0.0,1.0,958.48,966.0,938.48,945.52,1393100.0
2000-08-16,119.12,120.19,118.62,119.44,7782400.0,0.0,1.0,952.96,961.52,948.96,955.52,972800.0
2000-08-17,119.19,120.88,117.88,120.25,11416000.0,0.0,1.0,953.52,967.04,943.04,962.0,1427000.0
2000-08-18,121.19,123.56,121.0,122.88,14691200.0,0.0,1.0,969.52,988.48,968.0,983.04,1836400.0
2000-08-21,123.75,125.62,123.25,124.38,13264000.0,0.0,1.0,990.0,1004.96,986.0,995.04,1658000.0
2000-08-22,124.56,128.0,124.25,124.5,13224000.0,0.0,1.0,996.48,1024.0,994.0,996.0,1653000.0
2000-08-23,123.81,125.0,120.5,123.0,10546400.0,0.0,1.0,990.48,1000.0,964.0,984.0,1318300.0
2000-08-24,123.06,126.12,122.5,125.12,9756800.0,0.0,1.0,984.48,1008.96,980.0,1000.96,1219600.0
2000-08-25,125.19,126.75,123.88,125.31,8040800.0,0.0,1.0,1001.52,1014.0,991.04,1002.48,1005100.0
2000-08-28,125.5,125.81,123.25,123.56,7043200.0,0.0,1.0,1004.0,1006.48,986.0,988.48,880400.0
2000-08-29,123.69,123.69,119.88,121.5,8889600.0,0.0,1.0,989.52,989.52,959.04,972.0,1111200.0
2000-08-30,121.06,121.38,115.69,118.0,25276000.0,0.0,1.0,968.48,971.04,925.52,944.0,3159500.0
2000-08-31,119.44,125.25,112.62,124.48,21739200.0,0.0,1.0,955.52,1002.0,900.96,995.84,2717400.0
2000-09-01,124.88,126.0,122.25,123.81,10976800.0,0.0,1.0,999.04,1008.0,978.0,990.48,1372100.0
2000-09-05,122.5,122.62,119.06,119.38,13161600.0,0.0,1.0,980.0,980.96,952.48,955.04,1645200.0
2000-09-06,119.0,121.88,116.5,116.75,12084000.0,0.0,1.0,952.0,975.04,932.0,934.0,1510500.0
2000-09-07,117.88,120.56,117.31,119.88,12761600.0,0.0,1.0,943.04,964.48,938.48,959.04,1595200.0
2000-09-08,118.88,119.75,113.06,114.31,13146400.0,0.0,1.0,951.04,958.0,904.48,914.48,1643300.0
2000-09-11,113.0,116.62,109.0,109.75,19215200.0,0.0,1.0,904.0,932.96,872.0,878.0,2401900.0
2000-09-12,111.62,112.5,102.62,103.19,33049600.0,0.0,1.0,892.96,900.0,820.96,825.52,4131200.0
2000-09-13,102.69,107.0,102.44,104.81,27689600.0,0.0,1.0,821.52,856.0,819.52,838.48,3461200.0
2000-09-14,108.5,109.75,106.25,106.94,18100000.0,0.0,1.0,868.0,878.0,850.0,855.52,2262500.0
2000-09-15,107.0,107.69,102.5,103.62,21569600.0,0.0,1.0,856.0,861.52,820.0,828.96,2696200.0
2000-09-18,103.0,103.0,97.25,97.81,27493600.0,0.0,1.0,824.0,824.0,778.0,782.48,3436700.0
2000-09-19,99.75,108.31,99.12,107.94,25921600.0,0.0,1.0,798.0,866.48,792.96,863.52,3240200.0
2000-09-20,107.38,110.0,103.38,107.12,27308000.0,0.0,1.0,859.04,880.0,827.04,856.96,3413500.0
2000-09-21,107.45,108.12,102.38,103.5,22995200.0,0.0,1.0,859.6,864.96,819.04,828.0,2874400.0
2000-09-22,98.25,107.44,97.88,107.0,25072000.0,0.0,1.0,786.0,859.52,783.04,856.0,3134000.0
2000-09-25,108.69,111.19,106.06,106.81,19759200.0,0.0,1.0,869.52,889.52,848.48,854.48,2469900.0
2000-09-26,107.56,109.25,102.75,103.06,17156800.0,0.0,1.0,860.48,874.0,822.0,824.48,2144600.0
2000-09-27,103.94,105.0,95.0,97.75,39735200.0,0.0,1.0,831.52,840.0,760.0,782.0,4966900.0
2000-09-28,95.56,99.31,95.25,97.38,30818400.0,0.0,1.0,764.48,794.48,762.0,779.04,3852300.0
2000-09-29,98.11,101.0,94.5,94.69,20792800.0,0.0,1.0,784.88,808.0,756.0,757.52,2599100.0
