,Open,High,Low,Close,Volume
2006-06-02,17.29,17.39,16.8,16.95,33557800
2006-06-05,16.84,17.03,16.61,16.81,12163000
2006-06-06,16.87,17.0,16.6699,16.8,10412300
2006-06-07,16.86,17.2,16.79,17.02,9296300
2006-06-08,16.96,17.15,16.51,17.01,11789000
2006-06-09,17.11,17.2,16.42,16.82,12452400
2006-06-12,16.6,16.83,16.24,16.39,5664800
2006-06-13,16.27,16.36,15.76,16.09,10765000
2006-06-14,16.09,16.24,15.64,16.0,7237800
2006-06-15,16.02,16.86,15.85,16.66,8562700
2006-06-16,16.64,17.01,16.55,16.75,8885000
2006-06-19,16.8,16.898,15.8699,15.89,14636200
2006-06-20,15.81,16.14,15.73,15.92,8163700
2006-06-21,15.82,16.23,15.82,15.83,7781800
2006-06-22,15.88,16.01,15.67,15.8,5650700
2006-06-23,15.69,15.92,15.63,15.82,7555100
2006-06-26,15.79,16.03,15.71,15.83,5985400
2006-06-27,15.78,15.94,15.4,15.42,4757600
2006-06-28,15.52,15.59,15.19,15.58,4435900
2006-06-29,15.57,16.04,15.54,16.02,6883000
2006-06-30,16.06,16.19,15.88,15.99,8629200
2006-07-03,16.1,16.2,15.94,16.18,2196200
2006-07-05,15.9,16.14,15.8,15.91,4305500
2006-07-06,15.92,16.05,15.8515,16.01,3952600
2006-07-07,15.89,16.02,15.51,15.72,5506500
2006-07-10,15.74,15.83,15.17,15.42,6892600
2006-07-11,15.27,15.39,14.97,15.12,10612000
2006-07-12,15.115,15.15,14.44,14.45,11460000
2006-07-13,14.38,14.82,14.18,14.35,10722700
2006-07-14,14.295,14.41,14.02,14.09,8824000
2006-07-17,14.145,14.6,14.05,14.28,6321000
2006-07-18,14.29,14.55,13.89,14.32,7355400
2006-07-19,14.32,14.53,14.02,14.14,19111200
2006-07-20,14.21,14.76,14.01,14.06,33680600
2006-07-21,13.97,13.98,13.54,13.63,15095200
2006-07-24,13.68,13.94,13.61,13.77,7132900
2006-07-25,13.77,13.85,13.42,13.7,9497500
2006-07-26,13.79,13.84,13.37,13.41,9978900
2006-07-27,13.36,13.59,13.11,13.33,8026400
2006-07-28,13.36,13.7,13.33,13.67,9883500
2006-07-31,13.6,13.72,13.45,13.45,4373600
2006-08-01,13.21,13.39,13.18,13.29,5620000
2006-08-02,13.3,13.39,13.19,13.23,6954500
2006-08-03,13.17,13.36,12.98,13.2,10763300
2006-08-04,13.4,13.46,13.04,13.13,4577000
2006-08-07,13.11,13.22,12.89,13.0,6392600
2006-08-08,13.13,13.15,12.8,12.92,4960100
2006-08-09,13.4,13.73,13.34,13.41,10185300
2006-08-10,13.33,13.44,12.76,12.9,14276000
2006-08-11,12.54,12.65,12.09,12.2,34692700
2006-08-14,12.27,12.69,12.23,12.44,11289200
2006-08-15,12.6,13.49,12.6,13.49,15671700
2006-08-16,13.5,13.79,13.21,13.78,10186200
2006-08-17,13.75,14.0,13.67,13.83,5755300
2006-08-18,13.75,14.09,13.7,13.99,6921200
2006-08-21,13.89,14.12,13.8,13.98,5257700
2006-08-22,14.0,14.11,13.86,13.96,3907900
2006-08-23,14.01,14.01,13.44,13.5,5325300
