,Open,High,Low,Close,Volume
2018-12-03,77.33,77.4,74.64,75.58,3214485
2018-12-04,75.86,76.87,75.3,75.49,3028307
2018-12-06,75.5,76.3,72.98,74.13,2525540
2018-12-07,74.3,74.52,73.19,73.45,1580778
2018-12-10,73.64,73.64,72.29,73.37,2327936
2018-12-11,73.9,75.79,73.67,75.17,1820509
2018-12-12,75.61,77.203,75.6,76.39,1750682
2018-12-13,76.35,77.87,76.19,77.69,1376337
2018-12-14,77.47,77.72,75.5,75.83,1780292
2018-12-17,75.7,76.7,75.205,75.44,2019276
2018-12-18,75.96,76.495,75.03,75.63,1660422
2018-12-19,75.99,77.36,74.72,74.99,1771918
2018-12-20,74.75,75.4,72.71,73.4,1965568
2018-12-21,73.75,75.21,73.29,73.6,2323565
2018-12-24,73.58,74.43,70.91,71.53,548368
2018-12-26,71.9,73.65,71.66,73.37,2635121
2018-12-27,72.79,73.74,71.57,73.73,1473703
2018-12-28,74.07,74.49,72.93,73.61,823010
2018-12-31,73.61,73.75,72.6995,73.56,849623
2019-01-02,73.23,74.09,72.17,73.66,2203779
2019-01-03,73.14,73.88,72.77,72.98,2178826
2019-01-04,75.1,76.88,74.66,75.58,2716396
2019-01-07,75.59,75.59,69.85,70.55,3497867
2019-01-08,70.61,71.61,69.81,70.91,2914302
2019-01-09,71.16,71.21,69.67,69.72,1763517
2019-01-10,69.72,69.89,68.9,69.86,1403265
2019-01-11,69.86,69.86,69.0,69.47,968039
2019-01-14,69.46,69.46,65.87,67.64,1960693
2019-01-15,67.65,69.14,67.43,68.9,1738831
2019-01-16,69.22,71.11,69.21,70.18,1986065
2019-01-17,70.0,71.25,69.92,70.9,1487054
2019-01-18,71.13,71.76,70.68,70.88,1927635
2019-01-22,70.89,71.47,70.33,70.75,1429015
2019-01-23,71.94,73.6,71.58,72.73,1791258
2019-01-24,71.99,72.5,70.84,71.36,1286109
2019-01-25,71.77,72.0,70.5,71.1,1437859
2019-01-28,70.63,71.52,70.13,71.4,2788410
2019-01-29,71.33,72.76,71.33,72.44,1236247
2019-01-30,72.71,73.0,72.26,72.58,846528
2019-01-31,72.14,72.45,71.07,72.3,1343638
2019-02-01,72.48,72.55,71.605,72.4,1837439
2019-02-04,72.16,72.33,70.84,71.3,1440346
2019-02-05,71.39,72.01,71.18,71.64,945498
2019-02-06,71.48,71.63,70.74,71.31,782936
2019-02-07,70.95,71.37,70.23,70.61,1310659
2019-02-08,70.29,70.62,70.01,70.62,1095280
2019-02-11,70.86,71.0,69.81,70.39,1202671
2019-02-12,70.34,70.77,69.0,69.02,1521319
2019-02-13,69.22,69.49,68.37,68.56,2659158
2019-02-14,68.33,69.52,67.92,68.97,2305380
2019-02-15,69.52,69.89,69.0,69.51,1393391
2019-02-19,69.46,70.44,69.4,70.3,1552059
2019-02-20,70.17,70.42,69.87,70.06,1480313
2019-02-21,70.0,70.99,69.9,70.98,990108
2019-02-22,70.05,70.86,69.65,70.5,962135
2019-02-25,70.8,70.96,69.27,69.49,1164720
2019-02-26,69.77,70.05,68.93,69.0,1826331
2019-02-27,68.84,69.115,67.84,69.1,1306911
2019-02-28,69.2,69.66,68.64,69.31,1265695
2019-03-01,69.69,70.97,69.12,70.95,1156807
2019-03-04,70.93,70.94,70.01,70.79,2055465
2019-03-05,70.73,71.16,70.433,71.16,1255318
2019-03-06,71.25,71.75,70.41,70.54,1349399
2019-03-07,70.55,71.205,70.18,70.51,1737081
2019-03-08,70.46,70.46,69.795,70.01,1011200
2019-03-11,69.96,70.46,69.6,70.21,1504167
2019-03-12,70.43,70.475,69.6,69.7,1347904
2019-03-13,69.71,70.01,69.4,69.84,1163883
2019-03-14,69.98,69.98,68.13,68.19,1989963
2019-03-15,68.04,69.57,67.96,69.51,3240517
2019-03-18,69.38,70.37,69.24,69.9,1580981
2019-03-19,70.14,70.33,69.36,69.71,860781
2019-03-20,69.86,70.155,68.88,69.37,1149950
2019-03-21,69.55,71.0,69.2,71.0,1108381
2019-03-22,71.27,72.03,70.83,71.66,1241218
2019-03-25,71.57,73.28,71.5,72.83,1798146
2019-03-26,72.86,73.18,72.23,73.0,1276322
2019-03-27,73.11,73.37,72.11,72.27,1378928
2019-03-28,72.49,74.345,72.19,73.92,2107899
2019-03-29,74.18,75.24,73.32,74.94,2903360
2019-04-01,74.79,75.43,73.71,73.97,2302686
2019-04-02,79.0,79.1,73.12,74.36,6500074
2019-04-03,74.54,75.43,73.08,73.09,2836242
2019-04-04,73.08,73.15,70.3,70.32,2405205
2019-04-05,70.19,71.66,69.64,71.63,2512710
2019-04-08,71.92,73.2,71.72,72.87,1527943
2019-04-09,72.67,72.94,71.95,72.92,1220479
2019-04-10,73.08,73.53,72.245,72.4,1176902
2019-04-11,72.33,72.58,71.27,71.63,1192443
2019-04-12,71.49,71.55,70.58,71.11,1008117
2019-04-15,71.14,71.65,70.93,71.2,900254
2019-04-16,71.22,71.63,69.63,69.66,1209637
2019-04-17,69.75,69.96,68.59,68.63,1185976
2019-04-18,68.62,68.62,67.08,67.62,2237221
2019-04-22,67.73,68.93,67.19,68.9,1403968
2019-04-23,68.75,69.81,68.75,69.48,1194263
2019-04-24,69.66,69.81,68.82,69.29,1303628
2019-04-25,68.72,69.67,68.66,69.2,759972
2019-04-26,69.41,70.2,68.68,69.69,955418
2019-04-29,69.47,69.51,68.0,68.55,1482686
2019-04-30,68.57,70.17,68.07,70.05,1541354
