,Open,High,Low,Close,Volume
2006-12-28,53.6,53.734,53.13,53.56,1203500
2006-12-29,53.36,53.65,53.35,53.44,1302600
2007-01-03,54.0,54.0,52.57,53.19,2412500
2007-01-04,52.99,53.53,52.52,53.2,1687600
2007-01-05,53.21,53.87,52.9,53.67,2355800
2007-01-08,53.47,54.04,53.33,53.73,2885900
2007-01-09,53.56,54.69,53.56,54.22,2927900
2007-01-10,54.24,57.18,53.97,56.46,7763100
2007-01-11,56.47,58.27,56.15,58.05,5150200
2007-01-12,57.5,58.96,57.31,58.71,4748600
2007-01-16,58.46,59.42,58.34,58.52,5903400
2007-01-17,58.52,58.69,57.45,58.07,5423500
2007-01-18,58.08,58.22,56.39,56.55,6001800
2007-01-19,56.55,56.98,56.34,56.66,2263100
2007-01-22,56.67,57.26,55.79,56.45,1658000
2007-01-23,56.65,57.25,56.0,56.97,1719800
2007-01-24,56.75,57.2,56.46,56.87,1872200
2007-01-25,56.8,57.94,56.76,57.63,1890800
2007-01-26,57.93,58.58,57.75,58.25,2307200
2007-01-29,58.2243,58.53,57.61,58.05,1485200
2007-01-30,58.05,58.81,57.85,58.48,2289400
2007-01-31,58.2,59.45,57.76,59.21,2359100
2007-02-01,59.46,60.0,59.04,60.0,2262900
2007-02-02,60.0,60.6,59.75,60.48,1861200
2007-02-05,60.19,60.51,59.87,60.35,1372100
2007-02-06,60.38,60.99,59.75,60.95,2026600
2007-02-07,60.95,61.25,60.1,60.39,2134300
2007-02-08,60.6,60.8,59.99,59.99,2236500
2007-02-09,59.99,60.48,59.67,59.77,1721800
2007-02-12,60.18,60.5,59.73,59.79,1349513
2007-02-13,60.04,60.46,59.85,60.12,2041508
2007-02-14,60.14,61.25,60.12,61.18,1209361
2007-02-15,60.93,62.28,60.85,62.01,1508700
2007-02-16,62.08,62.08,61.26,61.45,1065700
2007-02-20,61.84,62.5,61.3,61.59,1815000
2007-02-21,65.2,68.82,65.15,67.8,10923800
2007-02-22,68.0,69.0,66.57,67.46,4357000
2007-02-23,66.9,67.82,66.22,67.39,3832400
2007-02-26,67.39,68.27,67.24,67.87,2106600
2007-02-27,66.75,67.45,64.54,65.18,4966100
2007-02-28,65.18,68.2,64.85,67.61,6202700
2007-03-01,67.05,68.34,66.25,68.16,5279690
2007-03-02,68.16,68.47,66.63,66.63,4091900
2007-03-05,66.43,68.13,66.32,67.01,4103100
2007-03-06,67.72,69.1,67.0,68.92,5791400
2007-03-07,68.92,68.92,67.69,67.76,5622800
2007-03-08,69.2,70.0,68.32,68.9,6955500
2007-03-09,68.77,69.53,67.9,68.06,5466400
2007-03-12,68.28,70.18,68.28,69.7,4149500
