,Open,High,Low,Close,Volume
2009-12-18,41.42,42.36,41.2,41.5,36881700
2009-12-21,41.4,43.04,41.4,42.25,7946700
2009-12-22,42.67,43.2,42.55,43.09,6203100
2009-12-23,43.05,43.5,42.95,43.27,10183100
2009-12-24,43.38,43.4,42.72,43.11,1545600
2009-12-28,43.11,43.11,43.11,43.11,4458400
2009-12-29,44.97,44.97,44.37,44.58,4486400
2009-12-30,44.5,44.5887,43.69,44.12,2038600
2009-12-31,44.34,44.6,43.62,43.7,2354000
2010-01-04,43.89,45.5,43.89,44.99,6010500
2010-01-05,45.04,45.28,44.15,44.61,5970900
2010-01-06,44.58,45.28,44.29,45.26,4554500
2010-01-07,45.26,46.16,45.26,45.96,5370300
2010-01-08,46.0,46.04,45.02,45.23,2989200
2010-01-11,45.57,45.66,45.0,45.59,1390300
2010-01-12,45.54,45.86,45.27,45.49,2063400
2010-01-13,45.4,46.47,45.27,46.29,2423500
2010-01-14,46.4,46.65,46.06,46.31,2008500
2010-01-15,46.56,47.01,46.055,46.81,3229800
2010-01-19,47.19,47.45,46.61,46.9,1976700
2010-01-20,46.5,46.82,45.75,46.1,3592600
2010-01-21,46.31,46.44,45.05,45.12,2243600
2010-01-22,45.0,45.415,44.3,44.53,2973300
2010-01-25,44.89,44.96,43.59,43.62,3243100
2010-01-26,43.52,44.33,43.5,44.15,2075200
2010-01-27,43.92,44.29,43.5,44.0,2447200
2010-01-28,44.22,47.86,44.22,45.17,5412200
2010-01-29,45.76,46.06,45.08,45.23,3421400
2010-02-01,45.43,46.35,45.25,46.25,2957300
2010-02-02,46.33,47.08,45.83,45.89,1990800
2010-02-03,45.95,47.1,45.786,47.0,2527600
2010-02-04,46.74,46.74,45.89,46.51,3049100
2010-02-05,46.26,46.48,45.79,46.29,2568600
2010-02-08,46.17,46.53,45.94,46.05,1387800
2010-02-09,46.34,47.03,45.915,46.6,1569100
2010-02-10,46.53,46.85,45.9,46.56,1379800
2010-02-11,46.47,46.47,45.21,45.3,3682100
2010-02-12,45.3,45.598,44.92,45.05,2506100
2010-02-16,45.4,45.48,44.32,45.4,2090800
2010-02-17,45.42,46.47,45.28,46.43,2255500
2010-02-18,46.45,46.5,45.78,46.47,2225100
2010-02-19,46.39,46.78,46.245,46.78,2864000
2010-02-22,46.76,47.0,46.34,46.68,2162900
2010-02-23,46.78,46.94,46.0,46.21,1628900
2010-02-24,46.45,46.85,45.955,46.3,1499000
2010-02-25,45.96,47.12,45.96,46.88,2258200
2010-02-26,47.06,47.52,46.66,47.3,1698900
2010-03-01,47.43,48.24,47.15,47.83,2360500
2010-03-02,47.83,48.4,47.75,48.0,1177400
2010-03-03,48.09,48.5,47.79,48.39,1268200
2010-03-04,48.39,48.51,48.13,48.5,1744400
2010-03-05,48.86,49.94,48.5,49.91,2748400
2010-03-08,49.93,50.05,49.3,49.96,2956600
