,Open,High,Low,Close,Volume
2009-12-18,56.0,56.69,54.71,55.22,7128700
2009-12-21,57.33,58.7,57.11,58.31,7642200
2009-12-22,57.58,58.92,57.45,58.65,5654000
2009-12-23,59.59,60.6,59.05,60.3,4596400
2009-12-24,59.93,60.93,59.73,60.61,1950500
2009-12-28,61.43,61.61,60.45,60.83,2311300
2009-12-29,60.28,60.34,58.94,59.68,3227100
2009-12-30,59.01,60.1,58.92,59.76,1871000
2009-12-31,60.2,60.34,59.73,59.73,1820600
2010-01-04,60.45,62.36,60.08,61.71,4072100
2010-01-05,62.43,63.83,62.43,63.15,6505800
2010-01-06,64.36,65.95,62.97,65.57,9995100
2010-01-07,65.09,66.35,64.45,65.76,5544100
2010-01-08,65.74,66.97,65.48,66.7,4074500
2010-01-11,67.85,68.28,65.38,66.31,4027700
2010-01-12,63.33,64.36,61.67,62.49,10232000
2010-01-13,62.26,62.75,60.7,62.54,6831400
2010-01-14,62.77,63.09,60.62,60.84,4516300
2010-01-15,61.47,62.59,60.71,61.56,5458800
2010-01-19,61.5,63.1,61.39,63.04,4479800
2010-01-20,62.19,62.38,60.81,62.03,4317400
2010-01-21,62.08,63.4,60.02,60.07,5739800
2010-01-22,60.08,60.5,58.32,58.63,3872100
2010-01-25,59.37,60.67,58.74,58.76,3217100
2010-01-26,58.15,60.23,57.06,58.58,4684000
2010-01-27,58.81,59.33,56.74,58.04,4180800
2010-01-28,57.5,58.2,54.82,55.56,7023300
2010-01-29,56.24,57.29,53.2,53.51,5921900
2010-02-01,54.08,56.27,54.05,56.27,3562000
2010-02-02,56.76,56.85,55.25,56.35,5062300
2010-02-03,57.35,58.44,56.76,57.64,4821300
2010-02-04,56.42,56.7,54.01,54.01,4867200
2010-02-05,54.44,55.35,52.87,55.18,4786900
2010-02-08,55.66,56.61,54.51,54.54,3891800
2010-02-09,55.54,57.5,55.54,56.91,5042800
2010-02-10,57.59,58.13,56.48,57.42,5103100
2010-02-11,57.7,58.92,57.41,58.42,6274000
2010-02-12,57.39,59.13,57.1,58.83,4379600
2010-02-16,60.0,60.44,59.44,60.38,4501900
2010-02-17,61.37,61.59,60.2,61.26,4766600
2010-02-18,60.91,61.25,59.92,60.56,4969500
2010-02-19,61.09,61.35,60.3,60.78,4479700
2010-02-22,61.42,61.42,60.3,60.68,4226600
2010-02-23,60.58,60.76,58.54,58.88,4260900
2010-02-24,58.5,58.87,57.02,57.62,4302000
2010-02-25,57.0,58.8,55.95,58.52,5280000
2010-02-26,58.74,59.14,57.84,58.39,2887500
2010-03-01,58.51,59.5,57.97,59.45,3433200
2010-03-02,61.24,62.25,60.9,61.49,4776700
2010-03-03,61.49,62.24,61.06,61.27,3092100
2010-03-04,61.51,61.87,60.14,60.43,3675400
2010-03-05,61.35,62.15,61.21,61.6,3965200
2010-03-08,62.05,62.49,61.27,61.38,2208700
2010-03-09,61.0,62.12,60.62,60.98,3738600
2010-03-10,61.27,61.3,59.95,60.35,4439500
2010-03-11,60.37,60.44,59.17,59.93,3482900
2010-03-12,63.37,64.7,63.11,63.8,11275600
2010-03-15,63.52,63.79,62.0,62.39,4364000
2010-03-16,63.0,63.77,62.7,63.04,3693800
2010-03-17,63.65,63.69,61.58,61.91,4054900
2010-03-18,61.74,62.25,59.17,59.56,8493000
2010-03-19,59.74,59.89,58.11,58.42,5150300
2010-03-22,57.61,59.38,57.33,59.19,4734200
2010-03-23,58.94,59.8,58.3,59.14,3511100
2010-03-24,58.54,60.85,58.45,60.28,6392200
2010-03-25,61.14,61.3,58.31,58.44,4787700
2010-03-26,58.83,60.2,58.62,59.35,3814300
2010-03-29,60.07,60.79,59.41,60.22,3211600
2010-03-30,60.23,60.58,59.41,60.05,2674400
2010-03-31,59.64,60.8,59.64,60.77,4428100
2010-04-01,59.6,60.21,57.7,58.33,11131600
2010-04-05,59.09,59.09,57.7,57.99,4738000
2010-04-06,57.5,58.29,57.36,57.54,3516000
2010-04-07,57.46,58.09,56.67,56.99,4964100
2010-04-08,56.51,57.68,56.17,57.59,2732200
2010-04-09,58.22,58.22,56.33,56.65,5010300
2010-04-12,56.87,57.05,56.35,56.75,2990700
2010-04-13,56.52,57.17,56.14,56.78,4738500
2010-04-14,55.56,56.0,54.56,55.4,9088300
2010-04-15,55.56,56.38,54.97,55.16,4966100
2010-04-16,55.01,55.14,53.91,54.13,5492900
2010-04-19,53.66,53.86,51.9,53.19,6195000
2010-04-20,53.79,55.1,53.7,54.92,4507800
2010-04-21,55.36,55.36,52.71,53.23,5439000
2010-04-22,52.75,54.11,52.26,54.08,4157400
2010-04-23,54.36,54.37,52.6,53.78,4284700
2010-04-26,53.52,54.0,52.05,52.19,6521200
2010-04-27,51.99,52.06,50.3,50.58,8069100
2010-04-28,50.95,52.23,50.33,51.95,6384400
2010-04-29,52.05,52.76,50.8,51.51,5174700
2010-04-30,51.84,52.49,51.11,51.14,4519300
2010-05-03,51.68,51.94,50.04,50.98,3602300
2010-05-04,50.35,50.38,48.84,49.1,5275500
2010-05-05,48.36,49.92,47.43,48.3,6391200
2010-05-06,48.66,49.92,45.66,47.66,7213300
2010-05-07,47.66,49.2,47.01,48.16,8830900
2010-05-10,50.06,50.39,48.25,48.73,5674300
2010-05-11,48.07,48.37,47.5,47.67,4285400
2010-05-12,48.55,49.51,47.92,49.4,5911900
2010-05-13,49.0,49.15,47.85,48.03,3519600
2010-05-14,47.64,48.45,47.13,47.76,4018400
2010-05-17,47.66,48.02,45.81,46.86,4009900
2010-05-18,47.54,48.67,47.49,48.0,7258300
2010-05-19,47.97,48.08,45.91,46.86,5396800
2010-05-20,45.35,46.03,44.52,44.97,5921400
2010-05-21,44.09,46.0,44.01,45.71,5376400
2010-05-24,46.57,46.57,44.94,44.94,3759900
2010-05-25,43.24,44.78,42.8,44.68,6441500
2010-05-26,45.17,45.38,43.69,44.0,4068200
2010-05-27,44.99,47.02,44.89,47.02,5582200
2010-05-28,47.15,47.33,45.75,46.17,3024100
2010-06-01,46.33,46.8,44.61,44.61,3404200
2010-06-02,45.19,46.3,44.97,46.3,2945600
2010-06-03,46.51,46.56,44.27,44.74,4846300
2010-06-04,43.79,44.69,42.95,43.06,4144600
2010-06-07,43.07,44.25,42.87,43.19,4138500
2010-06-08,43.16,43.49,42.2,42.7,3814200
2010-06-09,43.41,44.05,42.33,42.52,3367900
2010-06-10,43.59,45.33,43.48,45.31,5008300
2010-06-11,44.79,45.31,44.34,45.24,3120500
2010-06-14,45.88,45.88,43.94,43.97,3304200
2010-06-15,44.22,45.48,44.1,45.46,2934900
2010-06-16,44.89,45.94,44.77,45.27,3036900
2010-06-17,45.71,45.71,43.88,44.32,3999200
2010-06-18,44.27,44.37,43.42,43.46,5164700
2010-06-21,44.4,44.68,43.14,43.59,4495100
2010-06-22,43.44,44.25,43.2,43.32,3759700
2010-06-23,43.35,44.06,42.98,43.74,2573600
2010-06-24,43.54,43.54,42.55,42.61,2562500
2010-06-25,42.71,43.04,42.05,42.44,2640800
2010-06-28,42.55,42.62,41.5,41.65,2766500
2010-06-29,40.85,40.87,39.15,39.35,5239800
2010-06-30,39.81,40.65,38.86,38.98,5434100
2010-07-01,38.97,39.38,37.68,38.9,5446600
2010-07-02,38.87,39.66,38.35,39.43,3533500
2010-07-06,40.01,40.24,38.79,39.13,3392200
2010-07-07,39.07,42.87,38.9,42.74,6930900
2010-07-08,43.27,44.95,42.89,44.72,7579800
2010-07-09,44.27,46.49,44.16,46.13,6819000
2010-07-12,46.22,46.23,41.73,42.48,13647100
2010-07-13,42.94,43.87,41.61,41.7,9755000
2010-07-14,41.55,42.57,41.26,42.02,5902600
2010-07-15,42.17,43.3,41.32,43.25,7610300
2010-07-16,43.79,44.95,42.79,44.76,9182600
2010-07-19,44.47,45.64,44.09,44.77,5017600
2010-07-20,44.07,46.68,44.05,46.55,5651100
2010-07-21,46.98,47.1,44.62,44.83,6564200
2010-07-22,45.43,45.72,43.2,44.95,7594600
2010-07-23,45.69,46.97,45.4,46.8,5863900
2010-07-26,47.01,47.02,45.77,46.19,2744900
2010-07-27,45.75,45.87,44.67,44.93,3437800
2010-07-28,44.96,46.99,44.93,46.45,7903300
2010-07-29,46.7,48.54,46.55,47.59,7286100
2010-07-30,47.59,48.12,46.91,47.65,2999800
2010-08-02,46.79,49.7,46.28,49.39,9185800
2010-08-03,48.66,49.07,47.97,48.1,4358200
2010-08-04,48.29,50.48,48.08,50.38,6138500
2010-08-05,50.59,52.4,50.59,51.29,9343200
2010-08-06,51.5,52.78,50.51,51.19,6000700
2010-08-09,51.46,51.65,50.47,51.14,3335400
2010-08-10,50.29,51.2,49.83,50.84,2808400
2010-08-11,49.55,50.22,49.05,49.42,2754200
2010-08-12,48.69,52.03,48.62,51.3,4719300
2010-08-13,51.76,52.01,50.4,51.2,3298500
2010-08-16,51.29,51.99,50.81,51.13,2643600
2010-08-17,55.87,56.65,54.38,55.6,19051000
2010-08-18,56.7,58.4,56.45,57.88,16066300
2010-08-19,57.52,58.46,56.4,56.56,7356100
2010-08-20,55.79,56.74,55.76,56.64,5512500
2010-08-23,57.87,59.88,57.87,59.77,9611700
2010-08-24,58.34,59.36,57.65,58.11,8224600
2010-08-25,56.65,57.36,54.41,56.29,8914000
2010-08-26,56.72,57.47,54.66,55.79,5923600
2010-08-27,56.56,58.36,55.97,58.27,4976500
2010-08-30,57.78,58.3,57.03,57.25,3114400
2010-08-31,56.81,58.86,56.57,58.66,4025700
2010-09-01,59.42,59.62,58.21,58.47,5107800
2010-09-02,58.64,59.42,58.01,58.35,3418000
2010-09-03,59.25,59.3,57.72,58.1,3561200
2010-09-07,57.49,58.62,57.49,57.86,3359300
2010-09-08,58.45,60.3,58.2,59.67,5319700
2010-09-09,60.21,60.21,58.26,58.67,3490700
2010-09-10,59.09,60.17,58.94,59.35,3263500
2010-09-13,60.04,60.12,59.27,59.66,3249400
2010-09-14,58.88,59.63,58.29,58.82,2967900
2010-09-15,58.21,58.56,56.59,57.59,3689200
2010-09-16,57.91,60.92,57.91,60.55,7600800
2010-09-17,60.52,60.53,59.22,60.02,4635500
2010-09-20,60.52,61.93,60.03,60.96,4853500
2010-09-21,61.15,61.15,59.0,59.34,4088900
2010-09-22,59.51,60.98,59.51,60.27,3642900
2010-09-23,59.72,61.5,59.25,61.35,4317400
2010-09-24,61.8,62.39,61.23,62.09,4091900
2010-09-27,62.22,63.94,62.19,63.39,4924800
2010-09-28,63.38,63.43,61.1,61.77,4798100
2010-09-29,62.21,62.47,60.86,60.96,3175700
2010-09-30,61.18,61.34,57.95,58.76,7410800
2010-10-01,58.76,60.66,58.76,59.62,5325300
2010-10-04,59.6,59.72,58.59,58.79,4257100
2010-10-05,58.63,61.95,58.55,60.8,8034700
2010-10-06,60.88,62.6,60.57,61.01,4774600
2010-10-07,61.37,61.7,60.36,61.53,3708100
2010-10-08,63.99,67.82,63.99,65.61,16205500
2010-10-11,66.41,67.55,65.78,66.63,7599700
2010-10-12,66.37,68.6,65.89,68.15,5766100
2010-10-13,68.64,68.79,67.5,68.06,4387500
2010-10-14,68.31,69.0,66.46,66.55,3810200
2010-10-15,66.76,68.46,66.09,68.39,5715700
2010-10-18,68.64,68.98,66.6,66.66,3503000
2010-10-19,65.27,66.04,63.67,64.37,5715600
2010-10-20,65.8,67.83,65.53,67.12,4329000
2010-10-21,67.6,67.76,65.64,66.51,2796000
2010-10-22,66.94,67.28,65.24,65.96,2162000
2010-10-25,67.09,68.61,66.87,68.0,3741200
2010-10-26,68.14,72.23,68.04,71.44,7472200
2010-10-27,70.76,70.89,69.01,70.6,4521200
2010-10-28,72.26,72.26,69.33,70.39,3760600
2010-10-29,70.41,73.38,70.41,73.16,5080100
2010-11-01,73.01,73.22,71.85,72.33,2727000
2010-11-02,72.85,73.16,71.35,71.77,2883500
2010-11-03,71.86,72.02,69.34,70.39,4516400
2010-11-04,71.46,71.6,70.44,71.04,4509600
2010-11-05,72.3,72.54,70.36,70.78,4760400
2010-11-08,70.79,71.73,70.44,70.94,3234000
2010-11-09,72.7,74.25,71.67,72.2,5375500
2010-11-10,72.69,72.71,71.01,72.02,2434000
2010-11-11,71.37,74.18,71.28,73.86,4052600
2010-11-12,73.24,73.24,69.34,69.7,5273300
2010-11-15,70.1,70.15,66.12,66.41,9839300
2010-11-16,66.23,66.5,64.56,66.32,7447500
2010-11-17,66.68,67.99,66.25,67.42,4425500
2010-11-18,69.07,69.75,68.57,69.34,4480900
2010-11-19,68.6,70.13,68.53,70.05,3659700
2010-11-22,70.24,71.48,69.2,69.75,5040100
2010-11-23,68.86,69.64,67.82,69.02,3912500
2010-11-24,69.07,70.53,68.75,70.4,2827000
2010-11-26,70.15,70.15,69.35,69.8,1250700
2010-11-29,69.57,69.57,66.8,68.32,5790100
2010-11-30,67.41,67.96,66.56,67.63,6447600
2010-12-01,68.56,68.6,65.81,68.49,7535700
2010-12-02,68.46,68.99,66.75,66.96,5484300
2010-12-03,67.04,69.18,66.86,69.1,6365200
2010-12-06,69.02,70.18,68.57,69.32,4516100
2010-12-07,70.17,71.08,68.75,69.17,6137000
2010-12-08,69.63,69.64,67.61,68.62,3341800
2010-12-09,68.94,68.99,67.73,68.32,2656300
2010-12-10,68.81,68.83,67.5,68.59,2255800
2010-12-13,68.8,68.99,66.35,66.57,5228800
2010-12-14,66.52,66.67,65.22,65.5,4272200
2010-12-15,65.46,67.17,65.0,66.12,4159100
2010-12-16,66.38,66.53,65.12,66.01,3452900
2010-12-17,66.1,67.76,65.58,67.33,3586800
2010-12-20,67.51,68.17,66.84,67.42,2180700
2010-12-21,68.19,69.25,67.75,69.16,3049900
2010-12-22,69.4,69.75,68.81,69.21,2004000
2010-12-23,69.32,71.72,69.0,71.05,3172400
2010-12-27,70.94,71.65,70.12,71.48,2067100
2010-12-28,71.83,72.58,71.22,71.44,2371400
2010-12-29,72.03,75.7,71.72,74.8,5912100
2010-12-30,75.12,76.8,74.96,75.83,4524000
2010-12-31,75.99,76.59,75.31,76.36,2303000
2011-01-03,77.46,78.18,75.85,76.25,5621000
2011-01-04,75.59,75.8,73.4,75.0,7149600
2011-01-05,76.93,77.47,75.42,77.13,9796200
2011-01-06,77.56,78.68,76.97,77.62,7111300
2011-01-07,78.58,78.58,75.5,76.29,5969500
2011-01-10,76.28,76.32,74.76,75.58,3899600
2011-01-11,76.17,77.35,75.64,76.14,3616300
2011-01-12,77.99,79.97,76.79,79.81,7246100
2011-01-13,80.92,82.18,79.85,80.69,7216700
2011-01-14,81.86,83.31,80.7,82.97,6149900
2011-01-18,83.5,85.45,83.36,85.07,7578900
2011-01-19,82.22,82.22,75.74,76.15,24277500
2011-01-20,76.64,76.72,71.86,72.67,19891900
2011-01-21,74.63,75.52,73.02,73.2,9401100
2011-01-24,73.93,76.57,73.6,76.03,7443200
2011-01-25,76.47,76.7,73.14,75.71,7851400
2011-01-26,76.71,79.1,76.42,78.81,7607700
2011-01-27,80.05,81.08,78.12,78.67,8325900
2011-01-28,79.85,80.63,78.09,79.78,6824600
2011-01-31,80.79,81.16,79.07,81.04,5270600
2011-02-01,81.75,84.1,81.6,83.88,7021100
2011-02-02,84.04,84.47,82.26,83.21,6644200
2011-02-03,83.36,83.48,81.1,83.02,5549100
2011-02-04,83.23,83.47,81.41,82.53,5253500
2011-02-07,83.38,84.19,82.6,83.75,5637200
2011-02-08,83.79,84.45,82.18,84.05,5806400
2011-02-09,85.15,85.99,84.0,84.52,6265300
2011-02-10,83.88,86.0,83.15,85.92,4379500
2011-02-11,85.2,88.57,85.2,88.32,6024800
2011-02-14,87.58,89.24,87.32,89.06,5014400
2011-02-15,88.07,88.68,84.86,84.92,6965000
2011-02-16,86.0,86.4,85.01,86.27,4673000
2011-02-17,85.49,87.0,84.9,86.75,3993100
2011-02-18,86.92,86.92,82.88,83.02,6130800
2011-02-22,80.46,83.93,79.06,80.15,8404700
2011-02-23,80.33,81.5,75.4,81.31,11986000
2011-02-24,83.33,84.1,80.61,82.2,8344900
2011-02-25,83.09,85.0,83.0,84.93,5562900
2011-02-28,85.99,86.4,84.4,85.85,4751100
2011-03-01,86.07,86.67,83.76,84.96,6836900
2011-03-02,83.29,85.69,83.18,84.43,3813400
2011-03-03,85.56,86.32,84.6,86.1,4290700
2011-03-04,86.48,86.48,84.43,85.5,3409500
2011-03-07,85.03,86.0,82.07,82.72,4170600
2011-03-08,82.9,83.01,79.64,81.56,5625800
2011-03-09,79.29,81.23,78.43,78.84,5730800
2011-03-10,77.25,78.27,75.19,75.23,8433900
2011-03-11,73.52,77.5,73.03,76.28,6771800
2011-03-14,75.63,77.1,75.02,76.29,4070200
2011-03-15,73.78,76.92,73.06,76.3,6603200
2011-03-16,76.45,77.81,74.34,75.48,6574700
2011-03-17,76.91,77.84,76.0,76.92,4027700
2011-03-18,78.06,78.65,75.51,75.53,4184400
2011-03-21,76.83,77.24,75.63,77.24,3268300
2011-03-22,77.51,77.51,75.76,76.21,2974400
2011-03-23,76.0,77.64,75.16,77.27,2792700
2011-03-24,77.47,77.7,75.8,77.55,3701400
2011-03-25,78.04,80.85,77.94,78.82,5040300
