Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2011-12-16,7.87,8.16,7.69,7.71,23880400.0,0.0,1.0,7.87,8.16,7.69,7.71,23880400.0
2011-12-15,7.85,7.94,7.66,7.83,3175600.0,0.0,1.0,7.85,7.94,7.66,7.83,3175600.0
2011-12-14,7.81,7.81,7.52,7.7,3829300.0,0.0,1.0,7.81,7.81,7.52,7.7,3829300.0
2011-12-13,8.15,8.18,7.75,7.83,3932700.0,0.0,1.0,8.15,8.18,7.75,7.83,3932700.0
2011-12-12,7.96,8.12,7.73,8.05,6168700.0,0.0,1.0,7.96,8.12,7.73,8.05,6168700.0
2011-12-09,7.42,8.0,7.41,7.97,4731400.0,0.0,1.0,7.42,8.0,7.41,7.97,4731400.0
2011-12-08,7.55,7.7,7.25,7.29,2468700.0,0.0,1.0,7.55,7.7,7.25,7.29,2468700.0
2011-12-07,7.58,7.74,7.43,7.67,1788800.0,0.0,1.0,7.58,7.74,7.43,7.67,1788800.0
2011-12-06,7.87,7.89,7.55,7.66,2676200.0,0.0,1.0,7.87,7.89,7.55,7.66,2676200.0
2011-12-05,7.55,7.77,7.46,7.75,4132700.0,0.0,1.0,7.55,7.77,7.46,7.75,4132700.0
2011-12-02,7.5,7.51,7.2,7.34,4714000.0,0.0,1.0,7.5,7.51,7.2,7.34,4714000.0
2011-12-01,7.32,7.37,7.08,7.21,2643800.0,0.0,1.0,7.32,7.37,7.08,7.21,2643800.0
2011-11-30,7.31,7.41,7.12,7.31,5904700.0,0.0,1.0,7.31,7.41,7.12,7.31,5904700.0
2011-11-29,7.11,7.14,6.85,6.93,2808400.0,0.0,1.0,7.11,7.14,6.85,6.93,2808400.0
2011-11-28,6.94,7.26,6.94,7.06,3346500.0,0.0,1.0,6.94,7.26,6.94,7.06,3346500.0
2011-11-25,6.82,6.97,6.59,6.59,1299700.0,0.0,1.0,6.82,6.97,6.59,6.59,1299700.0
2011-11-23,7.19,7.24,6.85,6.89,3192600.0,0.0,1.0,7.19,7.24,6.85,6.89,3192600.0
2011-11-22,7.44,7.5,7.24,7.29,2354800.0,0.0,1.0,7.44,7.5,7.24,7.29,2354800.0
2011-11-21,7.53,7.58,7.15,7.5,3548800.0,0.0,1.0,7.53,7.58,7.15,7.5,3548800.0
2011-11-18,7.85,7.9,7.56,7.77,3452000.0,0.0,1.0,7.85,7.9,7.56,7.77,3452000.0
2011-11-17,8.08,8.09,7.68,7.78,5333600.0,0.0,1.0,8.08,8.09,7.68,7.78,5333600.0
2011-11-16,8.36,8.52,8.01,8.07,5564800.0,0.0,1.0,8.36,8.52,8.01,8.07,5564800.0
2011-11-15,8.6,8.61,8.34,8.5,3518800.0,0.0,1.0,8.6,8.61,8.34,8.5,3518800.0
