Date,High,Low,Open,Close,Volume,Adj Close
1990-01-02,12.0,11.0,12.0,12.0,283000.0,4.953540802001953
1990-01-03,11.9375,11.5,11.9375,11.9375,369200.0,4.9277424812316895
1990-01-04,11.9375,11.5,11.875,11.875,183800.0,4.901939392089844
1990-01-05,12.0,11.75,11.875,11.875,160400.0,4.901939392089844
1990-01-08,11.9375,11.6875,11.9375,11.9375,185600.0,4.9277424812316895
1990-01-09,11.875,11.5,11.6875,11.6875,169000.0,4.824542999267578
1990-01-10,11.8125,11.4375,11.5625,11.5625,205200.0,4.772947311401367
1990-01-11,11.6875,10.8125,10.875,10.875,107400.0,4.48914909362793
1990-01-12,11.0,10.3125,10.9375,10.9375,119200.0,4.514947414398193
1990-01-15,10.875,10.375,10.375,10.375,167400.0,4.282749652862549
1990-01-16,10.8125,10.1875,10.8125,10.8125,243200.0,4.463345527648926
1990-01-17,10.75,10.375,10.5625,10.5625,127600.0,4.360149383544922
1990-01-18,11.1875,10.5625,11.0625,11.0625,389400.0,4.566547393798828
1990-01-19,11.125,10.75,10.875,10.875,137600.0,4.48914909362793
1990-01-22,10.9375,9.875,10.1875,10.1875,167600.0,4.205350399017334
1990-01-23,10.625,10.25,10.375,10.375,232800.0,4.282749652862549
1990-01-24,10.75,10.25,10.625,10.625,229600.0,4.38594913482666
1990-01-25,10.75,10.3125,10.625,10.625,139600.0,4.38594913482666
1990-01-26,10.75,10.4375,10.6875,10.6875,123400.0,4.411745071411133
1990-01-29,10.6875,10.25,10.625,10.625,138000.0,4.38594913482666
1990-01-30,11.0625,10.625,10.9375,10.9375,535000.0,4.514947414398193
1990-01-31,11.625,10.875,11.625,11.625,188200.0,4.798742771148682
1990-02-01,11.625,11.1875,11.625,11.625,96400.0,4.798742771148682
1990-02-02,11.875,11.4375,11.875,11.875,78400.0,4.901939392089844
1990-02-05,11.9375,11.5,11.5625,11.5625,140600.0,4.772947311401367
1990-02-06,11.625,11.375,11.4375,11.4375,106400.0,4.721345901489258
1990-02-07,11.625,11.1875,11.5,11.5,201200.0,4.747143745422363
1990-02-08,11.875,11.5,11.75,11.75,94200.0,4.850339412689209
1990-02-09,12.1875,11.8125,12.125,12.125,266400.0,5.005138397216797
1990-02-12,12.375,12.0625,12.125,12.125,181400.0,5.005138397216797
1990-02-13,12.0625,11.75,11.9375,11.9375,138200.0,4.9277424812316895
1990-02-14,12.0625,11.8125,12.0,12.0,78800.0,4.953540802001953
1990-02-15,12.375,12.0,12.3125,12.3125,86000.0,5.0825395584106445
1990-02-16,12.625,12.125,12.375,12.375,210800.0,5.108339786529541
1990-02-20,12.3125,11.75,11.8125,11.8125,153200.0,4.900893211364746
1990-02-21,11.875,11.5625,11.75,11.75,114200.0,4.874962329864502
1990-02-22,11.875,11.5,11.5,11.5,243400.0,4.771241188049316
1990-02-23,11.875,11.375,11.8125,11.8125,132400.0,4.900893211364746
1990-02-26,11.75,11.5625,11.75,11.75,263200.0,4.874962329864502
1990-02-27,11.75,11.5,11.5,11.5,93400.0,4.771241188049316
1990-02-28,11.4375,11.3125,11.375,11.375,153600.0,4.719381809234619
1990-03-01,11.875,11.3125,11.875,11.875,75800.0,4.92682409286499
1990-03-02,12.3125,11.75,11.875,11.875,108800.0,4.92682409286499
1990-03-05,11.9375,11.6875,11.75,11.75,99000.0,4.874962329864502
1990-03-06,12.125,11.75,12.125,12.125,89000.0,5.03054666519165
1990-03-07,12.4375,12.1875,12.375,12.375,117600.0,5.134270668029785
1990-03-08,13.0625,12.5,12.75,12.75,217800.0,5.289857387542725
1990-03-09,13.0625,12.8125,13.0,13.0,421400.0,5.393575668334961
1990-03-12,13.1875,13.0,13.125,13.125,105200.0,5.445438385009766
1990-03-13,13.1875,12.875,13.0625,13.0625,225400.0,5.419508934020996
1990-03-14,13.0625,12.9375,13.0,13.0,114200.0,5.393575668334961
1990-03-15,13.125,12.9375,13.125,13.125,89200.0,5.445438385009766
1990-03-16,13.25,13.0,13.125,13.125,386600.0,5.445438385009766
1990-03-19,13.125,12.9375,13.0,13.0,130800.0,5.393575668334961
1990-03-20,13.125,13.0,13.0,13.0,155800.0,5.393575668334961
1990-03-21,13.0625,12.8125,12.8125,12.8125,203000.0,5.31578254699707
1990-03-22,12.9375,12.6875,12.6875,12.6875,295800.0,5.263925075531006
1990-03-23,12.8125,12.625,12.75,12.75,101400.0,5.289857387542725
1990-03-26,12.75,12.5,12.5625,12.5625,136400.0,5.212063789367676
1990-03-27,12.5625,12.4375,12.5,12.5,236400.0,5.186131477355957
1990-03-28,12.5,12.3125,12.4375,12.4375,178000.0,5.1601996421813965
1990-03-29,12.4375,12.3125,12.375,12.375,91200.0,5.134270668029785
1990-03-30,12.5,12.25,12.3125,12.3125,113400.0,5.108339786529541
1990-04-02,12.1875,11.6875,11.875,11.875,228800.0,4.92682409286499
1990-04-03,12.0,11.75,12.0,12.0,194400.0,4.9786858558654785
1990-04-04,12.6875,12.0625,12.375,12.375,348600.0,5.134270668029785
1990-04-05,12.5625,12.25,12.3125,12.3125,196600.0,5.108339786529541
1990-04-06,12.3125,12.1875,12.1875,12.1875,82000.0,5.056478977203369
1990-04-09,12.3125,12.125,12.3125,12.3125,149000.0,5.108339786529541
1990-04-10,12.5,12.1875,12.4375,12.4375,285800.0,5.1601996421813965
1990-04-11,12.6875,12.375,12.4375,12.4375,491600.0,5.1601996421813965
1990-04-12,12.6875,12.5,12.625,12.625,427000.0,5.2379913330078125
1990-04-16,13.375,12.75,13.125,13.125,561800.0,5.445438385009766
1990-04-17,13.5,13.0,13.3125,13.3125,312400.0,5.523230075836182
1990-04-18,13.4375,13.25,13.3125,13.3125,130600.0,5.523230075836182
1990-04-19,13.3125,13.0625,13.25,13.25,189200.0,5.497300624847412
1990-04-20,13.3125,13.0625,13.0625,13.0625,176800.0,5.419508934020996
1990-04-23,13.375,13.0,13.125,13.125,460200.0,5.445438385009766
1990-04-24,13.3125,13.0625,13.125,13.125,178400.0,5.445438385009766
1990-04-25,13.4375,13.1875,13.25,13.25,121200.0,5.497300624847412
1990-04-26,13.375,13.1875,13.3125,13.3125,196200.0,5.523230075836182
1990-04-27,13.5,13.0625,13.125,13.125,112200.0,5.445438385009766
1990-04-30,13.125,12.8125,13.0,13.0,116200.0,5.393575668334961
1990-05-01,13.3125,12.9375,13.1875,13.1875,245400.0,5.471370220184326
1990-05-02,13.625,13.125,13.625,13.625,224800.0,5.652883529663086
1990-05-03,14.125,13.5,13.8125,13.8125,273000.0,5.730673313140869
1990-05-04,13.9375,13.75,13.875,13.875,136600.0,5.756605625152588
1990-05-07,14.25,13.875,14.1875,14.1875,170800.0,5.886259078979492
1990-05-08,14.4375,14.125,14.3125,14.3125,178600.0,5.938118934631348
1990-05-09,14.375,14.125,14.1875,14.1875,118800.0,5.886259078979492
1990-05-10,14.25,13.8125,13.875,13.875,290800.0,5.756605625152588
1990-05-11,14.5,13.875,14.375,14.375,253800.0,5.964053153991699
1990-05-14,14.75,14.125,14.5625,14.5625,333000.0,6.041842460632324
1990-05-15,14.6875,14.4375,14.6875,14.6875,156000.0,6.119969367980957
1990-05-16,14.75,14.4375,14.5625,14.5625,182400.0,6.067886829376221
1990-05-17,14.5625,14.0625,14.25,14.25,542200.0,5.937670707702637
1990-05-18,14.1875,13.6875,13.9375,13.9375,552400.0,5.807459354400635
1990-05-21,14.1875,13.875,14.1875,14.1875,562000.0,5.911631107330322
1990-05-22,14.4375,14.25,14.3125,14.3125,230400.0,5.963715553283691
1990-05-23,14.375,14.1875,14.25,14.25,417000.0,5.937670707702637
1990-05-24,14.4375,14.3125,14.375,14.375,113000.0,5.989758491516113
1990-05-25,14.4375,14.3125,14.3125,14.3125,83200.0,5.963715553283691
1990-05-29,14.625,14.25,14.625,14.625,98000.0,6.09392786026001
1990-05-30,14.8125,14.5625,14.625,14.625,358800.0,6.09392786026001
1990-05-31,14.9375,14.625,14.625,14.625,226000.0,6.09392786026001
1990-06-01,14.9375,14.75,14.8125,14.8125,179600.0,6.172055244445801
1990-06-04,14.9375,14.625,14.9375,14.9375,566200.0,6.224140167236328
1990-06-05,15.4375,15.0,15.375,15.375,312000.0,6.406437873840332
1990-06-06,15.6875,15.1875,15.6875,15.6875,271000.0,6.536649703979492
1990-06-07,15.6875,14.6875,15.0,15.0,313000.0,6.250181198120117
1990-06-08,14.9375,14.5,14.75,14.75,161800.0,6.146011829376221
1990-06-11,15.125,14.75,15.0625,15.0625,154400.0,6.276223182678223
1990-06-12,15.5,14.9375,15.4375,15.4375,86800.0,6.432477951049805
1990-06-13,15.5625,15.0,15.1875,15.1875,158200.0,6.328307628631592
1990-06-14,15.375,15.1875,15.3125,15.3125,102800.0,6.380396366119385
1990-06-15,15.4375,15.0,15.4375,15.4375,244400.0,6.432477951049805
1990-06-18,15.4375,14.9375,15.0625,15.0625,392400.0,6.276223182678223
1990-06-19,15.125,14.875,15.0,15.0,208000.0,6.250181198120117
1990-06-20,15.0,14.6875,14.8125,14.8125,103200.0,6.172055244445801
1990-06-21,15.0,14.8125,15.0,15.0,113800.0,6.250181198120117
1990-06-22,15.625,15.0,15.3125,15.3125,237800.0,6.380396366119385
1990-06-25,15.3125,15.0,15.0,15.0,177800.0,6.250181198120117
1990-06-26,15.125,14.875,15.0,15.0,148000.0,6.250181198120117
