,Open,High,Low,Close,Volume
2017-06-19,257.16,259.94,256.91,257.32,478776
2017-06-20,256.75,257.9,253.54,254.86,317694
2017-06-21,254.85,257.04,254.03,256.58,369871
2017-06-22,256.49,258.2,255.35,256.74,368855
2017-06-23,257.22,257.22,253.36,253.98,464963
2017-06-26,254.88,256.3,253.67,254.15,297042
2017-06-27,254.28,254.55,252.16,253.41,355897
2017-06-28,254.49,256.01,253.67,255.07,530543
2017-06-29,256.21,256.25,253.81,255.16,345996
2017-06-30,255.05,255.71,252.39,254.59,425783
2017-07-03,255.6,268.38,254.93,263.95,523893
2017-07-05,264.8,265.7,262.37,262.75,522622
2017-07-06,262.5,263.13,260.91,261.32,437826
2017-07-07,262.78,264.07,261.04,263.21,275845
2017-07-10,262.51,267.045,262.21,265.58,476922
2017-07-11,266.28,266.28,260.18,262.24,522828
2017-07-12,262.0,264.61,261.41,262.72,310350
2017-07-13,263.63,264.3,261.9,263.83,319804
2017-07-14,263.27,263.95,261.92,263.75,287471
2017-07-17,262.6,265.47,261.16,264.86,272557
2017-07-18,263.35,268.41,262.68,267.33,481834
2017-07-19,268.2,270.81,267.33,269.04,489847
2017-07-20,268.73,269.82,267.72,269.11,393268
2017-07-21,268.57,270.365,267.99,270.12,345514
2017-07-24,270.74,273.5487,269.28,271.12,451665
2017-07-25,272.75,277.17,263.27,266.73,662597
2017-07-26,266.82,266.82,259.84,260.02,521376
2017-07-27,259.57,259.86,257.08,259.53,387217
2017-07-28,259.53,260.55,258.17,259.86,312932
2017-07-31,260.07,263.25,260.07,262.39,307453
2017-08-01,264.23,265.58,261.98,263.99,391844
2017-08-02,263.85,266.87,263.04,265.34,277456
2017-08-03,265.0,266.865,264.465,266.06,213292
2017-08-04,267.2,267.43,264.06,265.67,211699
2017-08-07,265.75,266.27,264.22,265.59,235065
2017-08-08,265.33,266.25,264.8,266.19,289631
2017-08-09,265.27,268.83,264.875,268.72,249531
2017-08-10,268.52,269.7,267.86,269.3,330619
2017-08-11,269.5,269.67,264.86,265.07,218581
2017-08-14,266.29,268.96,266.06,268.94,230634
2017-08-15,269.6,270.935,266.39,267.41,258048
2017-08-16,268.52,269.65,266.0,266.91,227277
2017-08-17,266.71,267.245,262.17,262.5,293463
2017-08-18,261.73,263.26,261.33,263.02,645237
2017-08-21,263.14,263.31,261.53,262.47,197619
2017-08-22,262.65,263.68,262.22,263.68,252487
2017-08-23,263.57,265.725,262.595,262.79,194239
2017-08-24,262.78,263.1,256.675,257.61,369082
2017-08-25,257.5,260.58,257.23,260.24,301977
2017-08-28,258.86,258.881,251.76,252.89,581924
2017-08-29,251.84,253.43,250.75,252.49,484475
2017-08-30,251.91,253.91,250.93,251.75,405465
2017-08-31,251.74,253.0,250.19,252.48,528767
2017-09-01,251.36,252.94,247.765,248.38,540641
2017-09-05,246.13,246.13,230.06,231.19,1013700
2017-09-06,231.07,233.85,227.19,227.38,1195158
2017-09-07,227.3,227.31,210.2,211.94,1194450
2017-09-08,211.9,226.67,209.22,222.48,1534094
2017-09-11,242.17,245.21,230.74,231.96,1418138
2017-09-12,231.95,234.96,229.19,233.25,652222
2017-09-13,231.96,234.12,229.5333,233.32,479909
2017-09-14,233.33,233.33,227.02,229.29,558265
2017-09-15,229.6,231.85,228.56,231.66,535026
2017-09-18,232.0,232.83,226.18,226.67,483388
2017-09-19,226.39,229.05,225.23,225.88,599434
2017-09-20,225.79,226.13,221.59,224.82,647529
2017-09-21,225.25,228.6499,225.01,227.3,426958
2017-09-22,226.31,227.345,224.2,226.26,341709
2017-09-25,225.4,227.55,223.55,223.94,536038
2017-09-26,222.23,222.99,217.05,220.27,888651
2017-09-27,222.95,223.285,220.97,221.08,730932
2017-09-28,220.98,224.47,219.775,222.88,591841
2017-09-29,223.57,229.45,222.69,228.39,663323
2017-10-02,227.2,230.46,224.51,229.28,559962
2017-10-03,228.55,230.045,227.44,229.32,412297
