,Open,High,Low,Close,Volume
2013-10-29,48.53,48.6,48.0,48.22,7194600
2013-10-30,48.24,48.33,47.0,47.29,6599700
2013-10-31,47.19,47.64,46.87,47.07,4008200
2013-11-01,47.04,47.63,46.33,47.56,9460700
2013-11-04,47.7,48.8,47.69,48.38,6018400
2013-11-05,47.9,48.31,47.7,48.21,4265100
2013-11-06,48.68,49.06,48.4,49.03,6114700
2013-11-07,50.71,52.951,50.51,52.45,15277200
2013-11-08,52.21,53.84,51.9,53.45,7035300
2013-11-11,54.85,55.74,54.65,55.37,12488600
2013-11-12,54.97,55.5,54.47,55.14,6327400
2013-11-13,54.38,55.4,54.38,55.3,6092700
2013-11-14,54.99,55.17,54.395,54.67,4386600
2013-11-15,54.97,55.25,53.89,54.44,5111400
2013-11-18,54.94,55.13,54.03,54.23,4417100
2013-11-19,54.16,54.28,53.46,53.97,3707400
2013-11-20,54.02,54.33,53.675,53.94,3086400
2013-11-21,53.64,53.68,51.561,52.38,8102000
2013-11-22,52.31,52.62,51.67,52.09,4224800
2013-11-25,51.53,51.61,50.66,51.0,4295700
2013-11-26,50.44,50.69,50.2,50.4,4375900
2013-11-27,50.39,50.75,50.18,50.54,2916800
2013-11-29,50.46,50.7,50.26,50.38,1600500
2013-12-02,50.25,50.68,49.91,50.22,3401600
2013-12-03,49.75,50.45,49.63,50.1,3616200
2013-12-04,49.82,50.465,49.76,50.29,3371200
2013-12-05,50.07,50.15,49.605,49.71,3178400
2013-12-06,49.9,49.97,49.515,49.77,3035300
2013-12-09,49.66,49.79,49.1601,49.57,2898300
2013-12-10,49.45,49.6,49.09,49.25,3651500
2013-12-11,49.34,49.34,48.32,48.55,3877200
2013-12-12,48.46,48.89,48.23,48.63,2671900
2013-12-13,48.68,48.7,48.135,48.22,2459200
2013-12-16,48.1,48.42,48.05,48.21,3111900
2013-12-17,48.02,48.2399,47.72,48.13,3386000
2013-12-18,47.96,48.15,47.33,48.02,4591000
2013-12-19,47.65,47.7,46.77,47.15,5818300
2013-12-20,46.85,47.2993,46.83,47.0,5745600
2013-12-23,47.51,47.52,47.04,47.19,2383100
2013-12-24,47.3,48.47,47.25,48.12,1952900
2013-12-26,48.32,48.5,48.11,48.17,2156900
2013-12-27,48.6,49.25,48.46,48.86,2927700
2013-12-30,49.42,49.44,48.73,48.84,2985100
2013-12-31,48.93,49.43,48.81,49.42,2730400
2014-01-02,49.37,49.5808,48.79,48.91,2704600
2014-01-03,49.03,49.12,48.47,48.67,2219000
2014-01-06,49.02,49.02,48.62,48.76,3877000
2014-01-07,48.98,49.22,48.63,49.1,3110900
2014-01-08,48.78,48.78,48.09,48.5,4605900
2014-01-09,48.69,48.7,47.98,48.5,3076500
2014-01-10,48.89,48.9,48.44,48.53,2900900
2014-01-13,48.49,48.53,47.2,47.49,4773300
2014-01-14,47.92,48.44,47.79,48.31,2488500
2014-01-15,48.27,48.35,47.32,47.53,4894300
2014-01-16,47.72,47.73,46.87,47.2,4400300
2014-01-17,47.1,47.45,46.45,46.69,6599500
2014-01-21,46.89,47.12,46.4538,46.75,3258400
2014-01-22,46.9,46.97,46.33,46.83,2551300
2014-01-23,46.34,46.34,44.95,45.43,9856000
2014-01-24,45.02,45.03,44.14,44.25,6471900
2014-01-27,44.58,45.34,44.43,45.25,5538300
2014-01-28,44.89,45.37,44.53,44.97,4586300
2014-01-29,44.27,44.31,43.5901,43.85,6452900
2014-01-30,43.97,43.98,43.32,43.67,3832700
2014-01-31,43.07,43.67,42.8,43.28,3386400
2014-02-03,43.08,43.14,42.2,42.47,5829700
2014-02-04,42.32,42.72,42.135,42.42,3785600
2014-02-05,42.27,42.35,41.44,41.61,4755000
2014-02-06,41.94,42.575,41.7266,42.36,5788600
2014-02-07,42.71,42.75,42.0,42.33,5328800
2014-02-10,42.5,42.73,42.02,42.26,3966500
2014-02-11,42.68,44.2,42.6,43.85,5741600
2014-02-12,44.19,44.2,43.14,43.19,4571600
2014-02-13,43.17,43.45,42.72,43.36,4616200
2014-02-14,43.33,43.7,43.085,43.13,5082400
2014-02-18,42.96,43.18,42.05,43.0,7472900
2014-02-19,42.5,43.35,42.3,42.79,5154800
2014-02-20,43.05,43.39,42.75,42.98,3792400
2014-02-21,43.07,43.52,42.9094,43.14,3622700
2014-02-24,43.2,44.1,43.18,43.92,4960700
2014-02-25,43.69,43.72,42.245,43.42,8597900
2014-02-26,43.51,43.64,42.96,43.01,5166200
2014-02-27,43.39,43.4,41.44,42.55,12701200
2014-02-28,42.49,42.53,42.06,42.4,6032100
2014-03-03,41.36,42.34,41.31,41.67,4968500
2014-03-04,41.94,42.23,41.37,42.0,4661600
2014-03-05,41.9,42.74,41.75,42.43,5217100
2014-03-06,42.6,43.0,42.36,42.56,6072500
2014-03-07,42.62,42.62,41.89,42.07,5137300
2014-03-10,42.03,42.16,41.27,41.86,5255200
2014-03-11,41.94,42.6,41.575,41.68,4497300
2014-03-12,41.38,41.6358,40.72,40.79,6328300
2014-03-13,40.97,40.97,39.14,39.54,14969500
2014-03-14,39.47,39.7,38.55,38.84,8914400
2014-03-17,38.96,39.11,38.47,38.91,6070400
2014-03-18,38.71,39.41,38.58,39.19,5608300
2014-03-19,39.94,40.1899,39.56,39.81,6270500
2014-03-20,39.42,40.45,39.33,40.12,5395100
2014-03-21,40.34,40.87,40.18,40.4,8919300
2014-03-24,40.47,40.62,39.83,39.88,4293000
2014-03-25,40.28,40.69,39.95,40.63,4329500
2014-03-26,40.74,41.11,40.43,40.47,4371800
2014-03-27,40.53,41.1,40.33,40.36,4649400
2014-03-28,40.67,41.25,40.54,41.19,4213800
2014-03-31,41.35,41.48,41.07,41.34,3937800
2014-04-01,41.35,41.47,40.88,41.21,5597300
2014-04-02,41.23,41.78,41.08,41.41,4293600
2014-04-03,41.42,41.5,40.97,41.32,4590800
2014-04-04,41.5,42.08,41.44,41.61,5280500
2014-04-07,41.65,41.67,41.0,41.32,5043600
2014-04-08,41.29,42.32,41.24,42.03,5824400
2014-04-09,42.52,42.52,40.71,40.89,6528600
2014-04-10,40.79,41.375,40.55,40.6,5246700
2014-04-11,40.6,40.62,39.41,39.45,6238300
2014-04-14,39.99,41.07,39.57,41.05,5938900
2014-04-15,41.13,41.55,40.955,41.49,5479300
2014-04-16,41.39,41.47,40.35,40.58,5791800
2014-04-17,40.8,40.95,39.87,40.58,4687000
2014-04-21,40.72,40.85,40.16,40.54,3288700
