Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,219.88,220.0,213.8,215.11,1583703.0,0.0,1.0,219.88,220.0,213.8,215.11,1583703.0
2018-03-26,217.59,219.19,216.795,218.73,2287909.0,0.0,1.0,217.59,219.19,216.795,218.73,2287909.0
2018-03-23,209.59,219.15,209.4801,214.57,2927231.0,0.0,1.0,209.59,219.15,209.4801,214.57,2927231.0
2018-03-22,212.22,213.88,208.41,209.11,1452701.0,0.0,1.0,212.22,213.88,208.41,209.11,1452701.0
2018-03-21,213.06,215.64,211.33,213.48,1273874.0,0.0,1.0,213.06,215.64,211.33,213.48,1273874.0
2018-03-20,210.9,213.4999,210.3256,213.05,1395195.0,0.0,1.0,210.9,213.4999,210.3256,213.05,1395195.0
2018-03-19,208.81,211.73,208.06,210.75,1225012.0,0.0,1.0,208.81,211.73,208.06,210.75,1225012.0
2018-03-16,208.73,210.44,208.19400000000002,210.08,2748662.0,0.0,1.0,208.73,210.44,208.19400000000002,210.08,2748662.0
2018-03-15,209.0,209.3396,206.42,208.58,1720985.0,0.0,1.0,209.0,209.3396,206.42,208.58,1720985.0
2018-03-14,211.67,212.08,205.43,208.31,2292901.0,0.0,1.0,211.67,212.08,205.43,208.31,2292901.0
2018-03-13,210.53,213.085,209.545,210.62,1987773.0,0.0,1.0,210.53,213.085,209.545,210.62,1987773.0
2018-03-12,215.66,215.87,209.615,210.04,2034883.0,0.0,1.0,215.66,215.87,209.615,210.04,2034883.0
2018-03-09,213.84,215.15,210.5,214.81,1744826.0,0.0,1.0,213.84,215.15,210.5,214.81,1744826.0
2018-03-08,215.28,215.36,212.08,214.09,1289358.0,0.0,1.0,215.28,215.36,212.08,214.09,1289358.0
2018-03-07,210.47,214.62,209.8,214.36,1598164.0,0.0,1.0,210.47,214.62,209.8,214.36,1598164.0
2018-03-06,215.65,215.89,212.87,213.24,1307400.0,0.0,1.0,215.65,215.89,212.87,213.24,1307400.0
2018-03-05,214.0,215.38,211.905,215.0,1563155.0,0.0,1.0,214.0,215.38,211.905,215.0,1563155.0
2018-03-02,209.77,215.53,209.17,214.78,1655014.0,0.0,1.0,209.77,215.53,209.17,214.78,1655014.0
2018-03-01,217.93,218.36,209.85,211.36,2002400.0,0.0,1.0,217.93,218.36,209.85,211.36,2002400.0
2018-02-28,219.85,221.29,217.45,217.51,1500706.0,0.0,1.0,219.85,221.29,217.45,217.51,1500706.0
2018-02-27,220.0,222.82,219.19,219.19,1216877.0,0.0,1.0,220.0,222.82,219.19,219.19,1216877.0
2018-02-26,219.0,220.8999,218.40099999999998,219.86,1121718.0,0.0,1.0,219.0,220.8999,218.40099999999998,219.86,1121718.0
2018-02-23,216.77,218.26,215.33,218.24,921868.0,0.0,1.0,216.77,218.26,215.33,218.24,921868.0
2018-02-22,216.67,216.76,214.85,215.36,912732.0,0.0,1.0,216.67,216.76,214.85,215.36,912732.0
2018-02-21,216.54,219.78,215.76,215.8,1070421.0,0.0,1.0,216.54,219.78,215.76,215.8,1070421.0
2018-02-20,216.74,218.7,215.45,216.54,1455543.0,0.0,1.0,216.74,218.7,215.45,216.54,1455543.0
2018-02-16,217.68,218.78,215.9,217.73,1448245.0,0.0,1.0,217.68,218.78,215.9,217.73,1448245.0
2018-02-15,214.07,218.1899,213.56,218.18,2170893.0,0.0,1.0,214.07,218.1899,213.56,218.18,2170893.0
2018-02-14,208.59,212.91,208.21,212.58,1853013.0,0.0,1.0,208.59,212.91,208.21,212.58,1853013.0
