,Open,High,Low,Close,Volume
2017-09-01,154.42,154.5,150.82,150.9,2486954
2017-09-05,151.97,152.3,150.27,151.16,1807174
2017-09-06,151.84,151.97,150.37,150.5,1340244
2017-09-07,150.41,151.22,149.86,150.65,1165292
2017-09-08,150.04,150.4,149.1,149.45,851117
2017-09-11,149.85,150.8,149.28,150.13,1245689
2017-09-12,149.64,150.16,148.33,149.74,1362444
2017-09-13,149.24,149.89,148.02,149.15,1276878
2017-09-14,148.02,149.735,147.68,148.77,1286000
2017-09-15,148.93,150.53,148.3,149.99,1886788
2017-09-18,150.33,151.82,149.97,150.53,927926
2017-09-19,150.59,150.99,144.631,145.42,2376368
2017-09-20,146.2,147.39,145.38,146.08,1388860
2017-09-21,145.27,146.3,144.69,145.01,947973
2017-09-22,144.75,144.97,142.54,142.62,1446316
2017-09-25,142.11,143.255,140.62,141.46,1644139
2017-09-26,141.55,142.98,141.09,142.41,1452955
2017-09-27,143.88,144.5699,142.17,142.98,985983
2017-09-28,142.16,144.0,142.09,143.76,1005211
2017-09-29,143.59,145.0,143.16,144.05,986679
2017-10-02,143.82,144.845,142.7,142.87,1045687
2017-10-03,142.31,144.54,142.31,143.77,883487
2017-10-04,144.0,147.795,143.61,147.21,1016322
2017-10-05,147.51,148.33,146.75,146.87,1034225
2017-10-06,146.4,147.58,145.16,147.32,571336
2017-10-09,147.36,148.59,146.87,147.73,634986
2017-10-10,148.48,149.48,148.07,148.42,713341
2017-10-11,148.92,151.57,148.46,151.35,967415
2017-10-12,151.41,152.455,151.2,152.22,1128838
2017-10-13,152.5,152.55,150.02,150.94,837584
2017-10-16,150.29,150.785,148.325,149.11,953390
2017-10-17,149.22,150.4,147.85,148.46,1026031
2017-10-18,148.17,148.62,146.71,147.4,1350767
2017-10-19,147.24,148.43,146.72,148.0,1606900
2017-10-20,148.37,149.05,147.5,147.89,829343
2017-10-23,148.41,148.62,147.14,147.99,592393
2017-10-24,147.46,148.65,147.46,148.23,685377
2017-10-25,148.16,148.93,146.18,146.48,742761
2017-10-26,147.24,147.24,145.81,146.55,1476053
2017-10-27,146.26,147.59,145.99,146.72,1078421
2017-10-30,146.98,153.65,146.39,150.17,2409860
2017-10-31,150.19,159.14,148.36,157.18,2149198
2017-11-01,157.25,157.64,151.43,152.58,1934355
2017-11-02,153.31,156.55,152.06,156.1,1178193
2017-11-03,155.09,156.18,153.8,154.53,712953
2017-11-06,158.52,167.44,158.21,164.42,2395996
2017-11-07,163.99,165.88,162.56,165.65,1310331
2017-11-08,165.0,170.53,165.0,169.5,869196
2017-11-09,169.11,170.815,168.12,169.51,884959
2017-11-10,167.81,169.74,166.6779,168.95,698677
2017-11-13,169.72,170.2,164.94,165.2,1895058
2017-11-14,164.97,166.69,163.16,165.53,1487951
2017-11-15,164.61,165.86,162.07,165.3,1360531
2017-11-16,166.13,168.13,164.48,164.67,900106
2017-11-17,164.25,165.92,163.24,165.21,1058014
2017-11-20,164.8,166.295,164.63,165.68,690365
2017-11-21,166.21,168.09,165.49,167.83,1045091
2017-11-22,167.75,168.37,166.0,166.98,478780
2017-11-24,167.8,171.29,167.54,169.72,568187
2017-11-27,171.0,172.93,170.67,172.35,1046439
2017-11-28,172.6,173.97,171.9,172.09,1002972
2017-11-29,171.66,172.06,167.74,169.76,1285172
2017-11-30,170.52,171.0,167.59,169.75,1239478
2017-12-01,169.8,170.64,167.73,169.16,696324
2017-12-04,169.15,169.205,162.12,162.2,904818
2017-12-05,161.73,165.87,161.23,163.87,1176696
2017-12-06,163.91,166.73,162.835,166.4,613972
2017-12-07,166.09,166.97,165.14,166.68,1148816
2017-12-08,167.0,167.81,164.82,165.19,561051
