Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
1995-11-08,17.25,18.75,16.5,16.75,4011500.0,0.0,1.0,4.173480636020848,4.536391995674834,3.9920249561938537,4.052510182802852,16046000.0
1995-11-09,17.5,28.75,17.25,25.88,1749700.0,0.0,1.0,4.233965862629845,6.955801060034746,4.173480636020848,6.261430658563452,6998800.0
1995-11-10,30.0,31.0,27.5,28.0,1664200.0,0.0,1.0,7.258227193079735,7.500168099515728,6.653374926989758,6.774345380207754,6656800.0
1995-11-13,26.75,28.38,25.5,25.75,475000.0,0.0,1.0,6.471919247162764,6.8662829246534285,6.169493114117775,6.229978340726772,1900000.0
1995-11-14,25.25,25.5,21.75,23.0,467900.0,0.0,1.0,6.109007887508778,6.169493114117775,5.262214714982809,5.564640848027797,1871600.0
1995-11-15,22.63,24.63,21.75,24.5,357500.0,0.0,1.0,5.475122712646481,5.959004525518463,5.262214714982809,5.927552207681782,1430000.0
1995-11-16,24.25,25.5,24.25,24.38,163000.0,0.0,1.0,5.867066981072786,6.169493114117775,5.867066981072786,5.8985192989094655,652000.0
1995-11-17,24.13,24.75,22.25,23.0,145000.0,0.0,1.0,5.838034072300466,5.988037434290781,5.383185168200804,5.564640848027797,580000.0
1995-11-20,23.0,23.0,21.63,22.13,91000.0,0.0,1.0,5.564640848027797,5.564640848027797,5.233181806210488,5.354152259428483,364000.0
1995-11-21,21.5,21.75,19.25,19.75,395600.0,0.0,1.0,5.201729488373809,5.262214714982809,4.657362448892831,4.778332902110827,1582400.0
1995-11-22,19.75,23.0,19.75,21.5,187200.0,0.0,1.0,4.778332902110827,5.564640848027797,4.778332902110827,5.201729488373809,748800.0
1995-11-24,22.0,22.75,21.25,22.75,68200.0,0.0,1.0,5.3226999415918055,5.504155621418799,5.141244261764811,5.504155621418799,272800.0
1995-11-27,22.75,23.0,21.5,22.75,107600.0,0.0,1.0,5.504155621418799,5.564640848027797,5.201729488373809,5.504155621418799,430400.0
1995-11-28,22.38,23.0,21.63,23.0,114500.0,0.0,1.0,5.414637486037482,5.564640848027797,5.233181806210488,5.564640848027797,458000.0
