Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
1990-01-02,38.12,38.37,37.88,38.37,51238.0,0.0,1.0,0.7040340445746892,0.7086512667977656,0.6996015112405359,0.7086512667977656,409904.0
1990-01-03,38.37,39.25,38.37,39.12,77013.0,0.0,1.0,0.7086512667977656,0.7249038890229945,0.7086512667977656,0.7225029334669948,616104.0
1990-01-04,38.88,39.75,38.88,39.0,54650.0,0.0,1.0,0.7180704001328415,0.7341383334691474,0.7180704001328415,0.7202866667999182,437200.0
1990-01-05,39.0,39.0,38.5,38.5,26075.0,0.0,1.0,0.7202866667999182,0.7202866667999182,0.7110522223537653,0.7110522223537653,208600.0
1990-01-08,38.5,38.88,38.37,38.88,17700.0,0.0,1.0,0.7110522223537653,0.7180704001328415,0.7086512667977656,0.7180704001328415,141600.0
1990-01-09,39.0,39.12,38.5,38.5,56200.0,0.0,1.0,0.7202866667999182,0.7225029334669948,0.7110522223537653,0.7110522223537653,449600.0
1990-01-10,38.5,39.0,38.5,38.75,12413.0,0.0,1.0,0.7110522223537653,0.7202866667999182,0.7110522223537653,0.7156694445768418,99304.0
1990-01-11,39.0,39.0,38.88,38.88,8063.0,0.0,1.0,0.7202866667999182,0.7202866667999182,0.7180704001328415,0.7180704001328415,64504.0
1990-01-12,38.75,38.75,38.12,38.25,96575.0,0.0,1.0,0.7156694445768418,0.7156694445768418,0.7040340445746892,0.7064350001306889,772600.0
1990-01-15,38.12,38.37,38.0,38.25,15838.0,0.0,1.0,0.7040340445746892,0.7086512667977656,0.7018177779076126,0.7064350001306889,126704.0
1990-01-16,38.25,38.25,38.0,38.0,15525.0,0.0,1.0,0.7064350001306889,0.7064350001306889,0.7018177779076126,0.7018177779076126,124200.0
1990-01-17,38.12,38.25,38.0,38.25,6825.0,0.0,1.0,0.7040340445746892,0.7064350001306889,0.7018177779076126,0.7064350001306889,54600.0
1990-01-18,38.0,38.0,37.88,37.88,34463.0,0.0,1.0,0.7018177779076126,0.7018177779076126,0.6996015112405359,0.6996015112405359,275704.0
1990-01-19,38.0,38.0,37.88,37.88,69250.0,0.0,1.0,0.7018177779076126,0.7018177779076126,0.6996015112405359,0.6996015112405359,554000.0
1990-01-22,37.88,37.88,37.75,37.75,10863.0,0.0,1.0,0.6996015112405359,0.6996015112405359,0.6972005556845361,0.6972005556845361,86904.0
1990-01-23,37.75,37.88,37.75,37.75,8688.0,0.0,1.0,0.6972005556845361,0.6996015112405359,0.6972005556845361,0.6972005556845361,69504.0
1990-01-24,37.5,37.5,37.37,37.37,7138.0,0.0,1.0,0.6925833334614597,0.6925833334614597,0.69018237790546,0.69018237790546,57104.0
1990-01-25,37.12,37.12,37.12,37.12,3725.0,0.0,1.0,0.6855651556823835,0.6855651556823835,0.6855651556823835,0.6855651556823835,29800.0
1990-01-26,36.88,36.88,36.5,36.75,10550.0,0.0,1.0,0.6811326223482304,0.6811326223482304,0.6741144445691541,0.6787316667922305,84400.0
1990-01-29,36.63,36.63,36.12,36.12,10238.0,0.0,1.0,0.6765154001251539,0.6765154001251539,0.6670962667900779,0.6670962667900779,81904.0
1990-01-30,36.25,36.25,35.88,36.0,16138.0,0.0,1.0,0.6694972223460778,0.6694972223460778,0.6626637334559248,0.6648800001230013,129104.0
1990-01-31,36.12,36.88,36.0,36.88,27638.0,0.0,1.0,0.6670962667900779,0.6811326223482304,0.6648800001230013,0.6811326223482304,221104.0
1990-02-01,36.88,37.0,36.63,37.0,18938.0,0.0,1.0,0.6811326223482304,0.683348889015307,0.6765154001251539,0.683348889015307,151504.0
1990-02-02,36.88,37.0,36.63,37.0,20488.0,0.0,1.0,0.6811326223482304,0.683348889015307,0.6765154001251539,0.683348889015307,163904.0
1990-02-05,37.0,37.12,36.88,37.12,7450.0,0.0,1.0,0.683348889015307,0.6855651556823835,0.6811326223482304,0.6855651556823835,59600.0
1990-02-06,37.0,37.12,36.75,37.12,12725.0,0.0,1.0,0.683348889015307,0.6855651556823835,0.6787316667922305,0.6855651556823835,101800.0
