Date,High,Low,Open,Close,Volume,Adj Close
1999-11-24,10.6875,8.4375,8.4375,10.5,917700,10.5
1999-11-26,10.5,10.5,10.5,10.5,32700,10.5
1999-11-29,10.625,9.25,10.625,9.25,511000,9.25
1999-11-30,9.375,8.5,9.375,8.8125,2424000,8.8125
1999-12-01,10.5,9.0,9.0,9.625,462000,9.625
1999-12-02,10.0,9.25,10.0,9.375,799500,9.375
1999-12-03,9.625,9.3125,9.5,9.4375,292300,9.4375
1999-12-06,9.6875,9.1875,9.375,9.25,239100,9.25
1999-12-07,9.25,8.875,9.1875,8.9375,753300,8.9375
1999-12-08,9.625,8.9375,9.0625,9.0,294100,9.0
1999-12-09,9.0,8.0625,9.0,8.375,801700,8.375
1999-12-10,8.3125,8.0625,8.1875,8.0625,574400,8.0625
1999-12-13,8.125,7.9375,8.0625,7.9375,748300,7.9375
1999-12-14,8.0,7.8125,7.9375,7.9375,84700,7.9375
1999-12-15,8.375,7.875,7.9375,8.0625,275500,8.0625
1999-12-16,8.5,8.1875,8.1875,8.3125,150900,8.3125
1999-12-17,8.5,8.3125,8.3125,8.375,178700,8.375
1999-12-20,8.625,8.3125,8.375,8.4375,369700,8.4375
1999-12-21,8.6875,8.375,8.6875,8.375,86900,8.375
1999-12-22,9.125,8.625,9.125,8.75,521400,8.75
1999-12-23,9.1875,8.75,8.75,8.875,148600,8.875
1999-12-27,9.25,8.875,8.875,9.0,57400,9.0
1999-12-28,9.1875,8.75,8.9375,9.1875,262700,9.1875
1999-12-29,9.625,9.1875,9.25,9.375,233600,9.375
1999-12-30,10.125,8.875,9.6875,9.25,1056000,9.25
1999-12-31,9.75,9.25,9.25,9.4375,263000,9.4375
2000-01-03,9.625,9.3125,9.5625,9.375,315400,9.375
2000-01-04,9.375,8.9375,9.375,9.125,444300,9.125
2000-01-05,9.6875,9.0625,9.0625,9.5,109100,9.5
2000-01-06,9.625,9.125,9.625,9.25,120700,9.25
2000-01-07,9.625,9.375,9.5625,9.5625,222100,9.5625
2000-01-10,9.8125,9.5,9.5625,9.75,97500,9.75
2000-01-11,9.5625,9.125,9.5,9.375,290600,9.375
2000-01-12,9.5,9.3125,9.375,9.375,60300,9.375
2000-01-13,9.375,9.1875,9.25,9.25,82400,9.25
2000-01-14,9.625,9.1875,9.25,9.5625,36100,9.5625
2000-01-18,9.875,9.4375,9.5625,9.625,72300,9.625
2000-01-19,10.0,9.5625,9.75,9.6875,429300,9.6875
2000-01-20,9.75,9.25,9.6875,9.4375,21800,9.4375
2000-01-21,9.75,9.375,9.375,9.75,16100,9.75
2000-01-24,10.0,9.625,9.9375,9.625,122900,9.625
2000-01-25,9.8125,9.5,9.75,9.5625,40200,9.5625
2000-01-26,9.875,9.5625,9.6875,9.5625,65500,9.5625
2000-01-27,10.0625,9.6875,9.6875,9.6875,112700,9.6875
2000-01-28,9.9375,9.25,9.8125,9.25,247000,9.25
2000-01-31,9.4375,9.1875,9.375,9.25,128200,9.25
2000-02-01,9.375,9.1875,9.1875,9.25,62400,9.25
2000-02-02,9.5,9.1875,9.375,9.1875,124500,9.1875
2000-02-03,9.1875,9.0,9.1875,9.1875,291200,9.1875
2000-02-04,9.4375,9.0,9.4375,9.0,63800,9.0
2000-02-07,9.1875,8.875,9.1875,8.9375,29300,8.9375
2000-02-08,9.125,8.875,8.9375,9.0,107800,9.0
2000-02-09,9.125,8.9375,9.0,8.9375,152600,8.9375
2000-02-10,9.0625,8.75,9.0625,8.75,87200,8.75
2000-02-11,8.9375,8.6875,8.875,8.6875,57000,8.6875
2000-02-14,8.8125,8.625,8.8125,8.625,37400,8.625
2000-02-15,9.0,8.625,8.625,8.9375,101400,8.9375
2000-02-16,9.0,8.8125,8.875,8.8125,283000,8.8125
2000-02-17,9.125,8.8125,8.9375,9.0,563600,9.0
2000-02-18,10.25,8.75,8.9375,9.1875,402600,9.1875
2000-02-22,9.75,9.3125,9.375,9.5,255200,9.5
2000-02-23,9.6875,8.75,9.625,9.0,374500,9.0
2000-02-24,9.375,8.875,9.125,8.875,128000,8.875
2000-02-25,9.125,8.8125,9.125,8.8125,111600,8.8125
2000-02-28,9.4375,8.75,8.9375,8.875,208900,8.875
2000-02-29,9.0,8.6875,9.0,8.6875,118000,8.6875
2000-03-01,8.9375,8.5625,8.6875,8.5625,80000,8.5625
2000-03-02,8.6875,8.5,8.5,8.5,88300,8.5
2000-03-03,8.9375,8.5625,8.625,8.875,26800,8.875
2000-03-06,9.125,8.8125,8.8125,9.0,76600,9.0
2000-03-07,9.125,8.625,9.0625,8.625,50400,8.625
2000-03-08,8.8125,8.375,8.625,8.8125,166200,8.8125
2000-03-09,9.0,8.625,8.9375,9.0,152400,9.0
2000-03-10,9.375,8.75,9.125,9.3125,725500,9.3125
2000-03-13,10.4375,8.875,9.4375,10.1875,250400,10.1875
2000-03-14,11.625,10.5,10.5,10.8125,435100,10.8125
2000-03-15,11.0,10.625,10.9375,10.625,137200,10.625
2000-03-16,11.0625,10.75,11.0,10.9375,440900,10.9375
2000-03-17,12.875,11.0,11.0,12.375,926200,12.375
2000-03-20,13.4375,12.625,13.0,13.0625,717400,13.0625
2000-03-21,13.875,12.75,13.4375,13.625,527500,13.625
2000-03-22,13.75,12.5625,13.625,13.5625,437100,13.5625
2000-03-23,13.75,13.0,13.5,13.625,496700,13.625
2000-03-24,15.9375,13.75,13.9375,15.6875,585900,15.6875
2000-03-27,18.5625,16.1875,16.5,18.375,1053800,18.375
2000-03-28,28.5,18.5,19.5625,26.0,1939100,26.0
2000-03-29,24.9375,18.5,24.9375,18.75,2304600,18.75
2000-03-30,19.0,16.0,18.25,19.0,808500,19.0
2000-03-31,19.125,16.5,18.25,18.5,580600,18.5
2000-04-03,17.625,15.5,17.5,15.8125,455200,15.8125
2000-04-04,15.75,13.375,15.75,14.875,775200,14.875
2000-04-05,16.875,14.375,14.875,16.0,387000,16.0
2000-04-06,16.625,15.125,16.25,15.8125,311000,15.8125
2000-04-07,16.5,15.8125,16.1875,15.9375,238000,15.9375
