,Open,High,Low,Close,Volume
2019-07-15,79.67,80.0,78.59,79.31,6189822
2019-07-16,79.35,79.59,78.83,79.04,5234911
2019-07-17,79.23,79.455,78.9,78.93,3238346
2019-07-18,78.78,79.07,77.2687,77.97,6471681
2019-07-19,77.99,77.99,76.935,77.43,5311849
2019-07-22,77.8,78.66,77.27,77.66,4695214
2019-07-23,77.74,78.16,76.95,78.14,3507825
2019-07-24,79.2,81.57,78.8281,80.61,10198421
2019-07-25,81.36,81.41,79.71,79.91,5501803
2019-07-26,81.1,85.22,80.95,84.25,12333212
2019-07-29,84.63,84.79,81.92,82.38,5858850
2019-07-30,81.7,82.33,81.02,81.3,5285021
2019-07-31,81.22,81.65,78.95,79.73,4596590
2019-08-01,79.99,80.31,78.77,79.31,4761361
2019-08-02,79.39,79.39,76.79,77.73,5428007
2019-08-05,76.85,76.93,75.62,76.19,4046241
2019-08-06,76.51,77.32,75.97,77.28,4010398
2019-08-07,76.49,76.8,75.27,76.48,3492699
2019-08-08,76.94,78.06,76.83,77.9,3023432
2019-08-09,77.6,78.21,77.01,77.52,2698629
2019-08-12,77.07,77.615,76.77,76.94,1888186
2019-08-13,76.93,78.26,76.78,77.62,2559772
2019-08-14,76.77,77.38,76.1125,76.93,2900750
2019-08-15,76.47,77.8,76.2,77.27,2597687
2019-08-16,77.99,78.25,77.46,77.75,3159025
2019-08-19,78.26,78.5,77.72,78.23,1697288
2019-08-20,77.98,78.24,77.64,77.68,1855967
2019-08-21,78.07,78.31,77.77,78.18,1221488
2019-08-22,78.31,78.42,77.51,77.79,2010861
2019-08-23,77.64,78.25,76.12,76.48,2885550
2019-08-26,77.0,78.07,76.68,78.06,1735921
2019-08-27,77.7,78.1,77.02,77.12,2239806
2019-08-28,76.93,77.37,76.28,77.06,2035565
2019-08-29,77.87,78.41,77.4,78.01,1403622
2019-08-30,78.38,78.38,77.79,78.05,1722597
2019-09-03,77.9,77.94,77.0,77.13,1760857
2019-09-04,77.51,77.84,77.02,77.61,1902360
2019-09-05,78.22,78.57,77.555,77.83,1963200
2019-09-06,77.96,79.17,77.85,79.15,2930610
2019-09-09,79.33,79.47,78.59,79.13,2514422
2019-09-10,78.78,78.78,77.94,78.38,2254177
2019-09-11,78.39,79.77,78.21,79.74,2412244
2019-09-12,79.88,80.6,79.39,79.69,2005874
2019-09-13,80.09,80.09,79.03,79.4,1737704
2019-09-16,78.96,79.64,78.74,79.56,2178828
2019-09-17,79.73,80.545,79.06,80.21,2855620
2019-09-18,80.21,80.547,79.58,80.12,2218639
2019-09-19,80.72,81.15,80.54,81.0,2851295
2019-09-20,80.56,80.85,79.08,80.59,7207982
2019-09-23,80.02,80.78,79.81,79.96,2445807
2019-09-24,80.49,80.4904,79.03,79.36,3691961
2019-09-25,79.53,80.03,78.86,79.81,1970987
2019-09-26,79.97,80.01,78.96,79.0,1929562
2019-09-27,79.06,79.15,76.765,77.56,3407714
2019-09-30,77.87,79.09,77.62,78.77,2327960
2019-10-01,78.88,79.37,78.0,78.2,2820113
2019-10-02,77.6,77.97,75.82,76.41,3284504
2019-10-03,76.6,77.41,76.02,77.025,2375028
2019-10-04,76.96,78.07,76.96,77.99,1843469
2019-10-07,77.63,78.68,77.63,78.48,1951020
2019-10-08,77.78,78.14,77.36,77.615,2346697
2019-10-09,78.11,78.28,77.31,77.79,1983991
2019-10-10,77.72,78.485,77.03,78.3,2414385
